key,bugnr,created,
COMPASS-4065,1,2019-12-31T10:08:19.000+0000,
COMPASS-4061,1,2019-12-28T18:54:07.000+0000,
COMPASS-4060,1,2019-12-27T23:50:26.000+0000,
COMPASS-4059,1,2019-12-27T23:37:12.000+0000,
COMPASS-4057,1,2019-12-25T15:17:37.000+0000,
COMPASS-4055,1,2019-12-23T17:57:51.000+0000,
COMPASS-4053,1,2019-12-20T22:49:57.000+0000,
COMPASS-4049,1,2019-12-18T04:25:56.000+0000,
COMPASS-4048,1,2019-12-17T21:02:49.000+0000,
COMPASS-4047,1,2019-12-17T19:47:19.000+0000,
COMPASS-4040,1,2019-12-16T20:10:20.000+0000,
COMPASS-4037,1,2019-12-16T09:45:58.000+0000,
COMPASS-4035,1,2019-12-12T10:09:18.000+0000,
COMPASS-4029,1,2019-12-11T15:11:41.000+0000,
COMPASS-4028,1,2019-12-11T15:10:32.000+0000,
COMPASS-4014,1,2019-12-10T09:10:26.000+0000,
COMPASS-4013,1,2019-12-10T05:38:04.000+0000,
COMPASS-3997,1,2019-12-09T00:45:21.000+0000,
COMPASS-3995,1,2019-12-05T21:47:54.000+0000,
COMPASS-3994,1,2019-12-05T20:29:14.000+0000,
COMPASS-3984,1,2019-11-29T15:24:17.000+0000,
COMPASS-3983,1,2019-11-28T15:47:50.000+0000,
COMPASS-3980,1,2019-11-27T13:53:46.000+0000,
COMPASS-3979,1,2019-11-27T13:21:38.000+0000,
COMPASS-3978,1,2019-11-26T23:22:19.000+0000,
COMPASS-3975,1,2019-11-22T23:46:53.000+0000,
COMPASS-3973,1,2019-11-22T16:51:38.000+0000,
COMPASS-3971,1,2019-11-22T11:34:19.000+0000,
COMPASS-3970,1,2019-11-20T22:42:18.000+0000,
COMPASS-3967,1,2019-11-17T21:41:14.000+0000,
COMPASS-3966,1,2019-11-15T11:43:46.000+0000,
COMPASS-3965,1,2019-11-15T06:00:45.000+0000,
COMPASS-3959,1,2019-11-09T08:26:19.000+0000,
COMPASS-3957,1,2019-11-07T14:25:49.000+0000,
COMPASS-3956,1,2019-11-06T18:29:11.000+0000,
COMPASS-3952,1,2019-11-04T15:10:56.000+0000,
COMPASS-3950,1,2019-11-04T14:44:56.000+0000,
COMPASS-3946,1,2019-10-30T13:16:16.000+0000,
COMPASS-3941,1,2019-10-24T07:21:18.000+0000,
COMPASS-3937,1,2019-10-18T14:43:26.000+0000,
COMPASS-3928,1,2019-10-11T10:14:51.000+0000,
COMPASS-3927,1,2019-10-10T15:31:53.000+0000,
COMPASS-3920,1,2019-10-03T16:07:16.000+0000,
COMPASS-3919,1,2019-10-03T00:28:13.000+0000,
COMPASS-3918,1,2019-10-03T00:25:37.000+0000,
COMPASS-3916,1,2019-10-01T12:20:24.000+0000,
COMPASS-3915,1,2019-09-27T18:29:51.000+0000,
COMPASS-3914,1,2019-09-27T18:28:49.000+0000,
COMPASS-3912,1,2019-09-27T12:31:55.000+0000,
COMPASS-3910,1,2019-09-27T09:19:44.000+0000,
COMPASS-3909,1,2019-09-26T11:16:56.000+0000,
COMPASS-3908,1,2019-09-26T06:44:06.000+0000,
COMPASS-3907,1,2019-09-26T04:49:43.000+0000,
COMPASS-3906,1,2019-09-25T13:40:19.000+0000,
COMPASS-3905,1,2019-09-25T13:21:18.000+0000,
COMPASS-3903,1,2019-09-23T10:51:12.000+0000,
COMPASS-3902,1,2019-09-18T18:08:12.000+0000,
COMPASS-3901,1,2019-09-18T16:52:55.000+0000,
COMPASS-3900,1,2019-09-18T16:52:19.000+0000,
COMPASS-3897,1,2019-09-11T19:16:06.000+0000,
COMPASS-3894,1,2019-09-11T18:53:39.000+0000,
COMPASS-3893,1,2019-09-11T16:18:45.000+0000,
COMPASS-3888,1,2019-09-09T13:43:42.000+0000,
COMPASS-3886,1,2019-09-06T13:38:42.000+0000,
COMPASS-3885,1,2019-09-06T12:29:39.000+0000,
COMPASS-3881,1,2019-09-05T18:37:49.000+0000,
COMPASS-3880,1,2019-09-05T18:09:14.000+0000,
COMPASS-3879,1,2019-09-05T14:39:47.000+0000,
COMPASS-3870,1,2019-09-04T17:04:23.000+0000,
COMPASS-3869,1,2019-09-04T13:53:40.000+0000,
COMPASS-3868,1,2019-09-04T12:25:36.000+0000,
COMPASS-3866,1,2019-09-03T07:37:55.000+0000,
COMPASS-3865,1,2019-08-30T22:05:56.000+0000,
COMPASS-3863,1,2019-08-30T15:35:11.000+0000,
COMPASS-3861,1,2019-08-30T10:52:30.000+0000,
COMPASS-3860,1,2019-08-30T07:18:38.000+0000,
COMPASS-3849,1,2019-08-28T12:42:43.000+0000,
COMPASS-3844,1,2019-08-23T06:46:55.000+0000,
COMPASS-3843,1,2019-08-22T16:48:51.000+0000,
COMPASS-3842,1,2019-08-22T14:18:02.000+0000,
COMPASS-3840,1,2019-08-21T13:11:37.000+0000,
COMPASS-3839,1,2019-08-20T19:30:47.000+0000,
COMPASS-3838,1,2019-08-20T18:09:58.000+0000,
COMPASS-3837,1,2019-08-20T13:33:30.000+0000,
COMPASS-3836,1,2019-08-20T12:46:09.000+0000,
COMPASS-3834,1,2019-08-19T14:12:57.000+0000,
COMPASS-3819,1,2019-08-14T15:36:42.000+0000,
COMPASS-3816,1,2019-08-13T21:57:42.000+0000,
COMPASS-3815,1,2019-08-13T20:52:28.000+0000,
COMPASS-3814,1,2019-08-13T17:49:08.000+0000,
COMPASS-3811,1,2019-08-13T14:57:40.000+0000,
COMPASS-3810,1,2019-08-12T10:46:08.000+0000,
