key,delay_nr,fields.resolutiondate,
COMPASS-4063,1,2020-01-29 19:19:36+00:00,
COMPASS-4062,1,2020-01-29 19:19:20+00:00,
COMPASS-4059,1,2020-02-13 14:00:12+00:00,
COMPASS-4057,1,2020-02-17 13:57:17+00:00,
COMPASS-4055,1,2019-12-26 10:03:33+00:00,
COMPASS-4028,1,2020-01-08 12:46:37+00:00,
COMPASS-4018,1,2019-12-16 10:25:42+00:00,
COMPASS-4017,1,2020-01-17 16:40:11+00:00,
COMPASS-4014,1,2019-12-17 14:18:23+00:00,
COMPASS-3997,1,2019-12-16 23:38:43+00:00,
COMPASS-3984,1,2019-12-11 13:45:17+00:00,
COMPASS-3979,1,2019-11-27 15:46:56+00:00,
COMPASS-3971,1,2019-11-28 14:33:33+00:00,
COMPASS-3967,1,2019-12-05 14:40:39+00:00,
COMPASS-3965,1,2020-02-04 08:34:58+00:00,
COMPASS-3962,1,2019-12-11 13:12:36+00:00,
COMPASS-3952,1,2019-11-27 13:17:39+00:00,
COMPASS-3947,1,2019-12-09 02:39:45+00:00,
COMPASS-3945,1,2019-11-20 12:12:40+00:00,
COMPASS-3937,1,2020-01-08 15:29:25+00:00,
COMPASS-3934,1,2019-12-03 10:28:07+00:00,
COMPASS-3933,1,2020-01-29 19:19:00+00:00,
COMPASS-3930,1,2019-10-21 08:41:58+00:00,
COMPASS-3929,1,2019-10-21 08:42:09+00:00,
COMPASS-3927,1,2019-11-28 14:25:42+00:00,
COMPASS-3916,1,2019-11-27 12:11:40+00:00,
COMPASS-3911,1,2019-10-21 08:41:45+00:00,
COMPASS-3907,1,2019-11-28 14:52:04+00:00,
COMPASS-3905,1,2020-01-08 15:25:29+00:00,
COMPASS-3885,1,2019-11-01 15:11:53+00:00,
COMPASS-3878,1,2019-09-18 20:06:07+00:00,
COMPASS-3869,1,2019-10-21 08:42:19+00:00,
COMPASS-3859,1,2019-10-16 14:19:46+00:00,
COMPASS-3858,1,2019-09-25 11:18:27+00:00,
COMPASS-3853,1,2019-10-01 22:21:54+00:00,
COMPASS-3851,1,2019-11-27 12:55:59+00:00,
COMPASS-3849,1,2019-11-13 15:50:56+00:00,
COMPASS-3842,1,2019-09-25 16:37:04+00:00,
COMPASS-3840,1,2020-01-08 12:46:23+00:00,
COMPASS-3839,1,2019-09-23 21:28:17+00:00,
COMPASS-3838,1,2020-01-22 15:18:38+00:00,
COMPASS-3830,1,2019-10-30 14:13:10+00:00,
COMPASS-3829,1,2019-10-23 14:48:49+00:00,
COMPASS-3828,1,2019-10-16 14:19:28+00:00,
COMPASS-3827,1,2019-10-16 14:19:39+00:00,
COMPASS-3826,1,2019-12-09 02:39:20+00:00,
COMPASS-3821,1,2019-08-21 14:21:28+00:00,
COMPASS-3820,1,2020-01-22 15:30:39+00:00,
COMPASS-3817,1,2019-08-21 14:22:40+00:00,
COMPASS-3814,1,2019-10-01 13:36:52+00:00,
COMPASS-3805,1,2019-09-20 18:08:48+00:00,
COMPASS-3804,1,2019-09-20 17:56:44+00:00,
COMPASS-3798,1,2019-08-07 15:17:29+00:00,
COMPASS-3797,1,2019-08-12 12:06:09+00:00,
COMPASS-3795,1,2019-09-06 08:52:37+00:00,
COMPASS-3793,1,2019-08-21 13:50:24+00:00,
COMPASS-3787,1,2019-08-14 14:40:27+00:00,
COMPASS-3786,1,2019-08-16 15:11:20+00:00,
COMPASS-3783,1,2019-09-10 09:12:11+00:00,
COMPASS-3782,1,2019-09-02 08:28:53+00:00,
COMPASS-3769,1,2019-08-12 11:46:15+00:00,
COMPASS-3741,1,2019-07-24 14:04:23+00:00,
COMPASS-3740,1,2019-07-24 14:04:53+00:00,
COMPASS-3719,1,2019-08-07 10:41:08+00:00,
COMPASS-3718,1,2019-07-24 14:05:16+00:00,
COMPASS-3717,1,2019-08-21 13:50:47+00:00,
COMPASS-3715,1,2019-07-22 12:49:22+00:00,
COMPASS-3710,1,2019-09-09 08:47:27+00:00,
COMPASS-3709,1,2019-09-20 18:32:22+00:00,
COMPASS-3706,1,2019-09-24 19:22:00+00:00,
COMPASS-3705,1,2020-01-22 15:17:47+00:00,
COMPASS-3692,1,2019-09-09 08:47:39+00:00,
COMPASS-3689,1,2019-12-11 15:29:28+00:00,
COMPASS-3687,1,2019-06-13 14:21:44+00:00,
COMPASS-3681,1,2019-06-12 21:21:58+00:00,
COMPASS-3671,1,2019-09-10 12:44:03+00:00,
COMPASS-3670,1,2019-06-25 13:29:07+00:00,
COMPASS-3624,1,2019-10-21 08:42:30+00:00,
COMPASS-3623,1,2019-10-21 08:40:53+00:00,
