key,bugnr,fields.created,
APSTUD-8406,1,2015-06-10T08:13:31.000+0000,
APSTUD-8264,1,2014-08-04T20:16:51.000+0000,
APSTUD-8259,1,2014-08-01T17:42:29.000+0000,
APSTUD-8257,1,2014-08-01T09:42:59.000+0000,
APSTUD-8234,1,2014-06-28T03:52:49.000+0000,
APSTUD-8217,1,2014-06-05T13:04:25.000+0000,
APSTUD-8079,1,2013-12-27T19:56:18.000+0000,
APSTUD-8061,1,2013-12-11T14:18:59.000+0000,
APSTUD-7878,1,2013-06-01T13:39:47.000+0000,
APSTUD-7825,1,2013-04-18T22:42:28.000+0000,
APSTUD-7686,1,2013-01-14T13:40:35.000+0000,
APSTUD-7662,1,2013-01-03T09:24:59.000+0000,
APSTUD-7638,1,2012-12-20T07:10:15.000+0000,
APSTUD-7636,1,2012-12-20T06:58:08.000+0000,
APSTUD-7634,1,2012-12-20T02:12:05.000+0000,
APSTUD-7630,1,2012-12-19T02:49:54.000+0000,
APSTUD-7580,1,2012-11-24T11:57:30.000+0000,
APSTUD-7579,1,2012-11-23T16:44:59.000+0000,
APSTUD-7532,1,2012-10-28T09:18:41.000+0000,
APSTUD-7524,1,2012-10-23T13:01:15.000+0000,
APSTUD-7509,1,2012-10-15T13:04:00.000+0000,
APSTUD-7500,1,2012-10-09T19:28:59.000+0000,
APSTUD-7483,1,2012-10-02T15:27:08.000+0000,
APSTUD-7479,1,2012-10-01T15:40:27.000+0000,
APSTUD-7449,1,2012-09-21T16:39:30.000+0000,
APSTUD-7442,1,2012-09-21T05:46:01.000+0000,
APSTUD-7438,1,2012-09-20T10:46:52.000+0000,
APSTUD-7428,1,2012-09-17T08:14:26.000+0000,
APSTUD-7417,1,2012-09-14T10:15:15.000+0000,
APSTUD-7414,1,2012-09-13T18:03:03.000+0000,
APSTUD-7410,1,2012-09-13T08:03:58.000+0000,
APSTUD-7394,1,2012-09-08T10:57:57.000+0000,
APSTUD-7393,1,2012-09-08T09:27:06.000+0000,
APSTUD-7392,1,2012-09-08T07:25:19.000+0000,
APSTUD-7367,1,2012-09-03T03:20:42.000+0000,
APSTUD-7366,1,2012-09-03T00:47:47.000+0000,
APSTUD-7359,1,2012-08-30T13:53:46.000+0000,
APSTUD-7340,1,2012-08-25T18:45:50.000+0000,
APSTUD-7339,1,2012-08-25T14:58:11.000+0000,
APSTUD-7330,1,2012-08-23T06:56:26.000+0000,
APSTUD-7326,1,2012-08-21T14:57:08.000+0000,
APSTUD-7324,1,2012-08-21T14:08:05.000+0000,
APSTUD-7318,1,2012-08-20T03:09:38.000+0000,
APSTUD-7311,1,2012-08-17T10:49:49.000+0000,
APSTUD-7252,1,2012-08-03T12:10:46.000+0000,
APSTUD-7251,1,2012-08-03T12:08:05.000+0000,
APSTUD-7244,1,2012-08-02T14:53:30.000+0000,
APSTUD-7219,1,2012-07-30T22:39:26.000+0000,
APSTUD-7217,1,2012-07-30T12:55:28.000+0000,
APSTUD-7193,1,2012-07-25T06:58:47.000+0000,
APSTUD-7176,1,2012-07-23T03:46:33.000+0000,
APSTUD-7160,1,2012-07-17T05:54:11.000+0000,
APSTUD-7159,1,2012-07-17T05:26:01.000+0000,
APSTUD-6446,1,2006-06-05T17:15:21.000+0000,
APSTUD-5656,1,2011-12-15T21:33:15.000+0000,
APSTUD-5655,1,2011-12-16T00:53:02.000+0000,
APSTUD-5046,1,2012-07-13T14:17:39.000+0000,
APSTUD-5043,1,2012-07-12T10:36:23.000+0000,
APSTUD-5040,1,2012-07-12T02:44:58.000+0000,
APSTUD-5038,1,2012-07-11T15:12:45.000+0000,
APSTUD-5028,1,2012-07-11T05:07:02.000+0000,
APSTUD-5027,1,2012-07-10T22:34:09.000+0000,
APSTUD-5024,1,2012-07-10T05:28:46.000+0000,
APSTUD-5022,1,2012-07-10T00:46:18.000+0000,
APSTUD-5020,1,2012-07-09T10:19:24.000+0000,
APSTUD-5017,1,2012-07-09T06:44:48.000+0000,
APSTUD-5015,1,2012-07-09T01:45:53.000+0000,
APSTUD-5010,1,2012-07-06T11:07:32.000+0000,
APSTUD-5002,1,2012-07-05T14:28:21.000+0000,
APSTUD-4998,1,2012-07-04T08:23:26.000+0000,
APSTUD-4995,1,2012-07-03T09:23:34.000+0000,
APSTUD-4993,1,2012-07-03T09:07:40.000+0000,
APSTUD-4992,1,2012-07-03T09:05:09.000+0000,
APSTUD-4991,1,2012-07-03T09:01:20.000+0000,
APSTUD-4989,1,2012-07-03T08:53:35.000+0000,
APSTUD-4986,1,2012-07-03T06:24:07.000+0000,
APSTUD-4983,1,2012-07-03T02:34:51.000+0000,
APSTUD-4978,1,2012-07-01T08:24:00.000+0000,
APSTUD-4975,1,2012-07-01T00:55:47.000+0000,
APSTUD-4971,1,2012-06-29T04:50:02.000+0000,
APSTUD-4968,1,2012-06-28T11:06:48.000+0000,
APSTUD-4962,1,2012-06-27T14:49:55.000+0000,
APSTUD-4959,1,2012-06-27T02:45:17.000+0000,
APSTUD-4957,1,2012-06-25T10:15:05.000+0000,
APSTUD-4956,1,2012-06-24T22:59:31.000+0000,
APSTUD-4951,1,2012-06-22T07:36:26.000+0000,
APSTUD-4949,1,2012-06-22T07:20:48.000+0000,
APSTUD-4948,1,2012-06-21T12:54:42.000+0000,
APSTUD-4946,1,2012-06-21T08:19:57.000+0000,
APSTUD-4944,1,2012-06-21T07:13:00.000+0000,
APSTUD-4941,1,2012-06-20T17:15:06.000+0000,
APSTUD-4940,1,2012-06-20T15:43:30.000+0000,
APSTUD-4938,1,2012-06-19T23:40:59.000+0000,
APSTUD-4937,1,2012-06-19T19:47:39.000+0000,
APSTUD-4935,1,2012-01-31T13:29:13.000+0000,
APSTUD-4927,1,2012-06-18T22:40:51.000+0000,
APSTUD-4922,1,2012-06-18T06:22:48.000+0000,
APSTUD-4921,1,2012-06-18T00:58:10.000+0000,
APSTUD-4920,1,2012-06-17T19:31:32.000+0000,
APSTUD-4919,1,2012-06-17T13:07:15.000+0000,
APSTUD-4917,1,2012-06-15T15:05:15.000+0000,
APSTUD-4909,1,2012-06-14T05:26:34.000+0000,
APSTUD-4907,1,2012-06-13T11:51:48.000+0000,
APSTUD-4906,1,2012-06-13T11:48:48.000+0000,
APSTUD-4903,1,2012-06-12T13:11:28.000+0000,
APSTUD-4901,1,2012-06-12T00:17:00.000+0000,
APSTUD-4895,1,2012-06-07T20:39:44.000+0000,
APSTUD-4894,1,2012-06-07T06:09:29.000+0000,
APSTUD-4892,1,2012-06-07T03:13:00.000+0000,
APSTUD-4887,1,2012-06-06T05:56:54.000+0000,
APSTUD-4886,1,2012-06-05T12:04:38.000+0000,
APSTUD-4880,1,2012-06-04T00:00:17.000+0000,
APSTUD-4878,1,2012-06-01T23:35:06.000+0000,
APSTUD-4875,1,2012-06-01T12:12:36.000+0000,
APSTUD-4873,1,2012-06-01T11:58:16.000+0000,
APSTUD-4864,1,2012-05-30T07:44:37.000+0000,
APSTUD-4861,1,2012-05-30T01:30:48.000+0000,
APSTUD-4860,1,2012-05-29T06:28:01.000+0000,
APSTUD-4853,1,2012-05-22T10:19:56.000+0000,
APSTUD-4841,1,2012-05-21T08:33:11.000+0000,
APSTUD-4839,1,2012-05-20T23:25:31.000+0000,
