key,delay_nr,fields.resolutiondate,
APSTUD-8079,1,2014-01-20 19:02:22+00:00,
APSTUD-8061,1,2014-04-28 13:18:24+00:00,
APSTUD-8026,1,2013-12-02 04:35:11+00:00,
APSTUD-7634,1,2013-01-14 10:36:04+00:00,
APSTUD-7572,1,2012-11-21 20:12:52+00:00,
APSTUD-7532,1,2012-10-30 17:15:34+00:00,
APSTUD-7512,1,2012-10-29 19:32:45+00:00,
APSTUD-7479,1,2012-10-02 14:06:45+00:00,
APSTUD-7442,1,2012-10-01 13:07:04+00:00,
APSTUD-7392,1,2012-10-01 18:19:11+00:00,
APSTUD-7358,1,2012-09-25 04:51:18+00:00,
APSTUD-7352,1,2012-12-15 00:14:12+00:00,
APSTUD-7324,1,2012-08-27 08:15:48+00:00,
APSTUD-7286,1,2013-10-31 22:32:13+00:00,
APSTUD-7277,1,2012-09-26 01:32:54+00:00,
APSTUD-7247,1,2013-10-31 22:32:45+00:00,
APSTUD-7246,1,2012-12-15 00:19:31+00:00,
APSTUD-7224,1,2013-10-31 22:39:35+00:00,
APSTUD-5656,1,2012-10-04 16:53:53+00:00,
APSTUD-5041,1,2012-12-15 00:09:57+00:00,
APSTUD-5024,1,2012-08-23 14:30:03+00:00,
APSTUD-5020,1,2012-08-14 10:27:35+00:00,
APSTUD-5007,1,2013-10-31 22:30:10+00:00,
APSTUD-4998,1,2013-06-28 21:47:11+00:00,
APSTUD-4983,1,2012-11-02 14:07:04+00:00,
APSTUD-4941,1,2012-08-23 14:28:10+00:00,
APSTUD-4912,1,2012-06-15 14:16:29+00:00,
APSTUD-4903,1,2012-06-15 15:08:08+00:00,
APSTUD-4899,1,2012-06-15 08:16:39+00:00,
APSTUD-4895,1,2012-06-15 14:15:24+00:00,
APSTUD-4894,1,2012-06-15 14:15:04+00:00,
APSTUD-4874,1,2012-12-15 00:15:50+00:00,
APSTUD-4850,1,2012-05-21 12:58:01+00:00,
APSTUD-4845,1,2012-08-27 08:26:51+00:00,
APSTUD-4842,1,2012-05-30 06:16:41+00:00,
APSTUD-4841,1,2012-05-24 13:46:31+00:00,
APSTUD-4839,1,2012-05-22 16:04:56+00:00,
APSTUD-4836,1,2012-05-30 15:06:59+00:00,
APSTUD-4835,1,2012-05-21 11:30:19+00:00,
APSTUD-4834,1,2012-05-24 09:00:37+00:00,
APSTUD-4830,1,2012-05-24 07:04:12+00:00,
APSTUD-4819,1,2012-06-15 14:14:28+00:00,
APSTUD-4801,1,2012-05-25 11:51:18+00:00,
APSTUD-4800,1,2012-05-24 00:23:48+00:00,
APSTUD-4799,1,2012-05-22 07:45:31+00:00,
APSTUD-4798,1,2012-05-25 00:09:18+00:00,
APSTUD-4783,1,2012-05-30 15:05:38+00:00,
APSTUD-4776,1,2012-05-22 16:55:33+00:00,
APSTUD-4765,1,2012-07-02 08:04:18+00:00,
APSTUD-4757,1,2012-12-15 00:21:07+00:00,
APSTUD-4721,1,2012-05-22 15:05:31+00:00,
APSTUD-4710,1,2012-09-25 17:22:14+00:00,
APSTUD-4707,1,2012-05-21 11:29:30+00:00,
APSTUD-4692,1,2012-04-20 13:24:13+00:00,
APSTUD-4690,1,2012-05-21 12:00:39+00:00,
APSTUD-4663,1,2012-04-30 11:36:26+00:00,
APSTUD-4655,1,2013-10-31 22:38:25+00:00,
APSTUD-4654,1,2013-10-31 22:38:09+00:00,
APSTUD-4652,1,2013-10-31 22:39:05+00:00,
APSTUD-4627,1,2012-05-23 09:55:31+00:00,
APSTUD-4626,1,2012-08-09 09:15:35+00:00,
APSTUD-4580,1,2012-04-25 16:38:14+00:00,
APSTUD-4565,1,2012-03-23 07:30:21+00:00,
APSTUD-4513,1,2012-08-29 13:35:41+00:00,
APSTUD-4464,1,2012-05-30 08:45:30+00:00,
APSTUD-4460,1,2012-05-30 08:50:01+00:00,
APSTUD-4436,1,2012-03-23 13:13:20+00:00,
APSTUD-4399,1,2012-02-24 10:54:07+00:00,
APSTUD-4389,1,2012-03-20 06:17:42+00:00,
APSTUD-4377,1,2012-03-09 09:45:18+00:00,
APSTUD-4270,1,2012-03-15 14:24:12+00:00,
APSTUD-4267,1,2012-07-30 07:36:10+00:00,
APSTUD-4257,1,2012-01-29 09:41:47+00:00,
APSTUD-4212,1,2012-03-15 05:24:24+00:00,
APSTUD-4193,1,2012-08-23 17:20:42+00:00,
APSTUD-4183,1,2012-01-27 07:11:50+00:00,
APSTUD-4129,1,2012-06-18 07:14:26+00:00,
APSTUD-3595,1,2012-02-24 16:16:05+00:00,
APSTUD-3586,1,2012-05-29 03:26:48+00:00,
APSTUD-2983,1,2012-10-18 01:12:32+00:00,
APSTUD-2952,1,2012-06-15 10:05:34+00:00,
APSTUD-2902,1,2012-06-29 11:33:39+00:00,
APSTUD-2691,1,2012-04-27 14:41:25+00:00,
APSTUD-2430,1,2012-05-21 11:28:55+00:00,
APSTUD-2241,1,2012-01-29 09:42:36+00:00,
APSTUD-2186,1,2012-08-13 15:05:03+00:00,
APSTUD-814,1,2012-12-15 00:23:15+00:00,
