key,rework_nr,created,
APSTUD-7615,1,2011-12-08 13:02:09+00:00,
APSTUD-7615,1,2012-04-19 15:16:46+00:00,
APSTUD-4927,1,2012-06-20 14:36:17+00:00,
APSTUD-4912,1,2012-06-15 14:16:13+00:00,
APSTUD-4907,1,2012-06-13 12:06:41+00:00,
APSTUD-4895,1,2012-06-15 14:15:12+00:00,
APSTUD-4894,1,2012-06-15 14:14:50+00:00,
APSTUD-4883,1,2012-06-20 17:09:34+00:00,
APSTUD-4873,1,2012-06-06 12:39:13+00:00,
APSTUD-4860,1,2012-06-05 17:58:47+00:00,
APSTUD-4840,1,2012-06-04 09:44:30+00:00,
APSTUD-4839,1,2012-05-22 08:25:34+00:00,
APSTUD-4836,1,2012-05-30 15:06:48+00:00,
APSTUD-4835,1,2012-05-21 11:29:59+00:00,
APSTUD-4834,1,2012-05-24 09:00:18+00:00,
APSTUD-4823,1,2012-05-31 02:24:20+00:00,
APSTUD-4823,1,2012-06-05 09:52:58+00:00,
APSTUD-4819,1,2012-06-15 14:14:17+00:00,
APSTUD-4810,1,2012-06-13 09:16:11+00:00,
APSTUD-4800,1,2012-05-23 11:17:22+00:00,
APSTUD-4794,1,2012-05-17 09:28:10+00:00,
APSTUD-4793,1,2012-05-17 09:21:00+00:00,
APSTUD-4793,1,2012-05-18 08:41:39+00:00,
APSTUD-4792,1,2012-05-17 09:20:26+00:00,
APSTUD-4791,1,2012-05-17 09:19:47+00:00,
APSTUD-4790,1,2012-05-17 09:25:54+00:00,
APSTUD-4790,1,2012-05-18 08:38:42+00:00,
APSTUD-4789,1,2012-05-17 09:41:23+00:00,
APSTUD-4788,1,2012-05-17 09:19:05+00:00,
APSTUD-4788,1,2012-05-18 08:41:12+00:00,
APSTUD-4787,1,2012-05-17 09:18:49+00:00,
APSTUD-4783,1,2012-05-22 18:56:14+00:00,
APSTUD-4783,1,2012-05-24 09:15:31+00:00,
APSTUD-4783,1,2012-05-30 15:05:21+00:00,
APSTUD-4782,1,2012-05-11 09:54:37+00:00,
APSTUD-4778,1,2012-05-17 03:41:47+00:00,
APSTUD-4778,1,2012-05-20 16:32:17+00:00,
APSTUD-4775,1,2012-05-14 15:31:29+00:00,
APSTUD-4774,1,2012-05-18 08:40:44+00:00,
APSTUD-4756,1,2012-05-20 16:31:41+00:00,
APSTUD-4752,1,2012-05-02 17:32:45+00:00,
APSTUD-4750,1,2012-05-17 08:27:32+00:00,
APSTUD-4749,1,2012-05-17 08:04:45+00:00,
APSTUD-4746,1,2012-05-17 08:20:09+00:00,
APSTUD-4738,1,2012-05-02 11:13:42+00:00,
APSTUD-4737,1,2012-05-01 21:42:23+00:00,
APSTUD-4731,1,2012-05-18 08:40:19+00:00,
APSTUD-4710,1,2012-04-30 06:19:30+00:00,
APSTUD-4707,1,2012-05-21 11:29:15+00:00,
APSTUD-4699,1,2012-04-30 11:25:33+00:00,
APSTUD-4695,1,2012-04-26 08:24:15+00:00,
APSTUD-4695,1,2012-04-27 06:22:13+00:00,
APSTUD-4694,1,2012-04-26 08:24:58+00:00,
APSTUD-4694,1,2012-04-27 06:22:20+00:00,
APSTUD-4690,1,2012-05-21 10:58:41+00:00,
APSTUD-4684,1,2012-04-23 13:23:28+00:00,
APSTUD-4684,1,2012-04-24 11:15:42+00:00,
APSTUD-4684,1,2012-05-01 06:10:20+00:00,
APSTUD-4677,1,2012-04-23 06:43:55+00:00,
APSTUD-4670,1,2012-04-30 11:12:51+00:00,
APSTUD-4663,1,2012-04-19 09:45:02+00:00,
APSTUD-4663,1,2012-04-23 09:42:16+00:00,
APSTUD-4663,1,2012-04-30 11:36:11+00:00,
APSTUD-4652,1,2012-04-26 08:13:36+00:00,
APSTUD-4652,1,2012-04-26 10:52:56+00:00,
APSTUD-4648,1,2012-05-01 14:05:48+00:00,
APSTUD-4647,1,2012-04-27 08:02:35+00:00,
APSTUD-4643,1,2012-04-24 11:12:40+00:00,
APSTUD-4637,1,2012-04-30 11:26:10+00:00,
APSTUD-4627,1,2012-05-23 09:54:25+00:00,
APSTUD-4611,1,2012-04-30 15:08:33+00:00,
APSTUD-4590,1,2012-04-05 05:17:13+00:00,
APSTUD-4580,1,2012-04-25 16:37:57+00:00,
APSTUD-4543,1,2012-03-26 15:45:02+00:00,
APSTUD-4543,1,2012-04-03 20:11:12+00:00,
APSTUD-4536,1,2012-03-22 10:03:43+00:00,
APSTUD-4525,1,2012-03-19 15:04:43+00:00,
APSTUD-4525,1,2012-03-20 08:59:18+00:00,
APSTUD-4521,1,2012-06-06 13:49:24+00:00,
APSTUD-4517,1,2012-03-22 10:02:33+00:00,
APSTUD-4515,1,2012-03-22 10:01:17+00:00,
APSTUD-4508,1,2012-03-19 11:54:28+00:00,
APSTUD-4508,1,2012-05-16 10:16:52+00:00,
APSTUD-4508,1,2012-05-18 09:38:09+00:00,
APSTUD-4501,1,2012-03-19 08:51:47+00:00,
APSTUD-4501,1,2012-03-22 10:00:09+00:00,
APSTUD-4493,1,2012-03-18 19:45:15+00:00,
APSTUD-4475,1,2012-04-03 20:20:52+00:00,
APSTUD-4463,1,2012-04-13 14:11:23+00:00,
APSTUD-4450,1,2012-04-30 11:26:48+00:00,
APSTUD-4419,1,2012-02-28 07:38:18+00:00,
APSTUD-4410,1,2012-03-19 05:46:20+00:00,
APSTUD-4410,1,2012-03-20 09:36:32+00:00,
APSTUD-4410,1,2012-04-06 12:57:32+00:00,
APSTUD-4409,1,2012-04-16 13:25:18+00:00,
APSTUD-4408,1,2012-03-26 14:25:27+00:00,
APSTUD-4408,1,2012-04-03 20:21:45+00:00,
APSTUD-4389,1,2012-03-20 04:49:44+00:00,
APSTUD-4385,1,2012-03-14 07:27:55+00:00,
APSTUD-4378,1,2012-03-19 16:49:10+00:00,
APSTUD-4377,1,2012-03-08 16:33:10+00:00,
APSTUD-4368,1,2012-04-26 17:15:07+00:00,
APSTUD-4362,1,2012-04-06 12:12:17+00:00,
APSTUD-4357,1,2012-03-14 15:52:51+00:00,
APSTUD-4357,1,2012-03-15 05:46:06+00:00,
APSTUD-4357,1,2012-03-20 06:41:18+00:00,
APSTUD-4356,1,2012-03-20 22:03:41+00:00,
APSTUD-4342,1,2012-02-09 12:00:00+00:00,
APSTUD-4342,1,2012-03-06 17:38:47+00:00,
APSTUD-4342,1,2012-03-08 16:04:57+00:00,
APSTUD-4335,1,2012-03-11 10:04:17+00:00,
APSTUD-4322,1,2012-04-27 15:43:25+00:00,
APSTUD-4313,1,2012-02-02 16:23:14+00:00,
APSTUD-4309,1,2012-02-15 11:15:26+00:00,
APSTUD-4302,1,2012-03-21 09:55:05+00:00,
APSTUD-4301,1,2012-02-13 11:48:13+00:00,
APSTUD-4289,1,2012-03-15 08:49:34+00:00,
APSTUD-4282,1,2012-02-03 14:08:34+00:00,
APSTUD-4275,1,2012-02-13 07:39:47+00:00,
APSTUD-4272,1,2012-01-26 09:16:32+00:00,
APSTUD-4270,1,2012-03-15 12:44:27+00:00,
APSTUD-4242,1,2012-03-14 15:11:01+00:00,
APSTUD-4230,1,2012-03-14 15:17:01+00:00,
APSTUD-4227,1,2012-03-14 15:19:09+00:00,
APSTUD-4221,1,2012-03-14 15:21:30+00:00,
APSTUD-4221,1,2012-03-19 11:48:13+00:00,
APSTUD-4213,1,2012-03-14 15:03:32+00:00,
APSTUD-4212,1,2012-03-14 15:24:16+00:00,
APSTUD-4183,1,2012-01-24 11:06:50+00:00,
APSTUD-4152,1,2012-03-15 10:39:19+00:00,
APSTUD-4152,1,2012-04-06 13:14:21+00:00,
APSTUD-4142,1,2012-01-17 12:54:16+00:00,
APSTUD-4142,1,2012-01-17 12:54:44+00:00,
APSTUD-4139,1,2012-03-26 07:27:43+00:00,
APSTUD-4139,1,2012-05-18 08:39:54+00:00,
APSTUD-4130,1,2012-01-10 12:47:44+00:00,
APSTUD-4078,1,2012-01-06 17:33:14+00:00,
APSTUD-4067,1,2012-02-13 15:09:09+00:00,
APSTUD-4061,1,2012-03-03 22:05:44+00:00,
APSTUD-4061,1,2012-04-03 20:08:56+00:00,
APSTUD-4036,1,2012-01-26 12:30:47+00:00,
APSTUD-4030,1,2012-03-14 15:41:30+00:00,
APSTUD-3997,1,2012-04-12 11:06:28+00:00,
APSTUD-3983,1,2012-03-06 15:29:13+00:00,
APSTUD-3967,1,2012-03-07 13:12:52+00:00,
APSTUD-3961,1,2011-12-28 21:06:33+00:00,
APSTUD-3958,1,2012-03-22 09:42:10+00:00,
APSTUD-3941,1,2011-12-21 17:50:46+00:00,
APSTUD-3924,1,2011-12-01 13:54:38+00:00,
APSTUD-3919,1,2012-03-13 07:25:38+00:00,
APSTUD-3919,1,2012-03-22 09:58:38+00:00,
APSTUD-3828,1,2011-12-12 14:19:58+00:00,
APSTUD-3828,1,2012-03-19 16:02:08+00:00,
APSTUD-3828,1,2012-04-02 15:56:41+00:00,
APSTUD-3795,1,2012-03-20 16:41:47+00:00,
APSTUD-3786,1,2012-04-23 16:00:33+00:00,
APSTUD-3723,1,2011-11-01 15:28:46+00:00,
APSTUD-3695,1,2012-02-03 14:05:04+00:00,
APSTUD-3691,1,2012-01-09 05:17:29+00:00,
APSTUD-3688,1,2012-03-22 05:08:44+00:00,
APSTUD-3682,1,2012-06-04 15:07:45+00:00,
APSTUD-3599,1,2012-05-08 08:00:31+00:00,
APSTUD-3569,1,2011-12-12 10:35:51+00:00,
APSTUD-3552,1,2011-12-09 11:31:17+00:00,
