key,bugnr,fields.created,
DNN-27698,1,2013-07-20T22:02:00.000-0700,
DNN-27696,1,2013-07-19T06:48:00.000-0700,
DNN-27688,1,2013-07-18T09:29:00.000-0700,
DNN-27687,1,2013-07-18T09:25:00.000-0700,
DNN-27631,1,2013-07-12T02:59:00.000-0700,
DNN-27397,1,2013-06-27T11:09:00.000-0700,
DNN-27332,1,2013-06-25T10:07:00.000-0700,
DNN-27319,1,2013-06-25T02:42:00.000-0700,
DNN-27210,1,2013-06-20T04:00:00.000-0700,
DNN-27195,1,2013-06-19T10:26:00.000-0700,
DNN-27184,1,2013-06-18T21:01:00.000-0700,
DNN-27014,1,2013-06-10T14:05:00.000-0700,
DNN-26928,1,2013-06-05T19:11:00.000-0700,
DNN-26919,1,2013-06-05T08:52:00.000-0700,
DNN-26905,1,2013-06-04T13:53:00.000-0700,
DNN-26778,1,2013-05-29T23:05:00.000-0700,
DNN-26777,1,2013-05-29T18:44:00.000-0700,
DNN-26716,1,2013-05-28T05:57:00.000-0700,
DNN-26701,1,2013-05-27T14:19:00.000-0700,
DNN-26657,1,2013-05-24T13:56:00.000-0700,
DNN-26637,1,2013-05-23T21:05:00.000-0700,
DNN-26537,1,2013-05-20T02:50:00.000-0700,
DNN-26536,1,2013-05-19T23:19:00.000-0700,
DNN-26462,1,2013-05-15T03:26:00.000-0700,
DNN-26420,1,2013-05-12T20:01:00.000-0700,
DNN-26408,1,2013-05-10T00:16:00.000-0700,
DNN-26363,1,2013-05-08T18:08:00.000-0700,
DNN-26286,1,2013-05-06T13:59:00.000-0700,
DNN-26266,1,2013-05-05T23:24:00.000-0700,
DNN-26234,1,2013-05-02T03:24:00.000-0700,
DNN-26207,1,2013-04-30T00:08:00.000-0700,
DNN-26126,1,2013-04-22T23:00:00.000-0700,
DNN-26063,1,2013-04-18T11:44:00.000-0700,
DNN-26019,1,2013-04-15T14:30:00.000-0700,
DNN-25991,1,2013-04-11T06:31:00.000-0700,
DNN-25964,1,2013-04-09T03:26:00.000-0700,
DNN-25163,1,2013-02-14T04:13:00.000-0800,
DNN-24984,1,2013-01-31T07:25:00.000-0800,
DNN-24911,1,2013-01-24T04:27:00.000-0800,
DNN-24779,1,2013-01-15T21:24:00.000-0800,
DNN-24704,1,2013-01-11T05:08:00.000-0800,
DNN-24568,1,2013-01-02T17:58:00.000-0800,
DNN-24394,1,2012-12-12T07:39:00.000-0800,
DNN-24334,1,2012-12-07T05:59:00.000-0800,
DNN-24216,1,2012-11-22T23:29:00.000-0800,
DNN-24189,1,2012-11-21T23:09:00.000-0800,
DNN-24161,1,2012-11-21T03:28:00.000-0800,
DNN-24145,1,2012-11-20T05:14:00.000-0800,
DNN-24134,1,2012-11-19T22:55:00.000-0800,
DNN-24128,1,2012-11-19T00:53:00.000-0800,
DNN-24105,1,2012-11-19T06:29:00.000-0800,
DNN-24092,1,2012-11-17T21:05:00.000-0800,
DNN-24076,1,2012-11-16T06:43:00.000-0800,
DNN-24075,1,2012-11-16T06:33:00.000-0800,
DNN-24060,1,2012-11-16T05:04:00.000-0800,
DNN-23997,1,2012-11-15T03:59:00.000-0800,
DNN-23992,1,2012-11-14T23:42:00.000-0800,
DNN-23965,1,2012-11-14T03:46:00.000-0800,
DNN-23950,1,2012-11-13T03:28:00.000-0800,
DNN-23949,1,2012-11-13T03:25:00.000-0800,
DNN-23866,1,2012-11-06T08:52:00.000-0800,
DNN-23857,1,2012-11-06T05:35:00.000-0800,
DNN-23856,1,2012-11-06T04:46:00.000-0800,
DNN-23844,1,2012-11-05T17:56:00.000-0800,
DNN-23814,1,2012-11-05T07:24:00.000-0800,
DNN-23811,1,2012-11-05T06:12:00.000-0800,
DNN-23755,1,2012-11-02T01:53:00.000-0700,
DNN-23718,1,2012-10-31T00:22:00.000-0700,
DNN-23653,1,2012-10-29T07:27:00.000-0700,
DNN-23528,1,2012-10-23T10:29:00.000-0700,
DNN-23417,1,2012-10-17T14:57:00.000-0700,
DNN-23413,1,2012-10-17T13:08:00.000-0700,
DNN-23359,1,2012-10-16T09:30:00.000-0700,
DNN-23299,1,2012-10-15T02:24:00.000-0700,
DNN-22888,1,2012-09-23T10:35:00.000-0700,
DNN-22818,1,2012-09-21T08:09:00.000-0700,
DNN-22761,1,2012-09-19T06:01:00.000-0700,
DNN-22760,1,2012-09-19T02:33:00.000-0700,
DNN-22725,1,2012-09-17T09:33:00.000-0700,
DNN-22716,1,2012-09-16T20:20:00.000-0700,
DNN-22451,1,2012-08-29T10:49:00.000-0700,
DNN-22307,1,2012-08-17T02:31:00.000-0700,
DNN-22196,1,2012-08-08T05:12:00.000-0700,
DNN-21973,1,2012-07-15T05:38:00.000-0700,
DNN-21940,1,2012-07-10T13:57:00.000-0700,
DNN-21906,1,2012-07-05T00:09:00.000-0700,
DNN-21731,1,2012-06-18T04:19:00.000-0700,
DNN-21630,1,2012-06-06T11:36:00.000-0700,
DNN-21596,1,2012-06-04T09:56:00.000-0700,
DNN-21594,1,2012-06-04T08:15:00.000-0700,
