key,delay_nr,fields.resolutiondate,
DNN-27696,1,2013-09-06 20:10:40+00:00,
DNN-27688,1,2013-10-09 17:36:41+00:00,
DNN-27687,1,2013-08-27 23:35:46+00:00,
DNN-27397,1,2013-08-17 09:13:18+00:00,
DNN-27332,1,2013-10-09 17:41:29+00:00,
DNN-27319,1,2013-10-29 13:15:37+00:00,
DNN-27195,1,2014-01-06 22:17:15+00:00,
DNN-27118,1,2013-10-09 17:53:00+00:00,
DNN-26928,1,2013-09-06 15:32:23+00:00,
DNN-26919,1,2013-08-27 15:47:51+00:00,
DNN-26810,1,2014-03-25 15:57:00+00:00,
DNN-26778,1,2014-02-14 00:58:57+00:00,
DNN-26777,1,2014-02-11 19:33:53+00:00,
DNN-26716,1,2013-09-09 20:53:38+00:00,
DNN-26701,1,2015-10-05 15:50:04+00:00,
DNN-26657,1,2014-02-19 18:33:18+00:00,
DNN-26637,1,2015-12-29 15:17:32+00:00,
DNN-26537,1,2014-05-01 17:59:15+00:00,
DNN-26420,1,2013-08-28 23:26:30+00:00,
DNN-26408,1,2013-08-14 08:53:36+00:00,
DNN-26286,1,2013-10-09 19:29:51+00:00,
DNN-25991,1,2013-10-21 01:34:08+00:00,
DNN-25964,1,2013-12-10 23:59:18+00:00,
DNN-25163,1,2013-12-19 19:09:08+00:00,
DNN-24984,1,2013-12-25 12:10:10+00:00,
DNN-24911,1,2013-09-05 02:02:35+00:00,
DNN-24334,1,2014-01-07 19:06:40+00:00,
DNN-24216,1,2013-08-28 01:21:20+00:00,
DNN-24161,1,2014-01-10 16:02:24+00:00,
DNN-24134,1,2013-12-09 23:36:36+00:00,
DNN-24128,1,2014-04-08 03:02:31+00:00,
DNN-24092,1,2013-08-14 07:08:04+00:00,
DNN-24076,1,2013-09-04 05:35:44+00:00,
DNN-24075,1,2014-01-03 22:19:01+00:00,
DNN-23992,1,2013-12-04 21:40:59+00:00,
DNN-23965,1,2013-08-28 01:02:45+00:00,
DNN-23950,1,2013-12-06 20:18:45+00:00,
DNN-23949,1,2013-10-29 15:05:07+00:00,
DNN-23866,1,2013-08-14 15:04:00+00:00,
DNN-23814,1,2013-10-29 17:00:14+00:00,
DNN-23718,1,2013-11-05 17:09:56+00:00,
DNN-23417,1,2013-09-04 20:00:01+00:00,
DNN-23368,1,2013-11-01 21:26:59+00:00,
DNN-23299,1,2013-10-29 13:04:39+00:00,
DNN-23094,1,2014-03-05 05:10:56+00:00,
DNN-22888,1,2013-12-27 18:43:03+00:00,
DNN-22841,1,2016-01-22 21:59:26+00:00,
DNN-22307,1,2013-08-14 11:02:18+00:00,
DNN-21630,1,2013-10-29 14:43:04+00:00,
DNN-21596,1,2013-09-03 22:50:57+00:00,
DNN-21235,1,2015-12-14 16:51:38+00:00,
DNN-21211,1,2013-10-23 18:39:47+00:00,
DNN-21094,1,2013-10-23 18:34:31+00:00,
DNN-20333,1,2013-12-10 23:59:52+00:00,
DNN-20297,1,2014-01-07 19:51:15+00:00,
DNN-20135,1,2013-09-04 19:42:46+00:00,
DNN-19924,1,2013-08-29 18:17:20+00:00,
DNN-8597,1,2016-04-12 23:16:13+00:00,
DNN-8576,1,2016-04-11 18:23:08+00:00,
DNN-8569,1,2016-03-31 21:44:23+00:00,
DNN-8565,1,2016-03-29 22:04:15+00:00,
DNN-8561,1,2016-04-06 23:35:08+00:00,
DNN-8560,1,2016-04-06 23:36:01+00:00,
DNN-8559,1,2016-04-04 17:33:37+00:00,
DNN-8555,1,2016-03-29 19:42:37+00:00,
DNN-8530,1,2016-03-21 19:54:16+00:00,
DNN-8524,1,2016-04-09 00:01:47+00:00,
DNN-8523,1,2016-03-31 23:54:27+00:00,
DNN-8453,1,2016-02-22 17:08:54+00:00,
DNN-8422,1,2016-04-04 22:27:30+00:00,
DNN-8416,1,2016-02-09 20:41:13+00:00,
DNN-8382,1,2016-01-22 21:28:26+00:00,
DNN-8378,1,2016-01-29 11:59:25+00:00,
DNN-8310,1,2016-03-01 20:44:36+00:00,
DNN-8299,1,2016-01-11 20:38:12+00:00,
DNN-8294,1,2016-01-20 01:02:04+00:00,
DNN-8232,1,2016-04-04 20:46:47+00:00,
DNN-8208,1,2015-12-29 12:31:46+00:00,
DNN-8202,1,2015-12-29 16:46:46+00:00,
DNN-8176,1,2016-01-13 23:19:47+00:00,
DNN-8166,1,2016-03-04 23:35:04+00:00,
DNN-8156,1,2016-01-25 04:01:06+00:00,
DNN-8155,1,2016-01-08 01:25:09+00:00,
DNN-8141,1,2015-12-30 23:38:14+00:00,
DNN-8114,1,2016-03-18 05:00:52+00:00,
DNN-8112,1,2015-12-14 20:16:55+00:00,
DNN-8110,1,2016-01-19 18:00:18+00:00,
DNN-8107,1,2015-12-30 23:08:01+00:00,
DNN-8103,1,2016-01-06 20:37:17+00:00,
DNN-8101,1,2015-12-14 18:45:19+00:00,
DNN-8082,1,2016-01-14 20:32:06+00:00,
DNN-8081,1,2015-12-10 23:20:19+00:00,
DNN-8080,1,2015-12-17 03:35:03+00:00,
DNN-8073,1,2016-01-04 17:54:12+00:00,
DNN-8072,1,2016-01-07 07:02:20+00:00,
DNN-8068,1,2015-12-17 05:04:48+00:00,
DNN-8063,1,2016-04-04 00:27:36+00:00,
DNN-8053,1,2015-12-22 19:35:34+00:00,
DNN-8048,1,2016-02-24 22:38:20+00:00,
DNN-8047,1,2016-01-07 21:41:49+00:00,
DNN-8032,1,2015-12-14 09:31:41+00:00,
DNN-8028,1,2015-12-17 10:18:32+00:00,
DNN-8012,1,2016-01-07 19:28:26+00:00,
DNN-8009,1,2015-12-01 01:18:48+00:00,
DNN-8006,1,2015-11-25 12:34:49+00:00,
DNN-7983,1,2015-12-14 10:00:28+00:00,
DNN-7969,1,2016-04-06 02:55:31+00:00,
DNN-7960,1,2016-02-22 22:45:26+00:00,
DNN-7957,1,2015-12-18 18:08:39+00:00,
DNN-7955,1,2015-12-16 22:19:52+00:00,
DNN-7937,1,2015-12-09 23:30:56+00:00,
DNN-7928,1,2015-12-17 09:46:49+00:00,
DNN-7908,1,2015-12-03 00:23:12+00:00,
DNN-7904,1,2015-12-10 00:40:21+00:00,
DNN-7895,1,2015-11-10 18:02:51+00:00,
DNN-7894,1,2015-12-10 22:29:33+00:00,
DNN-7891,1,2015-12-02 22:22:17+00:00,
DNN-7887,1,2015-11-06 19:54:34+00:00,
DNN-7886,1,2016-01-09 20:12:14+00:00,
DNN-7875,1,2015-11-10 00:26:46+00:00,
DNN-7872,1,2015-11-06 01:14:23+00:00,
DNN-7857,1,2016-02-18 08:45:28+00:00,
DNN-7855,1,2015-12-18 18:04:50+00:00,
DNN-7831,1,2015-11-09 16:25:45+00:00,
DNN-7819,1,2015-11-02 19:17:03+00:00,
DNN-7811,1,2015-11-17 23:20:50+00:00,
DNN-7809,1,2015-12-30 22:12:32+00:00,
DNN-7808,1,2015-11-09 09:53:53+00:00,
DNN-7782,1,2016-02-02 03:29:20+00:00,
DNN-7778,1,2015-11-24 17:33:19+00:00,
DNN-7772,1,2016-04-05 12:10:58+00:00,
DNN-7770,1,2015-12-18 16:58:06+00:00,
DNN-7769,1,2016-01-06 18:43:33+00:00,
DNN-7761,1,2015-11-04 21:24:06+00:00,
DNN-7760,1,2015-10-29 14:38:48+00:00,
DNN-7750,1,2015-11-02 12:50:23+00:00,
DNN-7739,1,2015-11-09 14:39:54+00:00,
DNN-7737,1,2015-10-30 11:23:31+00:00,
DNN-7731,1,2015-12-31 22:18:21+00:00,
DNN-7718,1,2016-02-19 18:01:08+00:00,
DNN-7688,1,2015-10-23 22:10:45+00:00,
DNN-7677,1,2015-11-25 10:31:38+00:00,
DNN-7671,1,2015-12-29 20:27:44+00:00,
DNN-7667,1,2015-11-12 14:31:44+00:00,
DNN-7659,1,2016-02-24 18:47:01+00:00,
DNN-7634,1,2015-11-02 03:58:55+00:00,
DNN-7627,1,2015-10-28 17:28:13+00:00,
DNN-7623,1,2016-03-11 22:57:14+00:00,
DNN-7619,1,2016-01-14 20:32:00+00:00,
DNN-7617,1,2015-11-05 00:10:29+00:00,
DNN-7616,1,2015-10-19 22:17:47+00:00,
DNN-7614,1,2015-11-27 20:41:54+00:00,
DNN-7610,1,2015-10-28 21:54:15+00:00,
DNN-7609,1,2015-10-15 22:51:14+00:00,
DNN-7608,1,2015-10-26 22:28:38+00:00,
DNN-7600,1,2016-01-14 20:31:51+00:00,
DNN-7589,1,2015-10-27 00:12:50+00:00,
DNN-7576,1,2015-09-17 16:24:15+00:00,
DNN-7573,1,2015-09-17 21:15:14+00:00,
DNN-7570,1,2016-01-06 22:37:21+00:00,
DNN-7569,1,2015-11-03 19:24:15+00:00,
