key,rework_nr,created,
DNN-27696,1,2013-09-05 21:27:44.493000+00:00,
DNN-27688,1,2013-07-29 17:45:50.795000+00:00,
DNN-27688,1,2013-08-28 15:32:31.325000+00:00,
DNN-27688,1,2013-10-09 16:54:36.598000+00:00,
DNN-27686,1,2013-07-29 17:46:52.523000+00:00,
DNN-27686,1,2013-11-05 17:20:54.969000+00:00,
DNN-27631,1,2014-01-31 19:11:03.007000+00:00,
DNN-27631,1,2014-02-03 19:24:57.828000+00:00,
DNN-27332,1,2013-07-30 16:13:51.119000+00:00,
DNN-27332,1,2013-09-16 17:55:28.769000+00:00,
DNN-27332,1,2013-09-17 18:31:21.258000+00:00,
DNN-27195,1,2014-01-03 22:52:13.417000+00:00,
DNN-27184,1,2013-11-05 16:51:12.105000+00:00,
DNN-27014,1,2014-02-14 22:12:06.314000+00:00,
DNN-26919,1,2013-08-15 16:28:32.998000+00:00,
DNN-26778,1,2013-08-19 14:46:33.495000+00:00,
DNN-26778,1,2013-11-05 17:20:53.643000+00:00,
DNN-26777,1,2013-11-05 16:51:08.438000+00:00,
DNN-26777,1,2014-02-11 02:08:07.700000+00:00,
DNN-26717,1,2013-11-05 16:51:37.677000+00:00,
DNN-26717,1,2014-01-02 20:18:07.439000+00:00,
DNN-26717,1,2014-01-03 18:05:35.911000+00:00,
DNN-26716,1,2013-08-23 22:51:19.888000+00:00,
DNN-26716,1,2013-09-09 20:28:00.155000+00:00,
DNN-26701,1,2013-11-05 16:51:00.834000+00:00,
DNN-26657,1,2014-02-18 17:03:45.359000+00:00,
DNN-26637,1,2014-02-03 16:28:21.812000+00:00,
DNN-26537,1,2013-09-06 22:30:55.896000+00:00,
DNN-26537,1,2014-04-14 17:53:19.446000+00:00,
DNN-26536,1,2013-11-05 16:51:20.813000+00:00,
DNN-26462,1,2013-11-05 16:51:03.990000+00:00,
DNN-26461,1,2013-09-03 22:21:07.113000+00:00,
DNN-26420,1,2013-07-31 22:31:05.480000+00:00,
DNN-26420,1,2013-08-28 23:25:47.747000+00:00,
DNN-26286,1,2013-08-13 17:35:06.440000+00:00,
DNN-26266,1,2013-11-05 16:51:17.834000+00:00,
DNN-26245,1,2013-11-05 16:51:29.823000+00:00,
DNN-26234,1,2014-02-06 20:02:06.607000+00:00,
DNN-26207,1,2013-08-26 21:43:39.260000+00:00,
DNN-26126,1,2013-11-05 16:51:17.137000+00:00,
DNN-26063,1,2013-11-05 16:51:30.958000+00:00,
DNN-26019,1,2013-11-05 16:50:59.557000+00:00,
DNN-25991,1,2013-10-10 18:16:40.051000+00:00,
DNN-25991,1,2013-10-11 00:12:06.582000+00:00,
DNN-25991,1,2013-10-17 23:09:36.799000+00:00,
DNN-25991,1,2013-10-18 17:10:01.790000+00:00,
DNN-25964,1,2013-11-05 16:51:40.482000+00:00,
DNN-25964,1,2013-12-10 23:58:47.285000+00:00,
DNN-25824,1,2013-12-17 18:54:27.369000+00:00,
DNN-25320,1,2013-12-17 19:19:29.562000+00:00,
DNN-25163,1,2013-11-05 16:51:06.508000+00:00,
DNN-25163,1,2013-12-19 19:08:12.513000+00:00,
DNN-24984,1,2013-11-05 17:20:54.475000+00:00,
DNN-24984,1,2013-12-19 18:20:28.738000+00:00,
DNN-24779,1,2013-11-05 16:51:31.756000+00:00,
DNN-24704,1,2013-11-05 17:20:54.710000+00:00,
DNN-24568,1,2013-11-05 16:51:00.994000+00:00,
DNN-24342,1,2014-02-03 22:15:50.323000+00:00,
DNN-24334,1,2013-08-26 21:37:11.109000+00:00,
DNN-24334,1,2013-11-05 17:20:54.364000+00:00,
DNN-24216,1,2013-08-26 19:30:50.602000+00:00,
DNN-24189,1,2013-10-08 15:46:32.158000+00:00,
DNN-24161,1,2013-08-21 21:28:45.980000+00:00,
DNN-24145,1,2013-11-05 16:50:59.808000+00:00,
DNN-24134,1,2013-11-05 16:51:14.963000+00:00,
DNN-24128,1,2014-02-03 02:37:46.105000+00:00,
DNN-24105,1,2013-11-05 16:51:39.153000+00:00,
DNN-24076,1,2013-08-20 16:56:28.362000+00:00,
DNN-24075,1,2013-08-30 07:13:41.352000+00:00,
DNN-24075,1,2013-09-06 14:30:36.268000+00:00,
DNN-24075,1,2013-10-03 16:20:01.131000+00:00,
DNN-24075,1,2013-11-26 14:04:04.593000+00:00,
DNN-24075,1,2013-12-23 21:14:48.575000+00:00,
DNN-24061,1,2013-12-17 19:24:45.174000+00:00,
DNN-24060,1,2013-10-08 18:01:36.674000+00:00,
DNN-23997,1,2013-08-21 23:19:40.923000+00:00,
DNN-23992,1,2013-11-05 16:51:21.145000+00:00,
DNN-23950,1,2013-10-04 17:45:19.796000+00:00,
DNN-23950,1,2013-11-05 17:20:53.836000+00:00,
DNN-23856,1,2013-11-05 16:51:21.622000+00:00,
DNN-23814,1,2013-10-04 16:54:27.532000+00:00,
DNN-23814,1,2013-10-10 21:01:12.207000+00:00,
DNN-23814,1,2013-10-29 16:46:28.416000+00:00,
DNN-23755,1,2013-11-05 16:50:59.083000+00:00,
DNN-23726,1,2013-12-17 19:26:28.664000+00:00,
DNN-23726,1,2014-07-11 21:12:39.903000+00:00,
DNN-23726,1,2014-12-16 23:14:03.936000+00:00,
DNN-23718,1,2013-08-22 22:37:48.563000+00:00,
DNN-23718,1,2013-09-12 05:59:43.784000+00:00,
DNN-23718,1,2013-11-05 17:08:31.381000+00:00,
DNN-23717,1,2013-11-05 17:20:53.931000+00:00,
DNN-23653,1,2013-11-05 16:51:05.483000+00:00,
DNN-23417,1,2013-07-26 22:39:48.679000+00:00,
DNN-23417,1,2013-08-02 16:54:41.250000+00:00,
DNN-23417,1,2013-08-13 18:48:06.608000+00:00,
DNN-23368,1,2013-10-24 08:21:47.747000+00:00,
DNN-23359,1,2013-11-05 16:50:54.679000+00:00,
DNN-23094,1,2013-11-05 16:51:11.954000+00:00,
DNN-22885,1,2013-11-05 16:50:54.569000+00:00,
DNN-22841,1,2015-08-12 19:41:54.583000+00:00,
DNN-22761,1,2014-01-14 22:54:52.541000+00:00,
DNN-22760,1,2013-11-05 17:20:54.181000+00:00,
DNN-21973,1,2013-10-16 16:47:24.689000+00:00,
DNN-21973,1,2013-10-17 16:44:04.547000+00:00,
DNN-21973,1,2013-10-21 19:16:44.813000+00:00,
DNN-21973,1,2013-11-15 18:22:56.901000+00:00,
DNN-21906,1,2013-10-28 18:53:26.087000+00:00,
DNN-21887,1,2013-11-05 16:51:20.990000+00:00,
DNN-21568,1,2013-08-18 15:29:07.106000+00:00,
DNN-21568,1,2013-11-05 17:20:54.067000+00:00,
DNN-21258,1,2013-11-05 16:51:31.516000+00:00,
DNN-21235,1,2013-12-10 20:52:39.005000+00:00,
DNN-21235,1,2014-03-31 03:44:06.228000+00:00,
DNN-21235,1,2015-12-14 08:43:26.580000+00:00,
DNN-21213,1,2013-11-05 16:51:08.913000+00:00,
DNN-21211,1,2013-10-07 23:36:48.235000+00:00,
DNN-21094,1,2013-10-22 02:30:20.328000+00:00,
DNN-21060,1,2013-11-05 16:51:08.588000+00:00,
DNN-21003,1,2013-11-05 16:50:48.301000+00:00,
DNN-20544,1,2013-11-05 16:51:19.903000+00:00,
DNN-20348,1,2013-10-03 22:42:16.121000+00:00,
DNN-20333,1,2013-12-10 23:59:35.496000+00:00,
DNN-20186,1,2014-05-02 12:01:35.078000+00:00,
DNN-20135,1,2013-08-23 06:02:49.824000+00:00,
DNN-20135,1,2013-08-29 00:45:05.911000+00:00,
DNN-20135,1,2013-09-04 08:16:40.642000+00:00,
DNN-19924,1,2013-08-29 02:19:39.576000+00:00,
DNN-19924,1,2013-08-29 04:33:55.931000+00:00,
DNN-8215,1,2015-12-31 19:32:39.986000+00:00,
DNN-8078,1,2015-12-23 22:48:09.050000+00:00,
DNN-8068,1,2015-12-17 01:41:23.384000+00:00,
DNN-8057,1,2015-12-17 17:16:10.161000+00:00,
DNN-8047,1,2015-12-17 05:29:52.825000+00:00,
DNN-8034,1,2015-12-03 22:13:55.846000+00:00,
DNN-8033,1,2015-12-01 18:14:30.766000+00:00,
DNN-8008,1,2015-12-02 01:00:42.377000+00:00,
DNN-7999,1,2015-11-26 20:41:21.454000+00:00,
DNN-7983,1,2015-12-10 15:21:47.656000+00:00,
DNN-7983,1,2015-12-11 17:17:31.701000+00:00,
DNN-7947,1,2015-11-20 02:07:33.128000+00:00,
DNN-7928,1,2015-12-16 00:38:58.369000+00:00,
