key,delay_nr,fields.resolutiondate,
MESOS-5263,1,2016-04-26 19:23:29+00:00,
MESOS-5164,1,2016-04-27 16:26:55+00:00,
MESOS-5142,1,2016-04-27 16:25:26+00:00,
MESOS-5130,1,2016-04-14 16:19:21+00:00,
MESOS-4978,1,2016-04-08 20:16:01+00:00,
MESOS-4962,1,2016-04-06 21:42:21+00:00,
MESOS-4951,1,2016-04-26 20:30:37+00:00,
MESOS-4939,1,2016-04-05 17:41:32+00:00,
MESOS-4937,1,2016-04-01 21:25:36+00:00,
MESOS-4932,1,2016-04-22 15:04:28+00:00,
MESOS-4928,1,2016-03-29 18:28:42+00:00,
MESOS-4926,1,2016-03-29 18:46:59+00:00,
MESOS-4922,1,2016-04-14 16:19:46+00:00,
MESOS-4910,1,2016-03-31 15:13:23+00:00,
MESOS-4909,1,2016-03-31 15:15:40+00:00,
MESOS-4902,1,2016-04-27 13:07:27+00:00,
MESOS-4881,1,2016-04-01 09:59:17+00:00,
MESOS-4865,1,2016-03-30 00:37:11+00:00,
MESOS-4864,1,2016-03-30 00:36:54+00:00,
MESOS-4863,1,2016-04-06 00:48:36+00:00,
MESOS-4861,1,2016-03-29 23:26:24+00:00,
MESOS-4860,1,2016-03-29 18:59:05+00:00,
MESOS-4850,1,2016-03-24 06:19:41+00:00,
MESOS-4849,1,2016-03-24 06:18:08+00:00,
MESOS-4821,1,2016-03-30 16:54:03+00:00,
MESOS-4820,1,2016-03-30 16:56:05+00:00,
MESOS-4818,1,2016-03-23 22:45:45+00:00,
MESOS-4803,1,2016-04-01 02:35:29+00:00,
MESOS-4802,1,2016-03-31 18:19:02+00:00,
MESOS-4764,1,2016-04-02 18:43:50+00:00,
MESOS-4763,1,2016-04-25 23:38:13+00:00,
MESOS-4762,1,2016-04-10 19:03:43+00:00,
MESOS-4761,1,2016-03-22 16:36:48+00:00,
MESOS-4759,1,2016-04-08 20:16:45+00:00,
MESOS-4748,1,2016-03-03 02:07:06+00:00,
MESOS-4723,1,2016-03-22 19:12:12+00:00,
MESOS-4722,1,2016-03-26 00:13:29+00:00,
MESOS-4721,1,2016-03-23 07:47:28+00:00,
MESOS-4720,1,2016-03-23 01:02:33+00:00,
MESOS-4691,1,2016-03-02 06:53:44+00:00,
MESOS-4684,1,2016-03-14 17:21:29+00:00,
MESOS-4683,1,2016-03-02 02:28:08+00:00,
MESOS-4678,1,2016-03-31 18:07:46+00:00,
MESOS-4634,1,2016-03-16 13:23:43+00:00,
MESOS-4633,1,2016-03-16 13:23:16+00:00,
MESOS-4625,1,2016-03-31 19:46:03+00:00,
MESOS-4623,1,2016-03-29 23:26:42+00:00,
MESOS-4619,1,2016-02-20 16:53:26+00:00,
MESOS-4584,1,2016-02-20 16:51:46+00:00,
MESOS-4582,1,2016-02-16 23:27:17+00:00,
MESOS-4576,1,2016-04-19 17:24:48+00:00,
MESOS-4573,1,2016-02-26 23:39:26+00:00,
MESOS-4564,1,2016-02-08 23:38:59+00:00,
MESOS-4531,1,2016-02-16 21:44:55+00:00,
MESOS-4499,1,2016-02-23 23:12:31+00:00,
MESOS-4479,1,2016-02-12 00:19:23+00:00,
MESOS-4439,1,2016-02-11 23:28:08+00:00,
MESOS-4435,1,2016-02-01 04:35:43+00:00,
MESOS-4421,1,2016-02-12 20:56:03+00:00,
MESOS-4415,1,2016-03-02 01:46:23+00:00,
MESOS-4383,1,2016-02-05 21:46:15+00:00,
MESOS-4382,1,2016-01-19 17:07:53+00:00,
MESOS-4381,1,2016-03-10 17:38:48+00:00,
MESOS-4377,1,2016-02-04 19:10:31+00:00,
MESOS-4360,1,2016-01-28 02:20:49+00:00,
MESOS-4357,1,2016-01-19 20:03:30+00:00,
MESOS-4349,1,2016-01-20 07:00:35+00:00,
MESOS-4345,1,2016-02-06 19:28:58+00:00,
MESOS-4344,1,2016-02-09 18:18:08+00:00,
MESOS-4333,1,2016-02-08 23:39:23+00:00,
MESOS-4316,1,2016-04-25 17:16:04+00:00,
MESOS-4304,1,2016-01-22 10:38:01+00:00,
MESOS-4301,1,2016-01-19 21:44:10+00:00,
MESOS-4291,1,2016-02-23 23:13:12+00:00,
MESOS-4285,1,2016-02-08 17:29:42+00:00,
MESOS-4281,1,2016-01-26 22:00:55+00:00,
MESOS-4262,1,2016-01-20 18:16:14+00:00,
MESOS-4261,1,2016-02-23 23:12:48+00:00,
MESOS-4241,1,2016-01-07 17:00:42+00:00,
MESOS-4225,1,2016-01-28 21:48:46+00:00,
MESOS-4222,1,2016-01-07 16:54:27+00:00,
MESOS-4214,1,2016-03-14 11:23:51+00:00,
MESOS-4206,1,2016-01-25 04:17:42+00:00,
MESOS-4200,1,2016-02-19 09:19:19+00:00,
MESOS-4191,1,2016-01-20 00:13:53+00:00,
MESOS-4177,1,2016-01-06 01:10:06+00:00,
MESOS-4150,1,2016-01-25 04:17:25+00:00,
MESOS-4137,1,2015-12-29 23:55:01+00:00,
MESOS-4136,1,2016-01-25 04:16:56+00:00,
MESOS-4114,1,2016-01-06 22:49:05+00:00,
MESOS-4102,1,2016-01-19 23:10:43+00:00,
MESOS-4088,1,2015-12-29 23:16:09+00:00,
MESOS-4087,1,2015-12-29 19:22:33+00:00,
MESOS-4047,1,2016-03-04 00:12:47+00:00,
MESOS-4046,1,2015-12-21 17:29:18+00:00,
MESOS-4029,1,2016-03-04 00:11:49+00:00,
MESOS-4026,1,2015-12-18 17:41:20+00:00,
MESOS-4005,1,2016-02-05 21:45:36+00:00,
MESOS-4004,1,2016-02-05 21:43:29+00:00,
MESOS-4003,1,2015-12-11 18:49:31+00:00,
MESOS-3945,1,2016-03-09 08:58:36+00:00,
MESOS-3943,1,2016-02-19 09:18:44+00:00,
MESOS-3936,1,2016-01-19 15:57:31+00:00,
MESOS-3928,1,2016-01-13 23:09:32+00:00,
MESOS-3925,1,2016-01-04 19:16:31+00:00,
MESOS-3912,1,2015-11-25 23:37:16+00:00,
MESOS-3911,1,2015-11-25 21:19:36+00:00,
MESOS-3899,1,2015-11-25 08:54:14+00:00,
MESOS-3877,1,2016-01-08 13:10:45+00:00,
MESOS-3868,1,2015-12-12 19:00:01+00:00,
MESOS-3862,1,2015-12-18 20:09:36+00:00,
MESOS-3861,1,2015-12-10 19:53:56+00:00,
