key,bugnr,fields.created,
MULE-9674,1,2016-05-06T12:42:29.000-0500,
MULE-9667,1,2016-05-05T12:47:27.000-0500,
MULE-9645,1,2016-05-03T13:48:48.000-0500,
MULE-9643,1,2016-05-02T15:22:18.000-0500,
MULE-9642,1,2016-05-02T15:14:04.000-0500,
MULE-9639,1,2016-04-29T12:47:53.000-0500,
MULE-9621,1,2016-04-28T09:33:24.000-0500,
MULE-9619,1,2016-04-27T17:42:03.000-0500,
MULE-9618,1,2016-04-27T14:18:52.000-0500,
MULE-9603,1,2016-04-20T09:35:13.000-0500,
MULE-9595,1,2016-04-18T13:35:25.000-0500,
MULE-9592,1,2016-04-18T05:53:59.000-0500,
MULE-9581,1,2016-04-13T14:58:51.000-0500,
MULE-9579,1,2016-04-13T14:11:27.000-0500,
MULE-9578,1,2016-04-13T11:35:36.000-0500,
MULE-9577,1,2016-04-13T11:19:50.000-0500,
MULE-9570,1,2016-04-12T11:05:08.000-0500,
MULE-9566,1,2016-04-11T12:42:42.000-0500,
MULE-9558,1,2016-04-07T17:00:33.000-0500,
MULE-9557,1,2016-04-07T16:44:03.000-0500,
MULE-9551,1,2016-04-06T13:54:04.000-0500,
MULE-9548,1,2016-04-06T09:26:40.000-0500,
MULE-9544,1,2016-04-05T09:55:27.000-0500,
MULE-9540,1,2016-04-01T12:03:38.000-0500,
MULE-9525,1,2016-03-29T09:44:49.000-0500,
MULE-9511,1,2016-03-15T14:19:53.000-0500,
MULE-9505,1,2016-03-22T17:01:04.000-0500,
MULE-9491,1,2016-03-16T15:21:37.000-0500,
MULE-9484,1,2016-03-14T16:03:50.000-0500,
MULE-9465,1,2016-03-13T08:39:02.000-0500,
MULE-9464,1,2016-03-11T13:24:51.000-0600,
MULE-9460,1,2016-03-11T11:54:32.000-0600,
MULE-9458,1,2016-03-11T09:24:50.000-0600,
MULE-9447,1,2016-03-07T07:50:26.000-0600,
MULE-9446,1,2016-03-07T06:40:38.000-0600,
MULE-9416,1,2016-03-01T15:42:41.000-0600,
MULE-9405,1,2016-02-25T11:56:16.000-0600,
MULE-9401,1,2016-02-23T13:27:04.000-0600,
MULE-9400,1,2016-02-23T13:14:23.000-0600,
MULE-9389,1,2016-02-18T06:44:20.000-0600,
MULE-9386,1,2016-02-17T13:27:22.000-0600,
MULE-9383,1,2016-02-17T08:41:55.000-0600,
MULE-9382,1,2016-02-16T08:02:32.000-0600,
MULE-9377,1,2016-02-11T14:42:10.000-0600,
MULE-9364,1,2016-01-29T15:09:54.000-0600,
MULE-9363,1,2016-01-29T13:38:16.000-0600,
MULE-9360,1,2016-01-27T13:01:54.000-0600,
MULE-9353,1,2016-01-26T08:53:10.000-0600,
MULE-9351,1,2016-01-25T15:55:57.000-0600,
MULE-9349,1,2016-01-25T11:20:13.000-0600,
MULE-9346,1,2016-01-22T12:42:07.000-0600,
MULE-9344,1,2016-01-22T12:00:34.000-0600,
MULE-9334,1,2016-01-19T12:44:15.000-0600,
MULE-9330,1,2016-01-15T11:57:16.000-0600,
MULE-9324,1,2016-01-14T15:41:42.000-0600,
MULE-9323,1,2016-01-14T11:12:18.000-0600,
MULE-9319,1,2016-01-13T15:47:46.000-0600,
MULE-9317,1,2016-01-13T12:32:29.000-0600,
MULE-9313,1,2016-01-12T16:04:10.000-0600,
MULE-9308,1,2016-01-11T17:17:46.000-0600,
MULE-9290,1,2016-01-08T20:37:06.000-0600,
MULE-9277,1,2016-01-06T21:35:39.000-0600,
MULE-9275,1,2016-01-06T21:17:43.000-0600,
MULE-9274,1,2016-01-06T16:51:26.000-0600,
MULE-9273,1,2016-01-06T15:27:10.000-0600,
MULE-9272,1,2016-01-06T14:24:22.000-0600,
MULE-9271,1,2016-01-06T08:51:59.000-0600,
MULE-9269,1,2016-01-05T14:36:25.000-0600,
MULE-9268,1,2016-01-05T14:17:16.000-0600,
MULE-9266,1,2016-01-05T13:34:07.000-0600,
MULE-9255,1,2016-01-04T09:26:27.000-0600,
MULE-9252,1,2016-01-04T08:53:47.000-0600,
MULE-9250,1,2016-01-04T08:26:58.000-0600,
MULE-9237,1,2015-12-23T12:16:13.000-0600,
MULE-9229,1,2015-12-22T13:51:55.000-0600,
MULE-9226,1,2015-12-21T14:55:24.000-0600,
MULE-9225,1,2015-12-21T13:10:32.000-0600,
MULE-9224,1,2015-12-21T09:32:44.000-0600,
MULE-9207,1,2015-12-15T15:54:23.000-0600,
MULE-9205,1,2015-12-15T13:06:11.000-0600,
MULE-9193,1,2015-12-11T13:12:05.000-0600,
MULE-9189,1,2015-12-11T08:40:06.000-0600,
MULE-9185,1,2015-12-09T13:57:41.000-0600,
MULE-9183,1,2015-12-09T07:05:45.000-0600,
MULE-9182,1,2015-12-04T14:23:18.000-0600,
MULE-9175,1,2015-12-03T13:58:22.000-0600,
MULE-9174,1,2015-12-03T13:53:21.000-0600,
MULE-9168,1,2015-12-01T08:08:38.000-0600,
MULE-9167,1,2015-11-30T13:18:59.000-0600,
MULE-9163,1,2015-11-30T10:49:06.000-0600,
MULE-9156,1,2015-11-25T12:50:20.000-0600,
MULE-9155,1,2015-11-25T12:36:57.000-0600,
MULE-9154,1,2015-11-25T12:25:51.000-0600,
MULE-9146,1,2015-11-24T09:37:08.000-0600,
MULE-9144,1,2015-11-23T14:04:58.000-0600,
MULE-9140,1,2015-11-20T15:44:33.000-0600,
MULE-9132,1,2015-11-19T12:28:16.000-0600,
MULE-9085,1,2015-11-18T12:20:21.000-0600,
MULE-9074,1,2015-11-17T14:58:09.000-0600,
MULE-9069,1,2015-11-17T09:56:39.000-0600,
MULE-9066,1,2015-11-16T12:24:46.000-0600,
MULE-9065,1,2015-11-16T12:24:32.000-0600,
MULE-9062,1,2015-11-16T09:24:55.000-0600,
MULE-9061,1,2015-11-16T08:40:45.000-0600,
MULE-9053,1,2015-11-13T07:13:32.000-0600,
MULE-9051,1,2015-11-12T14:26:49.000-0600,
MULE-9050,1,2015-11-11T14:41:49.000-0600,
MULE-9046,1,2015-11-10T08:18:04.000-0600,
MULE-9045,1,2015-11-09T06:53:44.000-0600,
MULE-9044,1,2015-11-09T06:49:47.000-0600,
MULE-9040,1,2015-11-05T14:32:07.000-0600,
MULE-9025,1,2015-10-27T10:04:35.000-0500,
MULE-9016,1,2015-10-21T13:12:27.000-0500,
MULE-9009,1,2015-10-16T01:35:12.000-0500,
MULE-8976,1,2015-10-02T09:10:21.000-0500,
MULE-8956,1,2015-09-21T08:31:23.000-0500,
MULE-8955,1,2015-09-18T11:41:33.000-0500,
MULE-8951,1,2015-09-17T09:30:36.000-0500,
MULE-8947,1,2015-09-16T11:06:48.000-0500,
MULE-8938,1,2015-09-11T17:56:07.000-0500,
MULE-8933,1,2015-09-08T14:30:05.000-0500,
MULE-8929,1,2015-09-07T08:49:13.000-0500,
MULE-8927,1,2015-09-03T12:35:43.000-0500,
MULE-8922,1,2015-09-03T07:47:23.000-0500,
MULE-8919,1,2015-09-02T12:54:50.000-0500,
MULE-8917,1,2015-09-02T10:05:29.000-0500,
MULE-8916,1,2015-09-02T10:04:07.000-0500,
MULE-8904,1,2015-08-31T11:05:11.000-0500,
MULE-8898,1,2015-08-26T16:15:00.000-0500,
MULE-8897,1,2015-08-26T10:49:31.000-0500,
MULE-8854,1,2015-08-24T08:56:53.000-0500,
MULE-8829,1,2015-08-11T09:40:42.000-0500,
MULE-8827,1,2015-08-06T13:29:03.000-0500,
MULE-8822,1,2015-08-04T18:55:31.000-0500,
MULE-8821,1,2015-08-04T14:47:13.000-0500,
MULE-8820,1,2015-08-04T10:19:18.000-0500,
MULE-8819,1,2015-08-04T10:04:34.000-0500,
MULE-8816,1,2015-08-03T17:35:02.000-0500,
MULE-8815,1,2015-08-03T16:42:35.000-0500,
MULE-8813,1,2015-08-03T09:43:29.000-0500,
MULE-8812,1,2015-07-30T14:45:22.000-0500,
MULE-8806,1,2015-07-24T16:06:33.000-0500,
MULE-8804,1,2015-07-23T12:41:18.000-0500,
MULE-8800,1,2015-07-23T14:52:52.000-0500,
MULE-8798,1,2015-07-23T09:27:24.000-0500,
MULE-8795,1,2015-07-22T18:52:21.000-0500,
MULE-8793,1,2015-07-22T09:26:04.000-0500,
MULE-8792,1,2015-07-21T15:35:43.000-0500,
MULE-8790,1,2015-07-21T09:22:22.000-0500,
MULE-8788,1,2015-07-20T19:51:25.000-0500,
MULE-8786,1,2015-07-16T16:10:20.000-0500,
MULE-8779,1,2015-07-14T13:05:10.000-0500,
MULE-8771,1,2015-07-08T15:30:05.000-0500,
MULE-8769,1,2015-07-08T07:00:21.000-0500,
MULE-8764,1,2015-07-06T13:10:33.000-0500,
MULE-8754,1,2015-07-03T18:34:42.000-0500,
MULE-8743,1,2015-06-26T14:38:02.000-0500,
MULE-8738,1,2015-06-25T14:29:54.000-0500,
MULE-8736,1,2015-06-25T11:12:02.000-0500,
MULE-8735,1,2015-06-25T08:01:22.000-0500,
MULE-8708,1,2015-06-17T08:04:53.000-0500,
MULE-8707,1,2015-06-17T06:34:46.000-0500,
MULE-8703,1,2015-06-12T12:05:52.000-0500,
MULE-8700,1,2015-06-10T16:25:59.000-0500,
MULE-8698,1,2015-06-09T16:49:32.000-0500,
MULE-8696,1,2015-06-09T14:16:55.000-0500,
MULE-8693,1,2015-06-09T10:52:48.000-0500,
MULE-8687,1,2015-06-08T09:23:18.000-0500,
MULE-8683,1,2015-06-05T12:12:47.000-0500,
MULE-8678,1,2015-06-04T07:14:09.000-0500,
MULE-8677,1,2015-06-04T06:51:33.000-0500,
MULE-8676,1,2015-06-04T06:27:58.000-0500,
MULE-8669,1,2015-06-03T08:44:57.000-0500,
MULE-8666,1,2015-06-02T15:13:36.000-0500,
MULE-8664,1,2015-06-02T12:18:43.000-0500,
MULE-8661,1,2015-06-01T12:04:49.000-0500,
MULE-8658,1,2015-05-29T10:27:59.000-0500,
MULE-8657,1,2015-05-28T16:43:36.000-0500,
MULE-8656,1,2015-05-28T15:37:20.000-0500,
