key,delay_nr,fields.resolutiondate,
MULE-9673,1,2016-05-06 18:06:34+00:00,
MULE-9607,1,2016-05-06 15:23:24+00:00,
MULE-9602,1,2016-05-06 13:28:20+00:00,
MULE-9558,1,2016-05-06 15:23:48+00:00,
MULE-9557,1,2016-05-06 15:24:01+00:00,
MULE-9540,1,2016-05-06 15:05:13+00:00,
MULE-9531,1,2016-05-06 15:24:38+00:00,
MULE-9527,1,2016-05-06 15:24:55+00:00,
MULE-9525,1,2016-05-06 15:25:08+00:00,
MULE-9522,1,2016-05-06 15:25:21+00:00,
MULE-9505,1,2016-04-18 15:00:56+00:00,
MULE-9487,1,2016-04-21 17:55:54+00:00,
MULE-9479,1,2016-04-12 21:02:32+00:00,
MULE-9476,1,2016-04-08 18:03:47+00:00,
MULE-9472,1,2016-04-27 15:25:44+00:00,
MULE-9468,1,2016-03-14 15:09:09+00:00,
MULE-9467,1,2016-03-14 15:08:48+00:00,
MULE-9466,1,2016-05-04 19:15:22+00:00,
MULE-9458,1,2016-05-06 16:28:17+00:00,
MULE-9452,1,2016-03-21 16:52:32+00:00,
MULE-9446,1,2016-05-06 15:14:58+00:00,
MULE-9444,1,2016-05-06 18:00:24+00:00,
MULE-9429,1,2016-03-28 14:07:36+00:00,
MULE-9418,1,2016-03-15 00:06:45+00:00,
MULE-9417,1,2016-04-07 12:24:58+00:00,
MULE-9393,1,2016-04-14 15:49:59+00:00,
MULE-9392,1,2016-05-06 15:25:59+00:00,
MULE-9391,1,2016-03-17 15:42:08+00:00,
MULE-9389,1,2016-03-02 21:35:16+00:00,
MULE-9386,1,2016-05-06 15:22:38+00:00,
MULE-9383,1,2016-05-06 15:19:49+00:00,
MULE-9382,1,2016-05-06 15:20:07+00:00,
MULE-9377,1,2016-02-29 19:17:08+00:00,
MULE-9372,1,2016-03-03 15:51:10+00:00,
MULE-9362,1,2016-05-06 16:45:36+00:00,
MULE-9361,1,2016-04-07 12:26:32+00:00,
MULE-9360,1,2016-02-10 20:40:50+00:00,
MULE-9349,1,2016-02-12 16:52:44+00:00,
MULE-9346,1,2016-05-06 15:11:38+00:00,
MULE-9338,1,2016-05-06 14:03:05+00:00,
MULE-9334,1,2016-01-22 16:13:03+00:00,
MULE-9328,1,2016-02-26 16:47:33+00:00,
MULE-9308,1,2016-03-31 15:01:31+00:00,
MULE-9285,1,2016-01-28 11:57:44+00:00,
MULE-9278,1,2016-01-21 15:12:24+00:00,
MULE-9260,1,2016-02-11 18:51:20+00:00,
MULE-9258,1,2016-02-10 17:34:57+00:00,
MULE-9239,1,2016-01-19 12:30:01+00:00,
MULE-9236,1,2016-01-12 15:34:07+00:00,
MULE-9229,1,2016-05-06 15:11:07+00:00,
MULE-9211,1,2016-01-22 21:37:41+00:00,
MULE-9164,1,2016-02-22 14:46:30+00:00,
MULE-9163,1,2015-12-04 20:07:13+00:00,
MULE-9160,1,2016-05-06 15:26:51+00:00,
MULE-9158,1,2016-01-21 15:13:08+00:00,
MULE-9148,1,2016-05-06 14:01:43+00:00,
MULE-9138,1,2016-05-06 14:02:06+00:00,
MULE-9129,1,2016-02-17 21:45:10+00:00,
MULE-9109,1,2016-02-15 15:39:28+00:00,
MULE-9085,1,2015-11-20 16:20:16+00:00,
MULE-9062,1,2015-11-20 20:11:27+00:00,
MULE-9061,1,2015-11-20 20:14:22+00:00,
MULE-9060,1,2015-11-20 20:13:18+00:00,
MULE-9056,1,2015-11-20 20:15:33+00:00,
MULE-9050,1,2015-11-20 20:16:57+00:00,
MULE-9046,1,2016-05-06 15:26:15+00:00,
MULE-9012,1,2015-11-04 19:04:12+00:00,
MULE-8956,1,2015-09-28 17:43:39+00:00,
MULE-8955,1,2015-10-19 20:08:01+00:00,
MULE-8945,1,2015-11-05 16:36:52+00:00,
MULE-8939,1,2015-10-30 18:29:47+00:00,
MULE-8933,1,2015-10-19 20:06:48+00:00,
MULE-8931,1,2015-09-21 14:04:49+00:00,
MULE-8927,1,2015-09-14 20:26:41+00:00,
MULE-8922,1,2016-05-06 14:41:48+00:00,
MULE-8916,1,2016-05-06 15:06:27+00:00,
MULE-8909,1,2016-01-25 19:26:19+00:00,
MULE-8833,1,2015-08-24 14:04:06+00:00,
MULE-8822,1,2016-05-06 15:20:20+00:00,
MULE-8815,1,2015-12-02 14:41:41+00:00,
MULE-8788,1,2016-03-30 14:52:35+00:00,
MULE-8771,1,2016-03-30 14:52:41+00:00,
MULE-8741,1,2015-07-20 13:53:08+00:00,
