key,rework_nr,created,
MULE-7820,1,2014-08-22 13:27:08.010000+00:00,
MULE-7817,1,2014-08-22 13:29:29.150000+00:00,
MULE-7797,1,2014-08-22 14:22:27.420000+00:00,
MULE-7796,1,2014-08-22 14:22:51.136000+00:00,
MULE-7789,1,2014-09-01 15:32:42.763000+00:00,
MULE-7755,1,2014-09-01 14:36:04.332000+00:00,
MULE-7741,1,2014-07-11 15:11:05.858000+00:00,
MULE-7696,1,2014-06-26 19:29:21.895000+00:00,
MULE-7636,1,2014-05-30 18:00:55.723000+00:00,
MULE-7624,1,2014-06-25 18:27:12.901000+00:00,
MULE-7597,1,2014-05-16 15:31:53.206000+00:00,
MULE-7594,1,2014-05-16 15:29:30.228000+00:00,
MULE-7593,1,2014-05-16 15:38:13.820000+00:00,
MULE-7591,1,2014-05-16 15:12:38.942000+00:00,
MULE-7575,1,2014-05-07 15:58:58.167000+00:00,
MULE-7524,1,2014-05-12 14:58:45.566000+00:00,
MULE-7512,1,2014-04-14 20:57:18.403000+00:00,
MULE-7431,1,2014-03-17 19:35:22.653000+00:00,
MULE-7429,1,2014-03-28 17:53:35.813000+00:00,
MULE-7419,1,2014-03-28 16:40:11.522000+00:00,
MULE-7413,1,2014-03-05 22:00:29.145000+00:00,
MULE-7380,1,2014-02-26 16:34:37.312000+00:00,
MULE-7380,1,2014-02-26 17:36:16.807000+00:00,
MULE-7342,1,2014-02-18 19:20:50.559000+00:00,
MULE-7336,1,2014-02-25 14:39:38.628000+00:00,
MULE-7318,1,2014-05-22 14:22:47.661000+00:00,
MULE-7288,1,2014-02-19 17:56:56.658000+00:00,
MULE-7239,1,2014-05-05 15:21:39.742000+00:00,
MULE-7204,1,2014-02-03 10:48:19.157000+00:00,
MULE-7194,1,2014-01-15 16:15:28.770000+00:00,
MULE-7101,1,2013-11-20 15:52:26.404000+00:00,
MULE-7003,1,2013-10-30 12:17:44.585000+00:00,
MULE-6998,1,2013-11-28 04:17:34.883000+00:00,
MULE-6988,1,2013-10-23 18:09:20.417000+00:00,
MULE-6980,1,2014-05-16 15:30:43.359000+00:00,
MULE-6968,1,2013-08-27 11:19:18.006000+00:00,
MULE-6965,1,2013-08-14 19:00:40.792000+00:00,
MULE-6956,1,2013-07-17 16:49:17.695000+00:00,
MULE-6898,1,2013-08-22 20:30:02.953000+00:00,
MULE-6889,1,2014-01-06 15:19:07.190000+00:00,
MULE-6889,1,2014-03-07 19:47:52.148000+00:00,
MULE-6889,1,2014-03-12 16:32:37.583000+00:00,
MULE-6889,1,2014-03-14 15:35:52.475000+00:00,
MULE-6889,1,2014-03-24 20:52:01.547000+00:00,
MULE-6864,1,2013-05-31 18:26:19.400000+00:00,
MULE-6858,1,2013-05-30 18:24:49.308000+00:00,
MULE-6858,1,2013-05-30 18:27:29.899000+00:00,
MULE-6845,1,2013-07-08 19:58:09.331000+00:00,
MULE-6844,1,2013-08-14 18:28:19.078000+00:00,
MULE-6831,1,2013-06-24 19:47:58.485000+00:00,
MULE-6829,1,2013-05-12 00:03:09.461000+00:00,
MULE-6800,1,2013-09-19 18:34:38.126000+00:00,
MULE-6745,1,2013-03-25 18:06:34.463000+00:00,
MULE-6745,1,2013-04-03 20:32:54.143000+00:00,
MULE-6732,1,2013-03-25 15:20:14.669000+00:00,
MULE-6718,1,2013-03-11 15:06:00.128000+00:00,
MULE-6646,1,2013-03-07 13:08:50.265000+00:00,
MULE-6645,1,2013-03-07 13:09:07.141000+00:00,
MULE-6642,1,2013-03-07 13:09:07.937000+00:00,
MULE-6641,1,2013-03-07 13:09:10.041000+00:00,
MULE-6566,1,2013-12-14 20:04:23.284000+00:00,
MULE-6512,1,2013-03-28 17:20:49.343000+00:00,
MULE-6508,1,2013-09-10 21:56:37.884000+00:00,
MULE-6145,1,2014-01-29 20:38:47.614000+00:00,
