key,bugnr,fields.created,
NEXUS-10172,1,2016-05-03T14:15:48.000+0000,
NEXUS-10166,1,2016-05-02T16:55:13.000+0000,
NEXUS-10102,1,2016-04-18T15:24:18.000+0000,
NEXUS-10057,1,2016-04-08T15:46:17.000+0000,
NEXUS-10055,1,2016-04-08T00:13:35.000+0000,
NEXUS-10053,1,2016-04-07T20:44:27.000+0000,
NEXUS-10052,1,2016-04-07T20:00:08.000+0000,
NEXUS-10017,1,2016-03-30T15:55:03.000+0000,
NEXUS-9995,1,2016-03-28T14:52:45.000+0000,
NEXUS-9993,1,2016-03-25T20:51:21.000+0000,
NEXUS-9991,1,2016-03-25T05:53:37.000+0000,
NEXUS-9971,1,2016-03-21T21:14:12.000+0000,
NEXUS-9967,1,2016-03-18T21:47:27.000+0000,
NEXUS-9964,1,2016-03-17T15:16:57.000+0000,
NEXUS-9944,1,2016-03-15T19:35:00.000+0000,
NEXUS-9876,1,2016-03-01T10:09:53.000+0000,
NEXUS-9874,1,2016-02-29T22:34:13.000+0000,
NEXUS-9865,1,2016-02-26T14:29:39.000+0000,
NEXUS-9863,1,2016-02-25T23:57:22.000+0000,
NEXUS-9856,1,2016-02-25T08:14:45.000+0000,
NEXUS-9853,1,2016-02-23T18:07:37.000+0000,
NEXUS-9842,1,2016-02-18T16:15:23.000+0000,
NEXUS-9841,1,2016-02-18T15:02:34.000+0000,
NEXUS-9838,1,2016-02-18T03:53:06.000+0000,
NEXUS-9790,1,2016-02-16T12:55:37.000+0000,
NEXUS-9788,1,2016-02-12T17:52:50.000+0000,
NEXUS-9787,1,2016-02-12T12:46:55.000+0000,
NEXUS-9786,1,2016-02-12T08:57:12.000+0000,
NEXUS-9785,1,2016-02-11T19:27:46.000+0000,
NEXUS-9776,1,2016-02-10T21:12:11.000+0000,
NEXUS-9774,1,2016-02-10T16:50:27.000+0000,
NEXUS-9770,1,2016-02-10T11:53:33.000+0000,
NEXUS-9741,1,2016-01-27T19:37:55.000+0000,
NEXUS-9705,1,2016-01-21T00:50:18.000+0000,
NEXUS-9664,1,2016-01-15T22:39:37.000+0000,
NEXUS-9652,1,2016-01-15T16:41:09.000+0000,
NEXUS-9637,1,2016-01-12T19:10:14.000+0000,
NEXUS-9636,1,2016-01-12T18:27:37.000+0000,
NEXUS-9634,1,2016-01-12T15:46:33.000+0000,
NEXUS-9618,1,2016-01-08T20:12:54.000+0000,
NEXUS-9599,1,2016-01-05T22:50:25.000+0000,
NEXUS-9584,1,2016-01-05T18:55:17.000+0000,
NEXUS-9573,1,2016-01-04T17:44:49.000+0000,
NEXUS-9572,1,2016-01-04T17:16:29.000+0000,
NEXUS-9559,1,2015-12-24T14:37:57.000+0000,
NEXUS-9551,1,2015-12-18T20:47:42.000+0000,
NEXUS-9547,1,2015-12-16T21:26:11.000+0000,
NEXUS-9545,1,2015-12-16T20:31:57.000+0000,
NEXUS-9544,1,2015-12-16T19:52:30.000+0000,
NEXUS-9532,1,2015-12-14T21:53:14.000+0000,
NEXUS-9505,1,2015-12-04T21:23:07.000+0000,
NEXUS-9486,1,2015-11-25T19:17:08.000+0000,
NEXUS-9474,1,2015-11-24T15:42:26.000+0000,
NEXUS-9472,1,2015-11-23T21:40:38.000+0000,
NEXUS-9470,1,2015-11-23T20:46:57.000+0000,
NEXUS-9468,1,2015-11-23T19:06:40.000+0000,
NEXUS-9461,1,2015-11-20T21:32:33.000+0000,
NEXUS-9452,1,2015-11-19T14:11:55.000+0000,
NEXUS-9446,1,2015-11-17T17:36:29.000+0000,
NEXUS-9439,1,2015-11-13T14:35:48.000+0000,
NEXUS-9437,1,2015-11-13T10:15:07.000+0000,
NEXUS-9375,1,2015-10-30T23:01:58.000+0000,
NEXUS-9371,1,2015-10-29T20:17:46.000+0000,
NEXUS-9370,1,2015-10-29T15:15:12.000+0000,
NEXUS-9353,1,2015-10-20T21:53:39.000+0000,
NEXUS-9351,1,2015-10-20T21:20:18.000+0000,
NEXUS-9350,1,2015-10-20T17:47:57.000+0000,
NEXUS-9328,1,2015-10-14T16:42:57.000+0000,
NEXUS-9317,1,2015-10-09T20:07:36.000+0000,
NEXUS-9314,1,2015-10-09T14:54:50.000+0000,
NEXUS-9311,1,2015-10-08T20:05:40.000+0000,
NEXUS-9286,1,2015-10-01T18:01:42.000+0000,
NEXUS-9285,1,2015-10-01T17:52:40.000+0000,
NEXUS-9243,1,2015-09-28T13:30:26.000+0000,
NEXUS-9219,1,2015-09-23T13:55:03.000+0000,
NEXUS-9217,1,2015-09-22T21:56:29.000+0000,
NEXUS-9215,1,2015-09-22T17:58:09.000+0000,
NEXUS-9212,1,2015-09-21T20:13:32.000+0000,
NEXUS-9211,1,2015-09-21T20:09:14.000+0000,
NEXUS-9183,1,2015-09-15T18:39:47.000+0000,
NEXUS-9181,1,2015-09-15T16:34:17.000+0000,
NEXUS-9174,1,2015-09-11T22:01:13.000+0000,
NEXUS-9173,1,2015-09-11T20:55:34.000+0000,
NEXUS-9168,1,2015-09-11T14:37:38.000+0000,
NEXUS-9163,1,2015-09-10T13:52:16.000+0000,
NEXUS-9161,1,2015-09-09T22:34:34.000+0000,
NEXUS-9158,1,2015-09-09T13:08:39.000+0000,
NEXUS-9154,1,2015-09-08T21:34:19.000+0000,
NEXUS-9153,1,2015-09-08T21:11:25.000+0000,
NEXUS-9127,1,2015-08-28T20:09:05.000+0000,
NEXUS-9114,1,2015-08-25T15:36:26.000+0000,
NEXUS-9109,1,2015-08-23T13:57:03.000+0000,
NEXUS-9097,1,2015-08-19T13:25:13.000+0000,
NEXUS-9095,1,2015-08-18T20:52:07.000+0000,
NEXUS-9094,1,2015-08-18T20:45:24.000+0000,
NEXUS-9093,1,2015-08-18T20:09:28.000+0000,
NEXUS-9090,1,2015-08-17T20:35:07.000+0000,
NEXUS-9088,1,2015-08-17T18:15:07.000+0000,
NEXUS-9031,1,2015-08-03T20:18:46.000+0000,
NEXUS-9026,1,2015-07-31T15:23:07.000+0000,
NEXUS-9016,1,2015-07-27T14:11:39.000+0000,
NEXUS-9011,1,2015-07-23T21:13:14.000+0000,
NEXUS-9007,1,2015-07-22T12:53:59.000+0000,
NEXUS-9004,1,2015-07-21T21:19:11.000+0000,
NEXUS-9000,1,2015-07-20T22:07:14.000+0000,
NEXUS-8990,1,2015-07-16T22:33:04.000+0000,
NEXUS-8989,1,2015-07-16T21:30:39.000+0000,
NEXUS-8987,1,2015-07-16T17:50:12.000+0000,
NEXUS-8985,1,2015-07-16T15:30:04.000+0000,
NEXUS-8974,1,2015-07-14T20:49:26.000+0000,
NEXUS-8972,1,2015-07-14T15:24:27.000+0000,
NEXUS-8971,1,2015-07-14T15:19:35.000+0000,
NEXUS-8970,1,2015-07-14T15:05:36.000+0000,
NEXUS-8969,1,2015-07-13T21:32:20.000+0000,
NEXUS-8941,1,2015-07-03T18:14:05.000+0000,
NEXUS-8939,1,2015-07-03T15:13:36.000+0000,
NEXUS-8937,1,2015-07-02T20:02:36.000+0000,
NEXUS-8932,1,2015-07-02T12:25:48.000+0000,
NEXUS-8930,1,2015-07-02T10:24:26.000+0000,
NEXUS-8929,1,2015-07-01T20:54:28.000+0000,
NEXUS-8927,1,2015-07-01T14:40:48.000+0000,
NEXUS-8924,1,2015-06-30T23:07:44.000+0000,
NEXUS-8922,1,2015-06-30T18:06:57.000+0000,
NEXUS-8914,1,2015-06-29T16:10:04.000+0000,
NEXUS-8911,1,2015-06-26T19:24:31.000+0000,
NEXUS-8895,1,2015-06-24T16:18:41.000+0000,
NEXUS-8894,1,2015-06-24T15:28:53.000+0000,
NEXUS-8890,1,2015-06-22T18:19:57.000+0000,
NEXUS-8889,1,2015-06-19T22:22:12.000+0000,
NEXUS-8883,1,2015-06-18T21:04:31.000+0000,
NEXUS-8859,1,2015-06-17T18:03:22.000+0000,
NEXUS-8857,1,2015-06-17T15:50:28.000+0000,
NEXUS-8856,1,2015-06-17T15:24:58.000+0000,
NEXUS-8855,1,2015-06-17T14:02:07.000+0000,
NEXUS-8849,1,2015-06-16T19:48:15.000+0000,
NEXUS-8848,1,2015-06-16T19:11:41.000+0000,
NEXUS-8847,1,2015-06-16T17:34:37.000+0000,
NEXUS-8846,1,2015-06-16T14:28:55.000+0000,
NEXUS-8844,1,2015-06-16T14:02:22.000+0000,
NEXUS-8838,1,2015-06-15T17:54:05.000+0000,
NEXUS-8834,1,2015-06-15T15:04:58.000+0000,
NEXUS-8829,1,2015-06-12T20:10:16.000+0000,
NEXUS-8824,1,2015-06-11T18:41:12.000+0000,
NEXUS-8797,1,2015-06-09T17:00:51.000+0000,
