key,delay_nr,fields.resolutiondate,
NEXUS-10052,1,2016-04-12 19:04:09+00:00,
NEXUS-9870,1,2016-03-18 15:56:01+00:00,
NEXUS-9842,1,2016-03-25 13:53:55+00:00,
NEXUS-9788,1,2016-03-04 16:49:50+00:00,
NEXUS-9776,1,2016-03-02 23:12:57+00:00,
NEXUS-9636,1,2016-01-21 17:18:44+00:00,
NEXUS-9634,1,2016-01-27 15:01:53+00:00,
NEXUS-9610,1,2016-01-21 15:58:05+00:00,
NEXUS-9599,1,2016-01-20 22:12:21+00:00,
NEXUS-9551,1,2016-01-29 18:46:33+00:00,
NEXUS-9547,1,2016-01-08 01:00:38+00:00,
NEXUS-9545,1,2015-12-16 20:33:39+00:00,
NEXUS-9486,1,2016-01-28 22:29:55+00:00,
NEXUS-9370,1,2016-01-08 17:58:18+00:00,
NEXUS-9328,1,2015-11-05 22:33:32+00:00,
NEXUS-9285,1,2015-10-14 20:18:10+00:00,
NEXUS-9243,1,2015-10-14 19:58:52+00:00,
NEXUS-9223,1,2015-10-01 18:18:02+00:00,
NEXUS-9219,1,2015-09-30 19:44:58+00:00,
NEXUS-9217,1,2015-09-30 21:15:27+00:00,
NEXUS-9212,1,2015-10-14 19:50:19+00:00,
NEXUS-9168,1,2015-09-16 15:49:52+00:00,
NEXUS-9163,1,2015-11-12 16:22:26+00:00,
NEXUS-9127,1,2016-05-02 21:22:49+00:00,
NEXUS-9121,1,2015-09-17 22:02:39+00:00,
NEXUS-9114,1,2015-09-07 15:33:08+00:00,
NEXUS-9109,1,2015-10-01 16:33:57+00:00,
NEXUS-9095,1,2015-09-15 15:19:59+00:00,
NEXUS-9094,1,2015-09-11 15:45:43+00:00,
NEXUS-9089,1,2015-09-08 16:08:43+00:00,
NEXUS-9088,1,2015-09-16 20:33:12+00:00,
NEXUS-9046,1,2015-08-20 20:53:54+00:00,
NEXUS-9024,1,2015-09-30 14:28:56+00:00,
NEXUS-9016,1,2015-10-29 20:22:19+00:00,
NEXUS-9007,1,2015-09-15 17:34:39+00:00,
NEXUS-9004,1,2015-09-11 21:54:50+00:00,
NEXUS-9000,1,2015-08-12 14:20:48+00:00,
NEXUS-8989,1,2015-08-15 01:03:32+00:00,
NEXUS-8987,1,2015-10-28 14:00:39+00:00,
NEXUS-8985,1,2015-07-22 13:24:35+00:00,
NEXUS-8957,1,2015-09-07 18:39:23+00:00,
NEXUS-8941,1,2016-05-03 22:51:15+00:00,
NEXUS-8939,1,2015-11-12 17:16:55+00:00,
NEXUS-8932,1,2015-07-15 21:03:17+00:00,
NEXUS-8929,1,2015-07-14 20:35:23+00:00,
NEXUS-8927,1,2015-08-17 20:48:18+00:00,
NEXUS-8914,1,2015-07-08 17:17:21+00:00,
NEXUS-8890,1,2015-06-23 19:33:49+00:00,
NEXUS-8883,1,2015-06-24 15:28:01+00:00,
NEXUS-8878,1,2015-06-23 19:34:35+00:00,
NEXUS-8859,1,2015-09-16 21:32:24+00:00,
NEXUS-8844,1,2015-06-24 15:30:58+00:00,
NEXUS-8838,1,2015-08-17 17:17:48+00:00,
NEXUS-8793,1,2015-06-09 20:59:38+00:00,
NEXUS-8719,1,2015-06-23 19:41:41+00:00,
NEXUS-8697,1,2015-05-29 13:21:15+00:00,
NEXUS-8676,1,2015-06-04 22:05:05+00:00,
NEXUS-8667,1,2015-05-28 20:05:55+00:00,
NEXUS-8666,1,2015-05-26 21:17:06+00:00,
NEXUS-8650,1,2015-05-27 18:49:26+00:00,
NEXUS-8629,1,2015-08-20 21:24:12+00:00,
NEXUS-8589,1,2015-05-18 21:34:30+00:00,
NEXUS-8588,1,2015-05-13 19:56:33+00:00,
NEXUS-8568,1,2015-05-13 14:05:08+00:00,
NEXUS-8567,1,2015-05-12 21:58:04+00:00,
NEXUS-8559,1,2015-06-25 15:33:06+00:00,
NEXUS-8535,1,2015-05-13 20:46:54+00:00,
NEXUS-8533,1,2015-05-15 15:53:12+00:00,
NEXUS-8509,1,2015-05-05 16:37:28+00:00,
NEXUS-8502,1,2015-04-30 13:46:48+00:00,
NEXUS-8494,1,2015-04-28 21:12:32+00:00,
NEXUS-8472,1,2015-09-29 21:21:31+00:00,
NEXUS-8449,1,2015-11-30 21:11:39+00:00,
NEXUS-8439,1,2015-05-14 19:59:02+00:00,
NEXUS-8434,1,2015-05-26 17:31:48+00:00,
NEXUS-8419,1,2015-05-11 22:26:11+00:00,
NEXUS-8417,1,2015-05-18 19:09:57+00:00,
NEXUS-8410,1,2015-04-15 14:27:52+00:00,
NEXUS-8389,1,2015-05-19 20:50:34+00:00,
NEXUS-8371,1,2016-02-26 18:58:17+00:00,
NEXUS-8352,1,2015-03-31 20:16:22+00:00,
NEXUS-8343,1,2015-05-19 20:58:06+00:00,
NEXUS-8278,1,2015-03-25 09:27:52+00:00,
NEXUS-8261,1,2015-03-18 18:25:52+00:00,
NEXUS-8243,1,2015-03-25 02:00:13+00:00,
NEXUS-8235,1,2015-03-31 21:32:31+00:00,
NEXUS-8206,1,2015-05-07 15:22:21+00:00,
NEXUS-8199,1,2015-03-18 14:31:41+00:00,
NEXUS-8197,1,2015-03-18 19:26:16+00:00,
NEXUS-8195,1,2015-03-17 19:14:29+00:00,
NEXUS-8130,1,2015-03-11 19:36:10+00:00,
NEXUS-8128,1,2015-05-06 15:00:48+00:00,
NEXUS-8083,1,2015-02-20 22:10:12+00:00,
NEXUS-8080,1,2015-02-27 20:01:59+00:00,
NEXUS-8070,1,2015-03-09 14:02:19+00:00,
NEXUS-8062,1,2015-02-23 18:12:21+00:00,
NEXUS-8039,1,2015-02-23 16:58:53+00:00,
NEXUS-8004,1,2015-02-20 22:36:44+00:00,
NEXUS-7977,1,2015-09-16 17:42:07+00:00,
NEXUS-7934,1,2015-01-23 17:07:02+00:00,
NEXUS-7901,1,2015-01-21 23:01:26+00:00,
NEXUS-7896,1,2015-05-08 17:43:47+00:00,
NEXUS-7882,1,2015-01-22 22:48:04+00:00,
NEXUS-7880,1,2015-01-22 22:48:23+00:00,
NEXUS-7879,1,2015-01-23 17:39:33+00:00,
NEXUS-7878,1,2015-01-23 20:44:25+00:00,
NEXUS-7850,1,2015-01-15 17:15:37+00:00,
NEXUS-7849,1,2015-01-12 18:37:16+00:00,
NEXUS-7843,1,2015-01-12 19:14:44+00:00,
NEXUS-7835,1,2015-01-28 21:53:15+00:00,
NEXUS-7834,1,2015-01-08 18:46:23+00:00,
NEXUS-7806,1,2015-04-21 22:19:14+00:00,
NEXUS-7802,1,2015-01-12 23:11:19+00:00,
NEXUS-7769,1,2015-01-21 15:41:10+00:00,
NEXUS-7768,1,2015-01-08 16:44:20+00:00,
NEXUS-7732,1,2014-12-10 16:18:41+00:00,
NEXUS-7728,1,2014-12-12 19:30:38+00:00,
NEXUS-7723,1,2014-12-18 01:06:06+00:00,
NEXUS-7693,1,2014-12-09 20:03:14+00:00,
NEXUS-7653,1,2014-11-13 17:31:45+00:00,
NEXUS-7634,1,2014-11-11 21:19:28+00:00,
NEXUS-7632,1,2015-03-04 17:54:47+00:00,
NEXUS-7631,1,2014-12-11 20:12:46+00:00,
NEXUS-7629,1,2014-11-28 17:15:45+00:00,
NEXUS-7614,1,2014-11-20 18:37:43+00:00,
NEXUS-7609,1,2014-11-06 08:21:30+00:00,
NEXUS-7596,1,2014-10-29 16:14:24+00:00,
NEXUS-7594,1,2014-11-18 18:48:28+00:00,
NEXUS-7588,1,2014-12-16 20:26:20+00:00,
NEXUS-7582,1,2014-10-20 20:20:45+00:00,
