key,bugnr,fields.created,
TIMOB-23239,1,2016-04-19T20:50:07.000+0000,
TIMOB-23235,1,2016-04-19T14:49:22.000+0000,
TIMOB-23222,1,2016-03-31T06:46:21.000+0000,
TIMOB-23219,1,2016-04-15T13:44:26.000+0000,
TIMOB-23217,1,2016-04-14T18:24:54.000+0000,
TIMOB-23214,1,2016-04-14T15:42:18.000+0000,
TIMOB-23198,1,2016-04-12T15:25:30.000+0000,
TIMOB-23195,1,2016-04-12T16:48:02.000+0000,
TIMOB-23192,1,2016-04-12T04:11:02.000+0000,
TIMOB-23191,1,2016-04-11T21:00:51.000+0000,
TIMOB-23181,1,2016-04-09T00:00:48.000+0000,
TIMOB-23179,1,2016-04-08T18:00:46.000+0000,
TIMOB-23175,1,2016-04-08T14:12:07.000+0000,
TIMOB-23174,1,2016-04-08T14:02:57.000+0000,
TIMOB-23172,1,2016-04-08T06:36:32.000+0000,
TIMOB-23171,1,2016-04-08T00:18:29.000+0000,
TIMOB-23170,1,2016-04-07T23:52:58.000+0000,
TIMOB-23169,1,2016-04-07T22:47:43.000+0000,
TIMOB-23165,1,2016-04-07T09:41:28.000+0000,
TIMOB-23160,1,2016-04-01T05:16:28.000+0000,
TIMOB-23158,1,2016-04-06T09:32:33.000+0000,
TIMOB-23150,1,2016-04-04T08:11:34.000+0000,
TIMOB-23146,1,2016-04-05T09:16:01.000+0000,
TIMOB-23141,1,2016-04-02T18:53:56.000+0000,
TIMOB-23134,1,2016-04-01T14:49:43.000+0000,
TIMOB-23132,1,2016-04-01T16:11:41.000+0000,
TIMOB-23130,1,2016-03-31T19:24:01.000+0000,
TIMOB-23127,1,2016-03-31T07:53:08.000+0000,
TIMOB-23125,1,2016-03-24T14:24:04.000+0000,
TIMOB-23124,1,2016-03-30T13:25:16.000+0000,
TIMOB-20627,1,2016-03-25T09:22:48.000+0000,
TIMOB-20621,1,2016-03-24T00:09:06.000+0000,
TIMOB-20620,1,2016-03-21T21:23:04.000+0000,
TIMOB-20619,1,2016-03-22T11:15:22.000+0000,
TIMOB-20612,1,2016-03-22T05:37:32.000+0000,
TIMOB-20609,1,2016-03-20T09:01:29.000+0000,
TIMOB-20605,1,2016-03-18T14:42:39.000+0000,
TIMOB-20602,1,2016-03-20T15:26:24.000+0000,
TIMOB-20601,1,2016-03-16T11:21:45.000+0000,
TIMOB-20600,1,2016-03-18T13:25:57.000+0000,
TIMOB-20599,1,2016-03-16T11:44:43.000+0000,
TIMOB-20598,1,2016-02-22T14:10:09.000+0000,
TIMOB-20588,1,2016-03-17T21:58:53.000+0000,
TIMOB-20583,1,2016-03-14T08:04:16.000+0000,
TIMOB-20581,1,2016-03-14T11:08:39.000+0000,
TIMOB-20580,1,2016-03-03T07:15:43.000+0000,
TIMOB-20577,1,2016-03-09T16:54:52.000+0000,
TIMOB-20575,1,2016-03-15T17:52:52.000+0000,
TIMOB-20572,1,2016-03-16T02:25:40.000+0000,
TIMOB-20569,1,2016-02-29T18:02:32.000+0000,
TIMOB-20566,1,2016-03-14T21:35:17.000+0000,
TIMOB-20564,1,2016-03-13T08:55:03.000+0000,
