key,delay_nr,fields.resolutiondate,
TIMOB-16121,1,2015-01-27 18:07:50+00:00,
TIMOB-15805,1,2013-12-06 22:39:13+00:00,
TIMOB-15732,1,2013-11-15 22:46:20+00:00,
TIMOB-15703,1,2013-11-23 01:55:12+00:00,
TIMOB-15612,1,2014-11-17 21:35:58+00:00,
TIMOB-15596,1,2015-03-06 21:52:34+00:00,
TIMOB-15118,1,2014-05-12 17:45:28+00:00,
TIMOB-15009,1,2013-09-25 22:45:13+00:00,
TIMOB-14990,1,2013-09-17 18:39:12+00:00,
TIMOB-14982,1,2013-10-19 01:24:55+00:00,
TIMOB-14981,1,2013-10-05 02:14:19+00:00,
TIMOB-14980,1,2013-10-19 01:24:46+00:00,
TIMOB-14979,1,2013-10-05 02:14:23+00:00,
TIMOB-14978,1,2013-10-19 01:24:35+00:00,
TIMOB-14977,1,2013-10-05 02:14:27+00:00,
TIMOB-14976,1,2013-10-05 02:14:31+00:00,
TIMOB-14974,1,2013-09-21 01:06:35+00:00,
TIMOB-14973,1,2013-09-07 02:25:35+00:00,
TIMOB-14963,1,2014-07-07 21:49:49+00:00,
TIMOB-14933,1,2013-08-27 22:16:56+00:00,
TIMOB-14931,1,2013-08-27 22:30:47+00:00,
TIMOB-14836,1,2013-08-26 20:52:33+00:00,
TIMOB-14806,1,2014-02-13 21:25:41+00:00,
TIMOB-14787,1,2013-08-28 23:18:36+00:00,
TIMOB-14786,1,2013-09-06 22:23:34+00:00,
TIMOB-14785,1,2013-09-06 22:23:38+00:00,
TIMOB-14784,1,2013-08-28 23:18:44+00:00,
TIMOB-14701,1,2013-08-28 23:16:51+00:00,
TIMOB-14696,1,2013-08-26 17:34:58+00:00,
TIMOB-14652,1,2013-08-28 23:17:56+00:00,
TIMOB-14637,1,2013-09-06 22:23:30+00:00,
TIMOB-14582,1,2013-09-30 15:53:19+00:00,
TIMOB-14262,1,2013-12-16 10:36:11+00:00,
TIMOB-13999,1,2013-09-30 15:46:15+00:00,
TIMOB-13974,1,2013-10-19 01:23:23+00:00,
TIMOB-13914,1,2014-11-25 07:56:48+00:00,
TIMOB-13862,1,2013-08-28 23:17:26+00:00,
TIMOB-13656,1,2013-08-28 00:35:06+00:00,
TIMOB-13582,1,2013-09-07 02:27:18+00:00,
TIMOB-13545,1,2015-02-24 21:06:03+00:00,
TIMOB-13520,1,2013-10-21 19:23:39+00:00,
TIMOB-12960,1,2013-11-15 00:16:25+00:00,
TIMOB-12765,1,2013-03-26 22:16:23+00:00,
