key,bugnr,fields.created,
TISTUD-2158,1,2012-08-27T16:25:23.000+0000,
TISTUD-2150,1,2012-08-25T05:19:29.000+0000,
TISTUD-2139,1,2012-08-23T15:56:20.000+0000,
TISTUD-2136,1,2012-08-23T12:18:41.000+0000,
TISTUD-2133,1,2012-08-22T16:48:03.000+0000,
TISTUD-2109,1,2012-08-15T09:06:51.000+0000,
TISTUD-2105,1,2012-08-14T10:06:37.000+0000,
TISTUD-2093,1,2012-08-13T17:25:59.000+0000,
TISTUD-2077,1,2012-08-09T21:50:44.000+0000,
TISTUD-2072,1,2012-08-08T13:12:06.000+0000,
TISTUD-2069,1,2012-08-08T12:36:39.000+0000,
TISTUD-2068,1,2012-08-08T12:30:15.000+0000,
TISTUD-2066,1,2012-08-08T08:43:46.000+0000,
TISTUD-2065,1,2012-08-07T18:29:20.000+0000,
TISTUD-2059,1,2012-08-06T16:59:19.000+0000,
TISTUD-2054,1,2012-08-06T12:01:53.000+0000,
TISTUD-2045,1,2012-08-02T15:25:32.000+0000,
TISTUD-2044,1,2012-08-02T14:16:08.000+0000,
TISTUD-2033,1,2012-08-01T11:43:41.000+0000,
TISTUD-2032,1,2012-08-01T10:46:11.000+0000,
TISTUD-2028,1,2012-07-31T13:53:47.000+0000,
TISTUD-2026,1,2012-07-30T19:37:38.000+0000,
TISTUD-2024,1,2012-07-30T15:04:17.000+0000,
TISTUD-2017,1,2012-07-27T14:39:44.000+0000,
TISTUD-2015,1,2012-07-27T11:26:55.000+0000,
TISTUD-2014,1,2012-07-27T09:25:56.000+0000,
TISTUD-2029,1,2012-07-25T23:17:00.000+0000,
TISTUD-2008,1,2012-07-25T15:10:05.000+0000,
TISTUD-2007,1,2012-07-25T12:44:58.000+0000,
TISTUD-2004,1,2012-07-24T15:00:55.000+0000,
TISTUD-1991,1,2012-07-23T19:09:02.000+0000,
TISTUD-1985,1,2012-07-23T15:15:09.000+0000,
TISTUD-1982,1,2012-07-23T13:00:22.000+0000,
TISTUD-1973,1,2012-07-19T16:43:02.000+0000,
TISTUD-1959,1,2012-07-16T10:59:27.000+0000,
TISTUD-1954,1,2012-07-13T17:18:07.000+0000,
TISTUD-1949,1,2012-07-12T06:57:19.000+0000,
TISTUD-1947,1,2012-07-11T13:30:08.000+0000,
TISTUD-1935,1,2012-07-10T11:30:43.000+0000,
TISTUD-1846,1,2012-07-06T13:48:33.000+0000,
TISTUD-1840,1,2012-07-05T11:46:00.000+0000,
TISTUD-1836,1,2012-07-02T17:44:17.000+0000,
TISTUD-1835,1,2012-07-02T15:53:56.000+0000,
TISTUD-1834,1,2012-07-02T15:32:26.000+0000,
TISTUD-1833,1,2012-07-02T14:16:00.000+0000,
TISTUD-1832,1,2012-07-02T13:59:24.000+0000,
TISTUD-1831,1,2012-07-02T10:17:11.000+0000,
TISTUD-1828,1,2012-06-29T14:21:30.000+0000,
TISTUD-2002,1,2012-06-29T12:25:31.000+0000,
TISTUD-1821,1,2012-06-26T13:05:53.000+0000,
TISTUD-1817,1,2012-06-25T19:45:23.000+0000,
TISTUD-1815,1,2012-06-25T14:18:35.000+0000,
TISTUD-1805,1,2012-06-22T10:38:58.000+0000,
TISTUD-1804,1,2012-06-22T07:04:02.000+0000,
TISTUD-1800,1,2012-06-21T11:53:24.000+0000,
TISTUD-1798,1,2012-06-21T10:35:10.000+0000,
TISTUD-1797,1,2012-06-21T10:01:47.000+0000,
TISTUD-1795,1,2012-06-20T16:16:40.000+0000,
TISTUD-1792,1,2012-06-20T12:11:30.000+0000,
TISTUD-1788,1,2012-06-19T15:56:45.000+0000,
TISTUD-1785,1,2012-06-19T10:13:09.000+0000,
TISTUD-1783,1,2012-06-18T17:23:16.000+0000,
TISTUD-1780,1,2012-06-15T12:52:05.000+0000,
TISTUD-1776,1,2012-06-14T11:40:03.000+0000,
TISTUD-1769,1,2012-06-12T16:50:17.000+0000,
TISTUD-1761,1,2012-06-11T15:03:13.000+0000,
TISTUD-1757,1,2012-06-08T11:55:25.000+0000,
TISTUD-1754,1,2012-06-07T14:05:43.000+0000,
TISTUD-1753,1,2012-06-07T13:55:19.000+0000,
TISTUD-1746,1,2012-06-06T11:15:43.000+0000,
TISTUD-1740,1,2012-06-05T16:26:37.000+0000,
TISTUD-1737,1,2012-06-05T08:50:44.000+0000,
TISTUD-1735,1,2012-06-04T16:52:05.000+0000,
TISTUD-1730,1,2012-06-04T08:30:51.000+0000,
TISTUD-1726,1,2012-06-01T07:50:12.000+0000,
TISTUD-1820,1,2012-05-31T23:02:34.000+0000,
TISTUD-1719,1,2012-05-30T18:06:30.000+0000,
TISTUD-1717,1,2012-05-30T11:23:25.000+0000,
TISTUD-1716,1,2012-05-29T23:36:21.000+0000,
TISTUD-1714,1,2012-05-29T17:51:45.000+0000,
TISTUD-1713,1,2012-05-29T15:53:52.000+0000,
TISTUD-1709,1,2012-05-25T15:39:12.000+0000,
TISTUD-1708,1,2012-05-25T13:52:10.000+0000,
TISTUD-1707,1,2012-05-25T12:32:13.000+0000,
TISTUD-1706,1,2012-05-25T11:38:18.000+0000,
TISTUD-1705,1,2012-05-24T19:16:23.000+0000,
TISTUD-1704,1,2012-05-24T19:03:32.000+0000,
TISTUD-1703,1,2012-05-24T18:48:07.000+0000,
TISTUD-1702,1,2012-05-24T18:17:36.000+0000,
TISTUD-1698,1,2012-05-24T15:44:55.000+0000,
TISTUD-1697,1,2012-05-24T14:30:20.000+0000,
TISTUD-1695,1,2012-05-24T14:08:34.000+0000,
TISTUD-1694,1,2012-05-24T13:40:09.000+0000,
TISTUD-1683,1,2012-05-21T10:44:49.000+0000,
TISTUD-1682,1,2012-05-21T10:30:10.000+0000,
TISTUD-1681,1,2012-05-21T07:38:12.000+0000,
TISTUD-1672,1,2012-05-17T16:44:14.000+0000,
TISTUD-1671,1,2012-05-17T16:32:52.000+0000,
TISTUD-1669,1,2012-05-17T14:52:03.000+0000,
TISTUD-1656,1,2012-05-14T16:02:58.000+0000,
TISTUD-1666,1,2012-05-14T05:06:43.000+0000,
TISTUD-1648,1,2012-05-09T17:26:54.000+0000,
TISTUD-1647,1,2012-05-09T14:59:50.000+0000,
TISTUD-1664,1,2012-05-08T18:04:07.000+0000,
TISTUD-1645,1,2012-05-08T18:03:37.000+0000,
TISTUD-1642,1,2012-05-08T17:02:53.000+0000,
TISTUD-1640,1,2012-05-08T14:02:44.000+0000,
TISTUD-1633,1,2012-05-08T12:19:57.000+0000,
TISTUD-1630,1,2012-05-07T14:05:59.000+0000,
TISTUD-1617,1,2012-05-04T10:11:43.000+0000,
TISTUD-1605,1,2012-05-02T07:13:19.000+0000,
TISTUD-1576,1,2012-04-27T16:23:20.000+0000,
TISTUD-1574,1,2012-04-26T14:24:25.000+0000,
TISTUD-1571,1,2012-04-25T14:39:51.000+0000,
TISTUD-1559,1,2012-04-23T17:28:42.000+0000,
TISTUD-1558,1,2012-04-23T15:59:12.000+0000,
TISTUD-1556,1,2012-04-20T15:14:37.000+0000,
TISTUD-1572,1,2012-04-19T15:41:59.000+0000,
TISTUD-1550,1,2012-04-19T12:09:49.000+0000,
TISTUD-1549,1,2012-04-19T11:35:49.000+0000,
TISTUD-1546,1,2012-04-18T13:23:35.000+0000,
TISTUD-1543,1,2012-04-18T10:45:12.000+0000,
TISTUD-1541,1,2012-04-18T09:26:44.000+0000,
TISTUD-1540,1,2012-04-18T08:53:01.000+0000,
TISTUD-1539,1,2012-04-18T08:51:53.000+0000,
TISTUD-1537,1,2012-04-18T04:02:28.000+0000,
TISTUD-1530,1,2012-04-17T16:29:43.000+0000,
TISTUD-1529,1,2012-04-17T15:51:54.000+0000,
TISTUD-1527,1,2012-04-17T15:24:10.000+0000,
TISTUD-1528,1,2012-04-17T15:14:36.000+0000,
TISTUD-1525,1,2012-04-16T23:36:05.000+0000,
TISTUD-1522,1,2012-04-13T12:38:11.000+0000,
TISTUD-1518,1,2012-04-12T13:44:55.000+0000,
TISTUD-1517,1,2012-04-12T13:44:08.000+0000,
TISTUD-1516,1,2012-04-12T13:34:34.000+0000,
