key,delay_nr,fields.resolutiondate,
TISTUD-2140,1,2013-06-19 22:07:29+00:00,
TISTUD-2133,1,2013-06-19 22:07:33+00:00,
TISTUD-2105,1,2012-08-28 13:07:15+00:00,
TISTUD-2093,1,2012-08-28 14:50:37+00:00,
TISTUD-2091,1,2013-06-19 22:07:36+00:00,
TISTUD-2090,1,2012-10-03 17:52:53+00:00,
TISTUD-2089,1,2013-06-19 22:07:40+00:00,
TISTUD-2088,1,2013-06-19 22:07:45+00:00,
TISTUD-2086,1,2012-10-01 18:11:11+00:00,
TISTUD-2074,1,2012-11-29 21:15:23+00:00,
TISTUD-2072,1,2012-09-12 14:36:34+00:00,
TISTUD-2069,1,2012-09-24 05:30:54+00:00,
TISTUD-2065,1,2013-06-25 23:59:27+00:00,
TISTUD-2057,1,2012-10-03 17:20:55+00:00,
TISTUD-2055,1,2013-12-12 23:00:36+00:00,
TISTUD-2023,1,2012-07-30 15:11:45+00:00,
TISTUD-2015,1,2012-09-24 05:18:52+00:00,
TISTUD-2008,1,2012-07-30 11:44:17+00:00,
TISTUD-2000,1,2013-06-19 20:55:11+00:00,
TISTUD-1990,1,2013-01-31 00:25:48+00:00,
TISTUD-1980,1,2013-10-07 05:13:17+00:00,
TISTUD-1984,1,2012-11-02 00:09:12+00:00,
TISTUD-1950,1,2012-10-01 21:46:01+00:00,
TISTUD-1895,1,2012-10-05 16:42:00+00:00,
TISTUD-1894,1,2013-03-26 17:15:28+00:00,
TISTUD-1893,1,2012-10-31 23:13:39+00:00,
TISTUD-1891,1,2012-10-30 23:41:53+00:00,
TISTUD-1890,1,2012-10-05 13:56:18+00:00,
TISTUD-1882,1,2012-08-14 14:27:20+00:00,
TISTUD-1855,1,2012-08-13 09:29:22+00:00,
TISTUD-1828,1,2012-10-18 00:39:01+00:00,
TISTUD-1827,1,2012-07-30 17:53:47+00:00,
TISTUD-1800,1,2013-01-14 23:00:29+00:00,
TISTUD-1797,1,2012-07-10 11:06:25+00:00,
TISTUD-1738,1,2012-06-15 12:53:31+00:00,
TISTUD-1734,1,2012-10-02 20:09:49+00:00,
TISTUD-1713,1,2012-05-30 15:14:29+00:00,
TISTUD-1710,1,2012-05-30 15:12:57+00:00,
TISTUD-1709,1,2012-05-31 05:56:43+00:00,
TISTUD-1708,1,2012-05-30 15:12:21+00:00,
TISTUD-1703,1,2012-10-18 00:38:05+00:00,
TISTUD-1697,1,2012-09-24 04:46:57+00:00,
TISTUD-1682,1,2012-05-30 15:10:09+00:00,
TISTUD-1681,1,2012-05-22 07:23:45+00:00,
TISTUD-1685,1,2012-05-30 15:11:17+00:00,
TISTUD-1678,1,2012-07-30 17:17:33+00:00,
TISTUD-1674,1,2012-06-01 07:55:13+00:00,
TISTUD-1672,1,2012-05-21 11:35:28+00:00,
TISTUD-1671,1,2012-05-21 11:34:59+00:00,
TISTUD-1656,1,2012-05-21 11:35:57+00:00,
TISTUD-1666,1,2012-05-23 10:37:23+00:00,
TISTUD-1650,1,2012-06-19 17:31:45+00:00,
