key,rework_nr,created,
TISTUD-2160,1,2012-11-07 18:17:00+00:00,
TISTUD-2159,1,2012-08-30 09:30:06+00:00,
TISTUD-2143,1,2012-12-06 21:19:41+00:00,
TISTUD-2140,1,2013-06-19 22:04:30+00:00,
TISTUD-2136,1,2012-10-05 21:22:00+00:00,
TISTUD-2136,1,2012-12-10 22:42:47+00:00,
TISTUD-2136,1,2013-01-04 18:15:03+00:00,
TISTUD-2136,1,2013-01-04 18:18:23+00:00,
TISTUD-2133,1,2013-06-19 22:04:33+00:00,
TISTUD-2118,1,2012-09-18 10:29:56+00:00,
TISTUD-2118,1,2012-09-19 11:12:59+00:00,
TISTUD-2111,1,2012-08-21 11:46:08+00:00,
TISTUD-2105,1,2012-08-28 13:05:00+00:00,
TISTUD-2093,1,2012-08-13 17:35:54+00:00,
TISTUD-2093,1,2012-08-28 13:07:27+00:00,
TISTUD-2091,1,2013-06-19 22:04:36+00:00,
TISTUD-2090,1,2012-10-03 17:52:37+00:00,
TISTUD-2089,1,2013-06-19 22:04:40+00:00,
TISTUD-2088,1,2013-06-19 22:04:43+00:00,
TISTUD-2086,1,2012-10-01 17:43:00+00:00,
TISTUD-2077,1,2012-09-14 11:21:30+00:00,
TISTUD-2072,1,2012-08-09 10:22:09+00:00,
TISTUD-2072,1,2012-09-12 08:06:30+00:00,
TISTUD-2065,1,2013-06-20 20:31:31+00:00,
TISTUD-2055,1,2012-08-08 17:27:52+00:00,
TISTUD-2055,1,2013-06-03 22:27:09+00:00,
TISTUD-2055,1,2013-12-12 22:59:59+00:00,
TISTUD-2052,1,2012-11-15 16:37:51+00:00,
TISTUD-2045,1,2012-09-13 12:26:34+00:00,
TISTUD-2045,1,2012-09-17 17:01:08+00:00,
TISTUD-2045,1,2012-09-18 10:44:24+00:00,
TISTUD-2035,1,2012-08-01 13:03:39+00:00,
TISTUD-2035,1,2012-08-02 13:28:59+00:00,
TISTUD-2035,1,2012-08-31 16:15:21+00:00,
