key,bugnr,fields.created,
XD-3743,1,2016-02-17T14:28:31.000+0000,
XD-3741,1,2016-02-13T19:04:24.000+0000,
XD-3740,1,2016-02-11T17:45:54.000+0000,
XD-3739,1,2016-02-05T16:01:49.000+0000,
XD-3737,1,2016-02-02T17:52:11.000+0000,
XD-3734,1,2016-01-15T19:55:40.000+0000,
XD-3732,1,2016-01-13T23:26:00.000+0000,
XD-3730,1,2016-01-08T15:53:19.000+0000,
XD-3725,1,2015-12-17T18:11:37.000+0000,
XD-3721,1,2015-12-14T18:40:55.000+0000,
XD-3719,1,2015-12-09T06:21:39.000+0000,
XD-3709,1,2015-11-21T16:59:25.000+0000,
XD-3706,1,2015-11-12T17:17:25.000+0000,
XD-3698,1,2015-11-09T20:58:13.000+0000,
XD-3697,1,2015-11-09T16:32:05.000+0000,
XD-3691,1,2015-11-06T02:14:48.000+0000,
XD-3686,1,2015-11-04T13:44:00.000+0000,
XD-3685,1,2015-11-02T20:54:40.000+0000,
XD-3684,1,2015-11-02T19:30:30.000+0000,
XD-3683,1,2015-11-02T19:27:53.000+0000,
XD-3673,1,2015-11-02T16:59:40.000+0000,
XD-3667,1,2015-10-30T23:09:42.000+0000,
XD-3665,1,2015-10-30T23:02:07.000+0000,
XD-3663,1,2015-10-30T22:58:37.000+0000,
XD-3653,1,2015-10-29T14:21:10.000+0000,
XD-3652,1,2015-10-28T18:46:20.000+0000,
XD-3648,1,2015-10-27T18:44:47.000+0000,
XD-3645,1,2015-10-27T02:57:41.000+0000,
XD-3632,1,2015-10-19T22:29:25.000+0000,
XD-3629,1,2015-10-19T16:50:50.000+0000,
XD-3621,1,2015-10-16T16:44:02.000+0000,
XD-3613,1,2015-10-13T14:56:06.000+0000,
XD-3610,1,2015-10-13T01:04:44.000+0000,
XD-3598,1,2015-10-07T15:02:03.000+0000,
XD-3591,1,2015-10-05T20:32:58.000+0000,
XD-3568,1,2015-10-02T03:02:25.000+0000,
XD-3567,1,2015-10-01T21:44:39.000+0000,
XD-3509,1,2015-09-28T15:29:34.000+0000,
XD-3508,1,2015-09-25T21:51:55.000+0000,
XD-3506,1,2015-09-25T16:55:49.000+0000,
XD-3505,1,2015-09-25T16:37:33.000+0000,
XD-3468,1,2015-09-09T18:35:27.000+0000,
XD-3464,1,2015-09-08T15:05:39.000+0000,
XD-3460,1,2015-09-03T08:21:47.000+0000,
XD-3424,1,2015-08-21T17:18:13.000+0000,
XD-3385,1,2015-08-10T08:44:26.000+0000,
XD-3373,1,2015-08-07T16:13:19.000+0000,
XD-3358,1,2015-08-06T11:27:36.000+0000,
XD-3346,1,2015-08-05T07:24:58.000+0000,
XD-3338,1,2015-08-04T13:58:43.000+0000,
XD-3335,1,2015-08-04T12:55:47.000+0000,
XD-3321,1,2015-08-03T14:57:35.000+0000,
XD-3308,1,2015-07-30T12:00:44.000+0000,
XD-3306,1,2015-07-30T06:04:37.000+0000,
XD-3287,1,2015-07-22T09:09:26.000+0000,
XD-3266,1,2015-07-20T01:47:57.000+0000,
XD-3263,1,2015-07-16T12:27:39.000+0000,
XD-3257,1,2015-07-14T09:54:55.000+0000,
XD-3235,1,2015-07-08T08:51:59.000+0000,
XD-3221,1,2015-07-07T06:14:39.000+0000,
XD-3220,1,2015-07-07T03:26:38.000+0000,
XD-3219,1,2015-07-06T12:36:26.000+0000,
XD-3217,1,2015-07-03T08:13:14.000+0000,
XD-3216,1,2015-07-02T14:27:26.000+0000,
XD-3214,1,2015-07-02T05:21:13.000+0000,
XD-3208,1,2015-06-24T10:07:01.000+0000,
XD-3206,1,2015-06-24T01:28:42.000+0000,
XD-3188,1,2015-06-18T08:00:46.000+0000,
