key,delay_nr,fields.resolutiondate,
XD-3709,1,2015-12-17 18:15:59+00:00,
XD-3317,1,2015-09-17 15:27:06+00:00,
XD-3218,1,2015-08-05 11:54:24+00:00,
XD-3169,1,2015-07-02 12:11:30+00:00,
XD-3036,1,2015-06-03 08:32:34+00:00,
XD-2557,1,2015-03-17 09:03:10+00:00,
XD-2192,1,2014-10-01 06:57:17+00:00,
XD-2095,1,2014-09-22 09:59:22+00:00,
XD-2015,1,2014-08-26 09:38:17+00:00,
XD-1901,1,2014-07-07 15:50:27+00:00,
XD-1799,1,2014-07-29 17:32:12+00:00,
XD-1794,1,2014-07-08 12:02:52+00:00,
XD-1777,1,2014-07-08 12:02:17+00:00,
XD-1745,1,2014-07-08 08:09:10+00:00,
XD-1742,1,2014-05-22 05:52:40+00:00,
XD-1733,1,2014-06-06 11:23:22+00:00,
XD-1715,1,2014-05-27 09:01:26+00:00,
XD-1678,1,2014-06-10 13:54:47+00:00,
XD-1616,1,2014-10-01 11:04:02+00:00,
XD-1596,1,2014-05-01 11:44:44+00:00,
XD-1586,1,2014-06-25 09:11:53+00:00,
XD-1549,1,2014-05-12 11:57:44+00:00,
XD-1548,1,2014-05-12 11:57:56+00:00,
XD-1531,1,2014-05-12 07:14:58+00:00,
XD-1520,1,2014-05-22 16:30:13+00:00,
XD-1512,1,2014-05-13 08:39:11+00:00,
XD-1510,1,2014-07-16 09:34:06+00:00,
XD-1507,1,2014-05-28 09:36:02+00:00,
XD-1504,1,2014-05-12 14:36:19+00:00,
XD-1503,1,2014-05-05 12:29:46+00:00,
XD-1500,1,2014-05-12 11:57:50+00:00,
XD-1466,1,2014-05-02 13:17:08+00:00,
XD-1447,1,2014-04-04 06:12:30+00:00,
XD-1446,1,2014-05-08 11:00:24+00:00,
XD-1438,1,2014-04-07 12:09:15+00:00,
XD-1430,1,2014-05-06 19:21:43+00:00,
XD-1425,1,2014-04-24 13:29:00+00:00,
XD-1424,1,2014-04-07 12:25:57+00:00,
XD-1422,1,2014-04-09 10:45:37+00:00,
XD-1421,1,2014-04-09 10:45:31+00:00,
XD-1416,1,2014-05-28 10:13:41+00:00,
XD-1399,1,2014-04-03 08:26:05+00:00,
XD-1378,1,2014-04-14 14:59:25+00:00,
XD-1338,1,2014-05-30 07:19:13+00:00,
XD-1208,1,2014-04-04 14:50:37+00:00,
XD-1186,1,2014-02-19 22:48:27+00:00,
XD-1173,1,2014-01-29 12:16:22+00:00,
XD-1155,1,2013-12-12 08:59:44+00:00,
XD-1149,1,2014-06-10 03:42:01+00:00,
XD-1144,1,2013-12-12 08:56:22+00:00,
XD-1130,1,2013-12-12 08:57:31+00:00,
XD-1103,1,2013-12-16 04:50:18+00:00,
XD-1091,1,2013-12-11 10:02:14+00:00,
XD-1088,1,2013-12-11 10:02:27+00:00,
XD-1067,1,2014-01-02 06:45:23+00:00,
XD-1052,1,2014-04-07 08:34:28+00:00,
XD-1047,1,2014-04-14 10:27:06+00:00,
XD-1007,1,2014-05-08 09:25:04+00:00,
XD-1006,1,2014-05-01 16:18:28+00:00,
XD-1004,1,2014-05-12 09:14:21+00:00,
XD-1002,1,2015-07-09 14:15:53+00:00,
XD-997,1,2014-05-19 08:47:54+00:00,
XD-991,1,2013-12-16 09:30:11+00:00,
XD-990,1,2013-12-16 09:30:02+00:00,
XD-962,1,2013-10-21 10:32:30+00:00,
XD-961,1,2013-10-21 02:03:04+00:00,
XD-950,1,2013-10-22 08:55:37+00:00,
XD-949,1,2013-10-22 08:55:19+00:00,
XD-948,1,2013-10-22 08:55:29+00:00,
XD-947,1,2014-03-11 20:25:27+00:00,
XD-946,1,2013-10-21 06:51:54+00:00,
XD-945,1,2013-10-22 08:55:12+00:00,
XD-942,1,2013-10-28 06:30:53+00:00,
XD-941,1,2013-10-21 02:03:22+00:00,
XD-935,1,2013-11-04 04:46:05+00:00,
XD-933,1,2013-11-18 07:13:34+00:00,
XD-928,1,2014-05-16 11:38:56+00:00,
XD-927,1,2013-10-21 02:03:16+00:00,
XD-925,1,2014-06-24 09:36:12+00:00,
XD-919,1,2013-10-22 08:56:41+00:00,
XD-916,1,2013-10-21 02:03:43+00:00,
XD-914,1,2013-11-15 08:14:22+00:00,
XD-832,1,2013-09-09 06:03:04+00:00,
XD-831,1,2013-09-10 10:32:16+00:00,
XD-827,1,2013-09-08 11:52:10+00:00,
XD-824,1,2013-09-08 11:52:32+00:00,
XD-823,1,2013-09-07 11:11:27+00:00,
XD-820,1,2013-09-08 11:26:26+00:00,
XD-810,1,2013-09-07 11:06:42+00:00,
XD-791,1,2013-09-10 10:31:46+00:00,
XD-736,1,2013-09-07 13:48:03+00:00,
XD-732,1,2013-09-06 12:19:58+00:00,
XD-686,1,2013-12-16 11:36:17+00:00,
XD-685,1,2013-09-06 13:21:50+00:00,
XD-674,1,2013-08-12 09:23:02+00:00,
XD-670,1,2013-08-12 09:21:05+00:00,
XD-666,1,2013-08-10 15:35:06+00:00,
XD-665,1,2013-08-11 16:47:28+00:00,
XD-664,1,2013-08-12 09:22:32+00:00,
XD-663,1,2013-08-11 12:07:54+00:00,
XD-660,1,2013-08-09 15:06:22+00:00,
XD-655,1,2013-08-09 12:21:52+00:00,
XD-653,1,2013-08-09 10:07:24+00:00,
XD-652,1,2013-08-09 13:02:26+00:00,
XD-650,1,2013-08-09 12:53:01+00:00,
XD-649,1,2013-08-09 13:06:36+00:00,
XD-648,1,2013-08-09 10:55:22+00:00,
XD-644,1,2013-08-08 19:56:54+00:00,
XD-643,1,2013-08-08 18:14:24+00:00,
XD-642,1,2013-08-08 18:14:04+00:00,
XD-640,1,2013-08-08 17:02:43+00:00,
XD-636,1,2013-08-08 10:39:44+00:00,
XD-635,1,2013-08-09 15:46:10+00:00,
XD-634,1,2013-08-08 17:58:07+00:00,
XD-633,1,2013-08-08 07:53:05+00:00,
XD-632,1,2013-08-09 11:02:08+00:00,
XD-626,1,2013-08-08 05:20:33+00:00,
XD-624,1,2013-08-07 11:14:32+00:00,
XD-622,1,2013-08-07 15:20:09+00:00,
XD-620,1,2013-08-06 22:36:42+00:00,
XD-619,1,2013-08-06 22:36:54+00:00,
XD-618,1,2013-08-06 20:47:32+00:00,
XD-617,1,2013-08-12 09:23:22+00:00,
XD-616,1,2013-08-07 13:24:33+00:00,
XD-614,1,2013-08-07 15:10:29+00:00,
XD-612,1,2013-08-07 14:30:09+00:00,
XD-611,1,2013-08-08 17:31:51+00:00,
XD-610,1,2013-08-08 08:47:13+00:00,
XD-609,1,2013-08-07 20:13:20+00:00,
XD-607,1,2013-08-07 05:54:48+00:00,
XD-606,1,2013-08-08 18:43:51+00:00,
XD-605,1,2013-08-09 02:27:40+00:00,
XD-603,1,2013-08-06 09:08:10+00:00,
XD-599,1,2013-08-08 11:48:10+00:00,
XD-598,1,2013-08-06 12:17:31+00:00,
XD-596,1,2013-08-05 05:44:58+00:00,
XD-595,1,2013-08-05 07:00:56+00:00,
XD-594,1,2013-08-05 05:42:56+00:00,
XD-593,1,2013-08-05 05:43:48+00:00,
XD-592,1,2013-08-08 14:15:40+00:00,
XD-591,1,2013-08-02 09:00:49+00:00,
XD-587,1,2013-08-01 09:18:29+00:00,
XD-583,1,2013-08-06 07:37:37+00:00,
XD-582,1,2013-08-05 05:44:11+00:00,
XD-581,1,2013-08-01 06:11:05+00:00,
XD-579,1,2013-07-31 19:16:09+00:00,
XD-576,1,2013-08-02 12:36:50+00:00,
XD-572,1,2013-08-12 09:21:17+00:00,
XD-565,1,2013-08-01 05:35:01+00:00,
XD-563,1,2013-08-06 12:18:47+00:00,
XD-561,1,2013-08-12 09:22:21+00:00,
XD-555,1,2013-08-06 05:37:17+00:00,
XD-553,1,2013-08-08 17:31:33+00:00,
XD-549,1,2013-08-07 08:53:46+00:00,
XD-548,1,2013-08-09 02:03:51+00:00,
XD-547,1,2013-08-11 16:46:43+00:00,
XD-546,1,2013-08-09 04:22:51+00:00,
XD-544,1,2013-08-12 09:21:32+00:00,
XD-540,1,2013-08-01 21:39:50+00:00,
XD-536,1,2013-08-05 13:53:52+00:00,
XD-534,1,2013-08-05 12:15:56+00:00,
XD-532,1,2013-09-11 10:49:32+00:00,
XD-524,1,2013-07-22 06:17:49+00:00,
XD-504,1,2013-07-19 15:24:35+00:00,
XD-496,1,2013-07-16 04:24:39+00:00,
XD-494,1,2013-07-22 07:09:56+00:00,
XD-492,1,2013-07-22 05:44:23+00:00,
XD-487,1,2013-07-22 08:05:49+00:00,
XD-485,1,2013-07-22 09:10:00+00:00,
XD-478,1,2013-07-16 14:13:38+00:00,
XD-473,1,2013-08-01 05:35:10+00:00,
XD-466,1,2013-07-15 04:12:58+00:00,
XD-404,1,2013-07-19 04:28:43+00:00,
XD-402,1,2013-07-17 08:30:00+00:00,
XD-392,1,2013-07-08 08:39:37+00:00,
XD-384,1,2013-07-11 07:43:01+00:00,
XD-383,1,2013-07-10 09:09:35+00:00,
XD-377,1,2013-07-11 08:32:03+00:00,
XD-376,1,2013-07-11 08:41:23+00:00,
XD-375,1,2013-07-22 02:14:54+00:00,
XD-374,1,2013-07-12 12:31:58+00:00,
XD-373,1,2013-07-10 21:57:31+00:00,
XD-372,1,2013-07-17 12:34:51+00:00,
XD-371,1,2013-07-17 12:34:40+00:00,
XD-369,1,2013-08-02 09:05:51+00:00,
XD-367,1,2013-07-22 07:13:10+00:00,
XD-366,1,2013-07-08 10:10:52+00:00,
XD-363,1,2013-07-19 15:09:54+00:00,
XD-361,1,2013-07-19 12:18:13+00:00,
XD-359,1,2013-07-11 08:35:32+00:00,
XD-358,1,2013-07-08 10:03:22+00:00,
XD-355,1,2014-06-06 11:18:30+00:00,
XD-348,1,2013-07-07 23:03:40+00:00,
XD-339,1,2013-07-01 03:07:10+00:00,
XD-337,1,2013-07-01 03:00:36+00:00,
XD-334,1,2013-07-01 09:00:19+00:00,
XD-323,1,2013-07-08 10:18:58+00:00,
XD-319,1,2013-07-08 10:20:33+00:00,
XD-317,1,2013-07-02 07:41:35+00:00,
XD-315,1,2013-07-01 09:25:23+00:00,
XD-269,1,2013-07-15 06:03:45+00:00,
XD-263,1,2013-07-02 13:34:25+00:00,
XD-260,1,2013-07-02 13:34:17+00:00,
XD-244,1,2013-07-02 07:41:23+00:00,
XD-242,1,2013-06-24 08:14:09+00:00,
XD-236,1,2013-07-01 07:31:15+00:00,
XD-227,1,2013-07-14 20:43:49+00:00,
XD-226,1,2013-06-24 07:12:48+00:00,
XD-164,1,2013-06-25 07:31:24+00:00,
XD-162,1,2013-07-22 08:13:13+00:00,
XD-155,1,2013-06-03 20:09:13+00:00,
XD-143,1,2013-06-05 08:47:51+00:00,
XD-142,1,2013-06-22 16:46:05+00:00,
XD-138,1,2013-06-10 12:39:36+00:00,
XD-137,1,2013-06-17 07:41:44+00:00,
XD-135,1,2013-06-05 23:12:23+00:00,
XD-126,1,2013-06-05 09:04:20+00:00,
XD-109,1,2013-05-28 09:27:46+00:00,
XD-106,1,2013-06-04 10:12:57+00:00,
XD-98,1,2013-05-27 10:55:35+00:00,
XD-91,1,2013-05-27 10:55:28+00:00,
XD-89,1,2013-06-06 07:51:52+00:00,
XD-88,1,2013-05-28 08:05:48+00:00,
XD-87,1,2013-06-06 07:39:55+00:00,
XD-85,1,2013-05-27 10:55:06+00:00,
XD-84,1,2013-05-27 10:55:00+00:00,
XD-80,1,2013-05-28 08:21:57+00:00,
XD-79,1,2013-05-28 06:44:09+00:00,
XD-75,1,2013-05-30 08:56:52+00:00,
XD-67,1,2013-05-20 06:31:33+00:00,
XD-65,1,2013-05-20 09:17:56+00:00,
XD-62,1,2013-05-20 09:36:36+00:00,
XD-61,1,2013-05-20 09:40:24+00:00,
XD-44,1,2013-05-12 10:03:24+00:00,
XD-42,1,2013-05-03 13:23:38+00:00,
XD-41,1,2013-05-02 12:39:16+00:00,
XD-40,1,2013-05-03 15:08:56+00:00,
XD-39,1,2013-05-03 12:46:16+00:00,
XD-33,1,2013-05-01 14:37:52+00:00,
XD-32,1,2013-05-01 14:36:29+00:00,
XD-30,1,2013-05-03 20:51:44+00:00,
XD-28,1,2013-05-06 06:33:05+00:00,
XD-27,1,2013-05-20 09:17:29+00:00,
XD-24,1,2013-05-03 14:56:33+00:00,
XD-22,1,2013-05-02 12:24:28+00:00,
XD-20,1,2013-05-03 13:23:57+00:00,
XD-13,1,2013-05-20 09:33:14+00:00,
XD-9,1,2013-05-20 09:36:15+00:00,
XD-8,1,2013-05-04 11:22:43+00:00,
XD-7,1,2013-05-02 19:22:11+00:00,
XD-6,1,2013-05-01 14:38:01+00:00,
