key,rework_nr,created,
XD-3704,1,2015-11-13 12:28:48.937000+00:00,
XD-3684,1,2015-11-12 23:01:12.677000+00:00,
XD-3616,1,2015-11-02 14:21:13.219000+00:00,
XD-3489,1,2015-11-02 15:27:17.376000+00:00,
XD-3399,1,2015-08-18 08:26:26.081000+00:00,
XD-3378,1,2015-10-02 16:53:37.043000+00:00,
XD-3362,1,2015-08-20 17:51:01.372000+00:00,
XD-3229,1,2015-07-21 13:35:17.959000+00:00,
XD-3218,1,2015-08-03 10:11:08.912000+00:00,
XD-3218,1,2015-08-05 11:54:12.290000+00:00,
XD-3169,1,2015-06-23 08:55:14.765000+00:00,
XD-3078,1,2015-07-28 10:27:41.585000+00:00,
XD-3036,1,2015-06-01 11:32:43.932000+00:00,
XD-3009,1,2015-04-30 14:49:57.331000+00:00,
XD-2999,1,2015-05-28 12:53:01.394000+00:00,
XD-2899,1,2015-05-16 13:32:44.527000+00:00,
XD-2856,1,2015-03-25 14:48:46.938000+00:00,
XD-2854,1,2015-03-24 15:35:09.005000+00:00,
XD-2853,1,2015-03-24 15:08:37.377000+00:00,
XD-2834,1,2015-07-13 12:55:14.852000+00:00,
XD-2834,1,2015-07-16 03:08:50.836000+00:00,
XD-2823,1,2015-03-19 05:32:48.737000+00:00,
XD-2779,1,2015-03-13 10:58:23.649000+00:00,
XD-2735,1,2015-02-20 16:05:55.315000+00:00,
XD-2729,1,2015-02-23 07:12:08.749000+00:00,
XD-2691,1,2015-05-12 09:36:31.684000+00:00,
XD-2675,1,2015-02-20 11:27:48.857000+00:00,
XD-2656,1,2015-02-03 17:37:11.071000+00:00,
XD-2606,1,2015-01-20 06:47:09.530000+00:00,
XD-2570,1,2015-01-15 11:35:27.793000+00:00,
XD-2567,1,2015-01-19 15:31:12.936000+00:00,
XD-2564,1,2015-01-19 06:32:21.981000+00:00,
XD-2557,1,2015-03-11 12:43:22.565000+00:00,
XD-2501,1,2014-12-15 07:57:11.766000+00:00,
XD-2499,1,2015-02-02 09:28:15.779000+00:00,
XD-2490,1,2014-12-15 10:29:53.918000+00:00,
XD-2406,1,2015-01-07 12:15:13.575000+00:00,
XD-2387,1,2014-12-12 08:30:53.306000+00:00,
XD-2328,1,2014-11-10 10:40:33.834000+00:00,
XD-2307,1,2014-11-14 15:57:57.254000+00:00,
XD-2216,1,2014-11-11 12:51:28.446000+00:00,
XD-2203,1,2014-11-18 10:54:01.191000+00:00,
XD-2180,1,2014-10-10 13:33:54.553000+00:00,
XD-2030,1,2014-07-28 14:55:16.735000+00:00,
