"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
24212,"Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM ",NULL,"Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM ",NULL,"Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage<span class='highlight-text severity-high'>. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM </span>","minimal","punctuation","high",False
24213,"Remove the MozillaJS validator The MozillaJS validator simply runs the source through the Rhino parser. It appears to be giving us no extra benefit that we don t already get or can t get from our own parser. If that is the case, we can remove some deadweight code and possible performance issue.",NULL,"Remove the MozillaJS validator The MozillaJS validator simply runs the source through the Rhino parser. It appears to be giving us no extra benefit that we don t already get or can t get from our own parser. If that is the case, we can remove some deadweight code and possible performance issue.",NULL,"Add for who this story is","well_formed","no_role","high",False
24133,"Support Javascript go to definition hyperlinks This comes from trying to close APSTUD 46, which must have been a Studio 2.x ticket. We should support Ctrl Clicking to go to definition for Javascript functions, variables, properties.",NULL,"Support Javascript go to definition hyperlinks This comes from trying to close APSTUD 46, which must have been a Studio 2.x ticket. We should support Ctrl Clicking to go to definition for Javascript functions, variables, properties.",NULL,"Support Javascript go to definition hyperlinks This comes from trying to close APSTUD 46, which must have been a Studio 2<span class='highlight-text severity-high'>.x ticket. We should support Ctrl Clicking to go to definition for Javascript functions, variables, properties.</span>","minimal","punctuation","high",False
24117,"Allow for go to declaration on Ruby require load strings We support go to declaration on things like type names, method calls, variables. We should support opening the related file on the loadpath for the paths mentioned in require load calls.",NULL,"Allow for go to declaration on Ruby require load strings We support go to declaration on things like type names, method calls, variables. We should support opening the related file on the loadpath for the paths mentioned in require load calls.",NULL,"Add for who this story is","well_formed","no_role","high",False
24117,"Allow for go to declaration on Ruby require load strings We support go to declaration on things like type names, method calls, variables. We should support opening the related file on the loadpath for the paths mentioned in require load calls.",NULL,"Allow for go to declaration on Ruby require load strings We support go to declaration on things like type names, method calls, variables. We should support opening the related file on the loadpath for the paths mentioned in require load calls.",NULL,"Allow for go to declaration on Ruby require load strings We support go to declaration on things like type names, method calls, variables<span class='highlight-text severity-high'>. We should support opening the related file on the loadpath for the paths mentioned in require load calls.</span>","minimal","punctuation","high",False
24118,"Allow spacing customization in CSS Formatter We don t currently format spacing between words, and various syntax like , etc",NULL,"Allow spacing customization in CSS Formatter We don t currently format spacing between words, and various syntax like , etc",NULL,"Add for who this story is","well_formed","no_role","high",False
24211,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Add for who this story is","well_formed","no_role","high",False
24211,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance<span class='highlight-text severity-high'> and </span>instead populating it when the particular proposal is selected.","atomic","conjunctions","high",False
24211,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",NULL,"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal<span class='highlight-text severity-high'>. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.</span>","minimal","punctuation","high",False
24129,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Add for who this story is","well_formed","no_role","high",False
24129,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected,<span class='highlight-text severity-high'> and </span>pass it around to the other developers for confirmation.","atomic","conjunctions","high",False
24129,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.",NULL,"Create PMD profile to validate Studio code The default PMD profile is too strict for our purposes<span class='highlight-text severity-high'>. Create a default PMD profile all developers can use to validate code correctness before checkin. Please create a profile, run it against some of our current source code to see if it reports what is expected, and pass it around to the other developers for confirmation.</span>","minimal","punctuation","high",False
24214,"Code review the PHP Debugger Code review the PHP debugger implementation. See sub tasks ",NULL,"Code review the PHP Debugger Code review the PHP debugger implementation. See sub tasks ",NULL,"Add for who this story is","well_formed","no_role","high",False
24214,"Code review the PHP Debugger Code review the PHP debugger implementation. See sub tasks ",NULL,"Code review the PHP Debugger Code review the PHP debugger implementation. See sub tasks ",NULL,"Code review the PHP Debugger Code review the PHP debugger implementation<span class='highlight-text severity-high'>. See sub tasks </span>","minimal","punctuation","high",False
24212,"Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM ",NULL,"Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM ",NULL,"Add for who this story is","well_formed","no_role","high",False
