"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
27798,"Use StringPools to avoid duplicated strings notable Bundle infrastructure and PHP builtins",NULL,"Use StringPools to avoid duplicated strings notable Bundle infrastructure and PHP builtins",NULL,"Add for who this story is","well_formed","no_role","high",False
27802,"Lazily load additional info for Javascript content assist",NULL,"Lazily load additional info for Javascript content assist",NULL,"Add for who this story is","well_formed","no_role","high",False
27804,"Have IdeLog log using the product version, not the version of the plugin",NULL,"Have IdeLog log using the product version, not the version of the plugin",NULL,"Add for who this story is","well_formed","no_role","high",False
27803,"Add name of errant file to error message for ",NULL,"Add name of errant file to error message for ",NULL,"Add for who this story is","well_formed","no_role","high",False
27800,"Remove the MozillaJS validator",NULL,"Remove the MozillaJS validator",NULL,"Add for who this story is","well_formed","no_role","high",False
27809,"Improve Unit test coverage on the participant branch",NULL,"Improve Unit test coverage on the participant branch",NULL,"Add for who this story is","well_formed","no_role","high",False
27808,"Create JavaDocs as part of the build process",NULL,"Create JavaDocs as part of the build process",NULL,"Add for who this story is","well_formed","no_role","high",False
27812,"Externalize UI strings in YAML ruble",NULL,"Externalize UI strings in YAML ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27811,"Externalize UI strings in zen coding ruble",NULL,"Externalize UI strings in zen coding ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27813,"Externalize UI strings in XML ruble",NULL,"Externalize UI strings in XML ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27814,"Externalize UI strings in wordpress ruble",NULL,"Externalize UI strings in wordpress ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27815,"Externalize UI strings in WebFont ruble",NULL,"Externalize UI strings in WebFont ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27816,"Externalize UI strings in titanium ruble",NULL,"Externalize UI strings in titanium ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27817,"Externalize UI strings in text ruble",NULL,"Externalize UI strings in text ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27818,"Externalize UI strings in source ruble",NULL,"Externalize UI strings in source ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27819,"Externalize UI strings in shell script ruble",NULL,"Externalize UI strings in shell script ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27820,"Externalize UI strings in SASS ruble",NULL,"Externalize UI strings in SASS ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27821,"Externalize UI strings in Ruby ruble",NULL,"Externalize UI strings in Ruby ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27822,"Externalize UI strings in RSpec ruble",NULL,"Externalize UI strings in RSpec ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
27823,"Externalize UI strings in Rails ruble",NULL,"Externalize UI strings in Rails ruble",NULL,"Add for who this story is","well_formed","no_role","high",False
