"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17279,"EDT released a new update of the FTPPro library http www.enterprisedt.com products edtftpjssl history.html. ",NULL,"EDT released a new update of the FTPPro library http www.enterprisedt.com products edtftpjssl history.html. ",NULL,"Add for who this story is","well_formed","no_role","high",False
17281,"We currently use JRuby 1.6.3 which has at least one bug causing issues for Turkish users.",NULL,"We currently use JRuby 1.6.3 which has at least one bug causing issues for Turkish users.",NULL,"Add for who this story is","well_formed","no_role","high",False
17282,"One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.",NULL,"One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.",NULL,"One feature that is sorely missed is Open Type in the Eclipse PHP PDT<span class='highlight-text severity-high'>. Attached is a screenshot of the feature in Eclipse PDT.</span>","minimal","punctuation","high",False
17282,"One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.",NULL,"One feature that is sorely missed is Open Type in the Eclipse PHP PDT. Attached is a screenshot of the feature in Eclipse PDT.",NULL,"Add for who this story is","well_formed","no_role","high",False
17310,"Separation for PHP element colouring Public, Private, Abstract, Static, etc., etc. ",NULL,"Separation for PHP element colouring Public, Private, Abstract, Static, etc., etc. ",NULL,"Add for who this story is","well_formed","no_role","high",False
17313,"When the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side. I cannot see the possible choices because the 2nd overlay is in the way.",NULL,"When the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side. I cannot see the possible choices because the 2nd overlay is in the way.",NULL,"When the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side<span class='highlight-text severity-high'>. I cannot see the possible choices because the 2nd overlay is in the way.</span>","minimal","punctuation","high",False
17313,"When the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side. I cannot see the possible choices because the 2nd overlay is in the way.",NULL,"When the code assist dropdown selector overlays the code, the 2nd overlay explaining the selector lays on top of the selector instead of out to the side. I cannot see the possible choices because the 2nd overlay is in the way.",NULL,"Add for who this story is","well_formed","no_role","high",False
17314,"Rather than having formatter settings apply to all projects globally, allow for per project settings.",NULL,"Rather than having formatter settings apply to all projects globally, allow for per project settings.",NULL,"Add for who this story is","well_formed","no_role","high",False
17316,"In Studio 2, we could custom color the area where line numbers and folding markers site see image . We seem to have lost this ability in Studio 3.",NULL,"In Studio 2, we could custom color the area where line numbers and folding markers site see image . We seem to have lost this ability in Studio 3.",NULL,"In Studio 2, we could custom color the area where line numbers and folding markers site see image <span class='highlight-text severity-high'>. We seem to have lost this ability in Studio 3.</span>","minimal","punctuation","high",False
17316,"In Studio 2, we could custom color the area where line numbers and folding markers site see image . We seem to have lost this ability in Studio 3.",NULL,"In Studio 2, we could custom color the area where line numbers and folding markers site see image . We seem to have lost this ability in Studio 3.",NULL,"Add for who this story is","well_formed","no_role","high",False
17306,"When sharing a local project with a new Github repo, a user is instructed to do the following git remote add origin git github.com username project.git git push u origin master The first one can be done inside studio with Add remote but not the second one, where the user is forced into the terminal. Chris suggested a Push new Branch to Remote menu option to help with this step.",NULL,"When sharing a local project with a new Github repo, a user is instructed to do the following git remote add origin git github.com username project.git git push u origin master The first one can be done inside studio with Add remote but not the second one, where the user is forced into the terminal. Chris suggested a Push new Branch to Remote menu option to help with this step.",NULL,"When sharing a local project with a new Github repo, a user is instructed to do the following git remote add origin git github<span class='highlight-text severity-high'>.com username project.git git push u origin master The first one can be done inside studio with Add remote but not the second one, where the user is forced into the terminal. Chris suggested a Push new Branch to Remote menu option to help with this step.</span>","minimal","punctuation","high",False
17306,"When sharing a local project with a new Github repo, a user is instructed to do the following git remote add origin git github.com username project.git git push u origin master The first one can be done inside studio with Add remote but not the second one, where the user is forced into the terminal. Chris suggested a Push new Branch to Remote menu option to help with this step.",NULL,"When sharing a local project with a new Github repo, a user is instructed to do the following git remote add origin git github.com username project.git git push u origin master The first one can be done inside studio with Add remote but not the second one, where the user is forced into the terminal. Chris suggested a Push new Branch to Remote menu option to help with this step.",NULL,"Add for who this story is","well_formed","no_role","high",False
17307,"Currently, when adding a remote, we default to git github.com username project.git, which is read only Suggest instead we default to git github.com username project.git, which is read write Alternately, we might ask the user if they are a contributor to the project, or just an observer, and perhaps offer a switch betwen the two optons",NULL,"Currently, when adding a remote, we default to git github.com username project.git, which is read only Suggest instead we default to git github.com username project.git, which is read write Alternately, we might ask the user if they are a contributor to the project, or just an observer, and perhaps offer a switch betwen the two optons",NULL,"Currently, when adding a remote, we default to git github.com username project.git, which is read only Suggest instead we default to git github.com username project.git, which is read write Alternately, we might ask the user if they are a contributor to the project,<span class='highlight-text severity-high'> or </span>just an observer,<span class='highlight-text severity-high'> and </span>perhaps offer a switch betwen the two optons","atomic","conjunctions","high",False
17307,"Currently, when adding a remote, we default to git github.com username project.git, which is read only Suggest instead we default to git github.com username project.git, which is read write Alternately, we might ask the user if they are a contributor to the project, or just an observer, and perhaps offer a switch betwen the two optons",NULL,"Currently, when adding a remote, we default to git github.com username project.git, which is read only Suggest instead we default to git github.com username project.git, which is read write Alternately, we might ask the user if they are a contributor to the project, or just an observer, and perhaps offer a switch betwen the two optons",NULL,"Add for who this story is","well_formed","no_role","high",False
