"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
23672,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.",NULL,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story","so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.","Use the most common template: I want to, So that","uniform","uniform","medium",False
23672,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.",NULL,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story","so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.","search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story<span class='highlight-text severity-high'> so </span>we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story<span class='highlight-text severity-high'> so </span>we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story<span class='highlight-text severity-high'> so </span>we don apos;t forget.","minimal","indicator_repetition","high",False
23672,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.",NULL,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story","so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.","search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API<span class='highlight-text severity-high'>. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.</span>","minimal","punctuation","high",False
23672,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.",NULL,"search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility search api GetSearchResults backwards compatibility It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story","so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget. It appears that older APIs few others in same class are not brought forward to use new Search API. We need to work with PM to first find out if this is needed or not. Ash is writing this story so we don apos;t forget.","Add for who this story is","well_formed","no_role","high",False
23670,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke<span class='highlight-text severity-high'>.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests</span>","minimal","punctuation","high",False
23670,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview<span class='highlight-text severity-high'> and </span>Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests","atomic","conjunctions","high",False
23670,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"search unit test web api search unit test web api search unit test web api search unit test web api search unit test web api The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests The Preview and Detailed Search methods in DotnetNuke.web has good business logic to group results. They should be protected using unit tests",NULL,"Add for who this story is","well_formed","no_role","high",False
23671,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized<span class='highlight-text severity-high'>. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.</span>","minimal","punctuation","high",False
23671,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized<span class='highlight-text severity-high'> and </span>perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.","atomic","conjunctions","high",False
23671,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"search Localization New Search APIs Exception search Localization New Search APIs Exception None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests. None of the exceptions thrown by new Search APIs exceptions are localized. They must be localized and perhaps checked through unit tests.",NULL,"Add for who this story is","well_formed","no_role","high",False
