"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
19980,"As a developer I want the ability to specify the dimensions by which I want uploaded images to be cropped. ","As a developer","I want the ability to specify the dimensions by which I want uploaded images to be cropped.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
19980,"As a developer I want the ability to specify the dimensions by which I want uploaded images to be cropped. ","As a developer","I want the ability to specify the dimensions by which I want uploaded images to be cropped.",NULL,"As a developer<span class='highlight-text severity-high'> I want </span>the ability to specify the dimensions by which<span class='highlight-text severity-high'> I want </span>uploaded images to be cropped. ","minimal","indicator_repetition","high",False
19981,"As a developer I want the ability to specify that the image tray remains open. ","As a developer","I want the ability to specify that the image tray remains open.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
19802,"There are a couple of small changes that the Usage Details report in the extensions module could make to make its user experience smoother.",NULL,"There are a couple of small changes that the Usage Details report in the extensions module could make to make its user experience smoother.",NULL,"Add for who this story is","well_formed","no_role","high",False
19803,"Install an authentication handler similar to Basic and Digest Auth Handlers basen on the JTW standard ",NULL,"Install an authentication handler similar to Basic and Digest Auth Handlers basen on the JTW standard ",NULL,"Add for who this story is","well_formed","no_role","high",False
19983,"As a developer I want the ability to specify that only certain file type are acceptable. ","As a developer","I want the ability to specify that only certain file type are acceptable.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
19985,"As a developer I want the ability to specify one method of upload either web or browse ","As a developer","I want the ability to specify one method of upload either web or browse",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
19985,"As a developer I want the ability to specify one method of upload either web or browse ","As a developer","I want the ability to specify one method of upload either web or browse",NULL,"As a developer I want the ability to specify one method of upload either web<span class='highlight-text severity-high'> or </span>browse ","atomic","conjunctions","high",False
19986,"As a user that has uploaded an image and applied some change I would like the ability to undo that change. ","As a user","that has uploaded an image and applied some change I would like the ability to undo that change.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
19986,"As a user that has uploaded an image and applied some change I would like the ability to undo that change. ","As a user","that has uploaded an image and applied some change I would like the ability to undo that change.",NULL,"As a user that has uploaded an image<span class='highlight-text severity-high'> and </span>applied some change I would like the ability to undo that change. ","atomic","conjunctions","high",False
19994,"As a user I want to be able to see what errors occur during the upload process and be able to take action on them at that time. ","As a user","I want to be able to see what errors occur during the upload process and be able to take action on them at that time.",NULL,"As a user I want to be able to see what errors occur during the upload process<span class='highlight-text severity-high'> and </span>be able to take action on them at that time. ","atomic","conjunctions","high",False
20086,"View and Search Data Type list",NULL,"View and Search Data Type list",NULL,"Add for who this story is","well_formed","no_role","high",False
20085,"Add a Data Type",NULL,"Add a Data Type",NULL,"Add for who this story is","well_formed","no_role","high",False
20087,"Edit a Content Field for a Content Type",NULL,"Edit a Content Field for a Content Type",NULL,"Add for who this story is","well_formed","no_role","high",False
20083,"View and Search Template list",NULL,"View and Search Template list",NULL,"Add for who this story is","well_formed","no_role","high",False
20089,"Edit a Content Type",NULL,"Edit a Content Type",NULL,"Add for who this story is","well_formed","no_role","high",False
20090,"Create a new Content Type",NULL,"Create a new Content Type",NULL,"Add for who this story is","well_formed","no_role","high",False
20092,"Create Dynamic Content Administrator Module Shell",NULL,"Create Dynamic Content Administrator Module Shell",NULL,"Add for who this story is","well_formed","no_role","high",False
20094,"Allow developers to create Settings view for SPA Module",NULL,"Allow developers to create Settings view for SPA Module",NULL,"Add for who this story is","well_formed","no_role","high",False
20095,"Allow developers to create Settings view for MVC Module",NULL,"Allow developers to create Settings view for MVC Module",NULL,"Add for who this story is","well_formed","no_role","high",False
20096,"Add Anti forgery token support to SPA Module",NULL,"Add Anti forgery token support to SPA Module",NULL,"Add for who this story is","well_formed","no_role","high",False
20097,"Add Anti forgery token support to MVC Module",NULL,"Add Anti forgery token support to MVC Module",NULL,"Add for who this story is","well_formed","no_role","high",False
20098,"BLOCKED Implement OAuth 2.0 Authorization Code Grant flow",NULL,"BLOCKED Implement OAuth 2.0 Authorization Code Grant flow",NULL,"Add for who this story is","well_formed","no_role","high",False
20099,"BLOCKED Implement OAuth 2.0 Implicit Grant Flow",NULL,"BLOCKED Implement OAuth 2.0 Implicit Grant Flow",NULL,"Add for who this story is","well_formed","no_role","high",False
20101,"Allow developers to manage DCC DataTypes",NULL,"Allow developers to manage DCC DataTypes",NULL,"Add for who this story is","well_formed","no_role","high",False
20104,"BLOCKED Allow user to create AppID App Secret",NULL,"BLOCKED Allow user to create AppID App Secret",NULL,"Add for who this story is","well_formed","no_role","high",False
20103,"verify that attribute routing works",NULL,"verify that attribute routing works",NULL,"Add for who this story is","well_formed","no_role","high",False
20106,"Create custom Dnn HandleError Attribute",NULL,"Create custom Dnn HandleError Attribute",NULL,"Add for who this story is","well_formed","no_role","high",False
20105,"Blocked Create HMAC Authentication Attribute",NULL,"Blocked Create HMAC Authentication Attribute",NULL,"Add for who this story is","well_formed","no_role","high",False
20107,"Add support for Url Helpers",NULL,"Add support for Url Helpers",NULL,"Add for who this story is","well_formed","no_role","high",False
20110,"Upgrade DNN to .Net 4.5",NULL,"Upgrade DNN to .Net 4.5",NULL,"Add for who this story is","well_formed","no_role","high",False
20109,"Upgrade Web Service Framework to support WebAPI 2.0",NULL,"Upgrade Web Service Framework to support WebAPI 2.0",NULL,"Add for who this story is","well_formed","no_role","high",False
20111,"SPIKE Investigate HMAC based authorization for Web Services ",NULL,"SPIKE Investigate HMAC based authorization for Web Services ",NULL,"Add for who this story is","well_formed","no_role","high",False
20113,"Create custom CSS HTML tokens",NULL,"Create custom CSS HTML tokens",NULL,"Add for who this story is","well_formed","no_role","high",False
20112,"SPIKE Research ASP.Net Identity",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20112,"SPIKE Research ASP.Net Identity",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20114,"Create custom JavaScript HTML tokens",NULL,"Create custom JavaScript HTML tokens",NULL,"Add for who this story is","well_formed","no_role","high",False
20116,"Support standard HTML helpers within Views",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20116,"Support standard HTML helpers within Views",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20119,"Extract Site Wizard into a separate Module",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20119,"Extract Site Wizard into a separate Module",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20117,"Define MVC Module Actions",NULL,"Define MVC Module Actions",NULL,"Add for who this story is","well_formed","no_role","high",False
20128,"EVOQCONTENT Add Page missing events in Platform",NULL,"EVOQCONTENT Add Page missing events in Platform",NULL,"Add for who this story is","well_formed","no_role","high",False
20129,"Add Missing Events in Platform",NULL,"Add Missing Events in Platform",NULL,"Add for who this story is","well_formed","no_role","high",False
20130,"Add Events in Platform for Mechanics ",NULL,"Add Events in Platform for Mechanics ",NULL,"Add for who this story is","well_formed","no_role","high",False
20132,"Permissions Grid Performance Improvements",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20132,"Permissions Grid Performance Improvements",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20133,"Improve Basic Page Performance 4",NULL,"Improve Basic Page Performance 4",NULL,"Add for who this story is","well_formed","no_role","high",False
20134,"Relocate Schedule Options from Host Settings",NULL,"Relocate Schedule Options from Host Settings",NULL,"Add for who this story is","well_formed","no_role","high",False
20122,"Extract the Page Manager into a separate module",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20122,"Extract the Page Manager into a separate module",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20120,"Extract Site Log into a separate module",NULL,"Extract Site Log into a separate module",NULL,"Add for who this story is","well_formed","no_role","high",False
20123,"Extract List Editor into separate module",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20123,"Extract List Editor into separate module",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20124,"Extract Google Analytics into a separate module",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20124,"Extract Google Analytics into a separate module",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20125,"Extract Event Viewer into a separate project",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20125,"Extract Event Viewer into a separate project",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20126,"Integration of a flexible imagehandler ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20126,"Integration of a flexible imagehandler ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20127,"Extract Newsletter Module into a separate project",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
20127,"Extract Newsletter Module into a separate project",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
20136,"Stop a Scheduled Job",NULL,"Stop a Scheduled Job",NULL,"Add for who this story is","well_formed","no_role","high",False
20137,"Scheduled Job Next Start Creep ",NULL,"Scheduled Job Next Start Creep ",NULL,"Add for who this story is","well_formed","no_role","high",False
20138,"Delay Schedule Start After Site Restart",NULL,"Delay Schedule Start After Site Restart",NULL,"Add for who this story is","well_formed","no_role","high",False
20139,"Scheduled Job Server Specification",NULL,"Scheduled Job Server Specification",NULL,"Add for who this story is","well_formed","no_role","high",False
20140,"Ability to Specify Server when Creating a New Job",NULL,"Ability to Specify Server when Creating a New Job",NULL,"Add for who this story is","well_formed","no_role","high",False
20141,"Recurring and Retry Frequency",NULL,"Recurring and Retry Frequency",NULL,"Recurring<span class='highlight-text severity-high'> and </span>Retry Frequency","atomic","conjunctions","high",False
20141,"Recurring and Retry Frequency",NULL,"Recurring and Retry Frequency",NULL,"Add for who this story is","well_formed","no_role","high",False
20135,"Schedule Job Progress API Method",NULL,"Schedule Job Progress API Method",NULL,"Add for who this story is","well_formed","no_role","high",False
20145,"File Picker Improvements update locations",NULL,"File Picker Improvements update locations",NULL,"Add for who this story is","well_formed","no_role","high",False
20143,"Managing Scheduled Jobs should not require an App Restart",NULL,"Managing Scheduled Jobs should not require an App Restart",NULL,"Add for who this story is","well_formed","no_role","high",False
20146,"File Picker Improvements enhanced file folder dropdown support.",NULL,"File Picker Improvements enhanced file folder dropdown support.",NULL,"Add for who this story is","well_formed","no_role","high",False
20149,"Improve Edit Page Performance",NULL,"Improve Edit Page Performance",NULL,"Add for who this story is","well_formed","no_role","high",False
20148,"Improve Edit Module Settings Scenario",NULL,"Improve Edit Module Settings Scenario",NULL,"Add for who this story is","well_formed","no_role","high",False
