"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
27639,"Currently, the C library sends different messages to Master instead of a single Call message. To vet the new Call API it should send Call messages. Master should be updated to handle all types of Calls.",NULL,"Currently, the C library sends different messages to Master instead of a single Call message. To vet the new Call API it should send Call messages. Master should be updated to handle all types of Calls.",NULL,"Add for who this story is","well_formed","no_role","high",False
27639,"Currently, the C library sends different messages to Master instead of a single Call message. To vet the new Call API it should send Call messages. Master should be updated to handle all types of Calls.",NULL,"Currently, the C library sends different messages to Master instead of a single Call message. To vet the new Call API it should send Call messages. Master should be updated to handle all types of Calls.",NULL,"Currently, the C library sends different messages to Master instead of a single Call message<span class='highlight-text severity-high'>. To vet the new Call API it should send Call messages. Master should be updated to handle all types of Calls.</span>","minimal","punctuation","high",False
27629,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Add for who this story is","well_formed","no_role","high",False
27629,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks<span class='highlight-text severity-high'> and </span>proposes an MVP solution and implementation approach.","atomic","conjunctions","high",False
27635,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","Add for who this story is","well_formed","no_role","high",False
27635,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","This is a simple test story to try out the new workflow. Unfortunately, testing<span class='highlight-text severity-high'> and </span>getting it to work seems to be something that actually does take up time, so I m tracking this here.","atomic","conjunctions","high",False
27635,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","This is a simple test story to try out the new workflow<span class='highlight-text severity-high'>. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.</span>","minimal","punctuation","high",False
27635,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","Use the most common template: As a, I want, So","uniform","uniform","medium",False
27633,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new semantics, as described in MESOS 3142.",NULL,"Add for who this story is","well_formed","no_role","high",False
27633,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too<span class='highlight-text severity-high'>. This is probably best done once we implement the new semantics, as described in MESOS 3142.</span>","minimal","punctuation","high",False
