"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17197,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","This is a simple test story to try out the new workflow<span class='highlight-text severity-high'>. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.</span>","minimal","punctuation","high",False
17197,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","Use the most common template: So","uniform","uniform","medium",False
17196,"Following from MESOS 2340, which now allows Master to correctly decode JSON information MasterInfo published to Zookeeper, we can now enable the Master Leader Contender to serialize it too in JSON.",NULL,"Following from MESOS 2340, which now allows Master to correctly decode JSON information MasterInfo published to Zookeeper, we can now enable the Master Leader Contender to serialize it too in JSON.",NULL,"Add for who this story is","well_formed","no_role","high",False
17199,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all . In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.",NULL,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all .","In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.","Add for who this story is","well_formed","no_role","high",False
17199,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all . In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.",NULL,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all .","In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.","The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all <span class='highlight-text severity-high'>. In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.</span>","minimal","punctuation","high",False
17199,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all . In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.",NULL,"The information exposed by the Framework via the WebUIUrl does not always resolves to a routable endpoint eg, when the hostname is not publicly resolvable, or resolvable at all .","In order to facilitate service discovery via, eg, Marathon UI we want to add the information in FrameworksPid via the state summary endpoint.","Use the most common template: So","uniform","uniform","medium",False
17191,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Add for who this story is","well_formed","no_role","high",False
17191,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks and proposes an MVP solution and implementation approach.",NULL,"Create a document that describes the problems with having only single role frameworks<span class='highlight-text severity-high'> and </span>proposes an MVP solution and implementation approach.","atomic","conjunctions","high",False
17193,"With the new JSON MasterInfo published to ZK, we want to provide a simple library class for Java Framework developers to retrieve info about the masters and the leader.",NULL,"With the new JSON MasterInfo published to ZK, we want to provide a simple library class for Java Framework developers to retrieve info about the masters and the leader.",NULL,"Add for who this story is","well_formed","no_role","high",False
17194,"With the new JSON MasterInfo published to ZK, we want to provide a simple library class for Python developers to retrieve info about the masters and the leader.",NULL,"With the new JSON MasterInfo published to ZK, we want to provide a simple library class for Python developers to retrieve info about the masters and the leader.",NULL,"Add for who this story is","well_formed","no_role","high",False
17195,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new os shell semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new os shell semantics, as described in MESOS 3142.",NULL,"Add for who this story is","well_formed","no_role","high",False
17195,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new os shell semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too. This is probably best done once we implement the new os shell semantics, as described in MESOS 3142.",NULL,"Following from MESOS 2902 we want to enable the same functionality in the Mesos Agents too<span class='highlight-text severity-high'>. This is probably best done once we implement the new os shell semantics, as described in MESOS 3142.</span>","minimal","punctuation","high",False
17197,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","Add for who this story is","well_formed","no_role","high",False
17197,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be something that actually does take up time, so I m tracking this here.",NULL,"This is a simple test story to try out the new workflow. Unfortunately, testing and getting it to work seems to be","something that actually does take up time, so I m tracking this here.","This is a simple test story to try out the new workflow. Unfortunately, testing<span class='highlight-text severity-high'> and </span>getting it to work seems to be something that actually does take up time, so I m tracking this here.","atomic","conjunctions","high",False
