"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
24061,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Add for who this story is","well_formed","no_role","high",False
24061,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place<span class='highlight-text severity-high'> and </span>used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration","atomic","conjunctions","high",False
24061,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration",NULL,"Remove legacy Crowd modello configuration Crowd configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from crowd plugin<span class='highlight-text severity-high'>.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration</span>","minimal","punctuation","high",False
24071,"Finish conversion to NX.I18n string A few places still not using NX.I18n. Review all usage of NX.Messages API Review all usage of NX.Dialogs API Review all usage of NX.Security API Review all usage of waitMsg specifications Classes in Classes in Pending further investigation fore coreui and proui modules. ",NULL,"Finish conversion to NX.I18n string A few places still not using NX.I18n. Review all usage of NX.Messages API Review all usage of NX.Dialogs API Review all usage of NX.Security API Review all usage of waitMsg specifications Classes in Classes in Pending further investigation fore coreui and proui modules. ",NULL,"Add for who this story is","well_formed","no_role","high",False
24071,"Finish conversion to NX.I18n string A few places still not using NX.I18n. Review all usage of NX.Messages API Review all usage of NX.Dialogs API Review all usage of NX.Security API Review all usage of waitMsg specifications Classes in Classes in Pending further investigation fore coreui and proui modules. ",NULL,"Finish conversion to NX.I18n string A few places still not using NX.I18n. Review all usage of NX.Messages API Review all usage of NX.Dialogs API Review all usage of NX.Security API Review all usage of waitMsg specifications Classes in Classes in Pending further investigation fore coreui and proui modules. ",NULL,"Finish conversion to NX<span class='highlight-text severity-high'>.I18n string A few places still not using NX.I18n. Review all usage of NX.Messages API Review all usage of NX.Dialogs API Review all usage of NX.Security API Review all usage of waitMsg specifications Classes in Classes in Pending further investigation fore coreui and proui modules. </span>","minimal","punctuation","high",False
24049,"Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done.",NULL,"Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done.",NULL,"Add for who this story is","well_formed","no_role","high",False
24049,"Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done.",NULL,"Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done.",NULL,"Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus Officially support Java 8 as runtime for Nexus We are currently unofficially supporting Java 8 we would like to officially support it<span class='highlight-text severity-high'>. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done. We are currently unofficially supporting Java 8 we would like to officially support it. The only way to do that is run all Nexus tests using CI Java 8 on release branches. This task is about setting this up permanently. In addition any further work required to officially support Java 8 should be done.</span>","minimal","punctuation","high",False
24062,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Add for who this story is","well_formed","no_role","high",False
24062,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place<span class='highlight-text severity-high'> and </span>used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml","atomic","conjunctions","high",False
24062,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Remove legacy PGP modello configuration PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp<span class='highlight-text severity-high'>.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml</span>","minimal","punctuation","high",False
