"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
27617,"Implement Raw Format For Hosted Under New CMA Architecture",NULL,"Implement Raw Format For Hosted Under New CMA Architecture",NULL,"Add for who this story is","well_formed","no_role","high",False
27620,"Remove legacy PGP modello configuration",NULL,"Remove legacy PGP modello configuration",NULL,"Add for who this story is","well_formed","no_role","high",False
27619,"Remove legacy Staging modello configuration",NULL,"Remove legacy Staging modello configuration",NULL,"Add for who this story is","well_formed","no_role","high",False
27621,"Remove legacy Crowd modello configuration",NULL,"Remove legacy Crowd modello configuration",NULL,"Add for who this story is","well_formed","no_role","high",False
27625,"add support for npm deprecate",NULL,"add support for npm deprecate",NULL,"Add for who this story is","well_formed","no_role","high",False
27628,"Officially support Java 8 as runtime for Nexus",NULL,"Officially support Java 8 as runtime for Nexus",NULL,"Add for who this story is","well_formed","no_role","high",False
27618,"Upgrade to Jetty 9.2.x",NULL,"Upgrade to Jetty 9.2.x",NULL,"Add for who this story is","well_formed","no_role","high",False
27627,"Configurable HTTP pools for Component Sources",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27627,"Configurable HTTP pools for Component Sources",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27626,"CMA component administration UI",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27626,"CMA component administration UI",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27622,"Content for proxy repositories",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27622,"Content for proxy repositories",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27623,"NuGet Component Metadata Asset Storage",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27623,"NuGet Component Metadata Asset Storage",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27624,"View content storage policy",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
27624,"View content storage policy",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
27586,"I recently created new advice for using SSL with Docker. Now we need to rewrite the book section ",NULL,"I recently created new advice for using SSL with Docker. Now we need to rewrite the book section ",NULL,"Add for who this story is","well_formed","no_role","high",False
27586,"I recently created new advice for using SSL with Docker. Now we need to rewrite the book section ",NULL,"I recently created new advice for using SSL with Docker. Now we need to rewrite the book section ",NULL,"I recently created new advice for using SSL with Docker<span class='highlight-text severity-high'>. Now we need to rewrite the book section </span>","minimal","punctuation","high",False
27587,"Added updated subsections to LDAP connection and auth, user group mapping a link to external role mapping",NULL,"Added updated subsections to LDAP connection and auth, user group mapping a link to external role mapping",NULL,"Add for who this story is","well_formed","no_role","high",False
27587,"Added updated subsections to LDAP connection and auth, user group mapping a link to external role mapping",NULL,"Added updated subsections to LDAP connection and auth, user group mapping a link to external role mapping",NULL,"Added updated subsections to LDAP connection<span class='highlight-text severity-high'> and </span>auth, user group mapping a link to external role mapping","atomic","conjunctions","high",False
27588,"In order to rebuild metadata from blobs or other disaster recovery type work , we need a way of the blobs in a blob store.",NULL,"In order to rebuild metadata from blobs or other disaster recovery type work , we need a way of the blobs in a blob store.",NULL,"Add for who this story is","well_formed","no_role","high",False
27588,"In order to rebuild metadata from blobs or other disaster recovery type work , we need a way of the blobs in a blob store.",NULL,"In order to rebuild metadata from blobs or other disaster recovery type work , we need a way of the blobs in a blob store.",NULL,"In order to rebuild metadata from blobs<span class='highlight-text severity-high'> or </span>other disaster recovery type work , we need a way of the blobs in a blob store.","atomic","conjunctions","high",False
27591,"Following the pattern established by the Simple repository format, add permissions and to the raw repositories.",NULL,"Following the pattern established by the Simple repository format, add permissions and to the raw repositories.",NULL,"Add for who this story is","well_formed","no_role","high",False
27594,"Implement a simple bucket of files that allows for any file to be shared, so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for to be shared. ",NULL,"Implement a simple bucket of files that allows for any file to be shared,","so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for to be shared.","Add for who this story is","well_formed","no_role","high",False
