"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17173,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet<span class='highlight-text severity-high'>. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.</span>","minimal","punctuation","high",False
17183,"Placeholder story. Determine when cached components should be deleted seems likely in response to the originating Source being deleted . Consider soft deletion of the source, the component metadata, the blobs.",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
17183,"Placeholder story. Determine when cached components should be deleted seems likely in response to the originating Source being deleted . Consider soft deletion of the source, the component metadata, the blobs.",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
17183,"Placeholder story. Determine when cached components should be deleted seems likely in response to the originating Source being deleted . Consider soft deletion of the source, the component metadata, the blobs.",NULL,NULL,NULL,"Placeholder story<span class='highlight-text severity-high'>. Determine when cached components should be deleted seems likely in response to the originating Source being deleted . Consider soft deletion of the source, the component metadata, the blobs.</span>","minimal","punctuation","high",False
17179,"Replace modello based Kenai configuration with a capability",NULL,"Replace modello based Kenai configuration with a capability",NULL,"Add for who this story is","well_formed","no_role","high",False
17177,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"Add for who this story is","well_formed","no_role","high",False
17177,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"PGP configuration has already been moved to a capability but old modello based config classes are still in place<span class='highlight-text severity-high'> and </span>used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml","atomic","conjunctions","high",False
17171,"Following the pattern established by the Simple repository format, add permissions and permission checking to the raw repositories.",NULL,"Following the pattern established by the Simple repository format, add permissions and permission checking to the raw repositories.",NULL,"Add for who this story is","well_formed","no_role","high",False
17174,"Implement a simple bucket of files that allows for any file to be shared, so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared. ",NULL,"Implement a simple bucket of files that allows for any file to be shared,","so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared.","Add for who this story is","well_formed","no_role","high",False
17174,"Implement a simple bucket of files that allows for any file to be shared, so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared. ",NULL,"Implement a simple bucket of files that allows for any file to be shared,","so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared.","Implement a simple bucket of files that allows for any file to be shared, so that they appear to be a repository while preserving the path<span class='highlight-text severity-high'>. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared. </span>","minimal","punctuation","high",False
17174,"Implement a simple bucket of files that allows for any file to be shared, so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared. ",NULL,"Implement a simple bucket of files that allows for any file to be shared,","so that they appear to be a repository while preserving the path. This is the simplest of the repo formats in Nexus. Equivalant of Site Repository from Nexus 2. We did this because Maven uploaded files such as HTML to describe your repo. This allows for documentation etc... to be shared.","Use the most common template: So that","uniform","uniform","medium",False
17175,"Implement settings UI for Kenai similar to Crowd UI ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
17175,"Implement settings UI for Kenai similar to Crowd UI ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
17172,"Update to more recent Groovy version. Groovy 2.3.7 appears to be the latest available version with a corresponding groovy eclipse compiler, with 2.3.9 being the last release published at this time. Java 8 interoperability is only official since 2.3.x so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7",NULL,NULL,"so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7","Add what you want to achieve","well_formed","no_means","high",False
17172,"Update to more recent Groovy version. Groovy 2.3.7 appears to be the latest available version with a corresponding groovy eclipse compiler, with 2.3.9 being the last release published at this time. Java 8 interoperability is only official since 2.3.x so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7",NULL,NULL,"so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7","Add for who this story is","well_formed","no_role","high",False
17172,"Update to more recent Groovy version. Groovy 2.3.7 appears to be the latest available version with a corresponding groovy eclipse compiler, with 2.3.9 being the last release published at this time. Java 8 interoperability is only official since 2.3.x so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7",NULL,NULL,"so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7","Update to more recent Groovy version<span class='highlight-text severity-high'>. Groovy 2.3.7 appears to be the latest available version with a corresponding groovy eclipse compiler, with 2.3.9 being the last release published at this time. Java 8 interoperability is only official since 2.3.x so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7</span>","minimal","punctuation","high",False
17172,"Update to more recent Groovy version. Groovy 2.3.7 appears to be the latest available version with a corresponding groovy eclipse compiler, with 2.3.9 being the last release published at this time. Java 8 interoperability is only official since 2.3.x so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7",NULL,NULL,"so hopefully this will head off any compatibility issues Acceptance Criteria Nexus 3 OSS and Pro will use Groovy 2.3.7","Use the most common template: So that","uniform","uniform","medium",False
17173,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Add for who this story is","well_formed","no_role","high",False
17173,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Implement a repository which proxies a remote HTTP site and stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.",NULL,"Implement a repository which proxies a remote HTTP site<span class='highlight-text severity-high'> and </span>stores any files of any format in the CMA repository storage facet. Only GET requests are honored others are rejected . Configuration parameters include the remote URL being proxied, the not found and stored item expiry times. This will serve as a reference implementation for more complex formats proxy repositories.","atomic","conjunctions","high",False
17177,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml",NULL,"PGP configuration has already been moved to a capability but old modello based config classes are still in place and used to upgrade from pgp<span class='highlight-text severity-high'>.xml. Lets remove the modello classes and take care of upgrade during NX2 NX3 migration Note Removing modello will mean that a bunch of staging pgp legacy ITs will have to be rewritten as they are copying over a pgp.xml</span>","minimal","punctuation","high",False
