"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
24288,"BlackBerry Implement important functionality BlackBerry Implement important functionality Need to implement at least Need to implement at least ",NULL,"BlackBerry Implement important functionality BlackBerry Implement important functionality Need to implement at least Need to implement at least ",NULL,"Add for who this story is","well_formed","no_role","high",False
24290,"BlackBerry Implement important Titanium.Platform functionality BlackBerry Implement important Titanium.Platform functionality Implement at least Implement at least ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
24290,"BlackBerry Implement important Titanium.Platform functionality BlackBerry Implement important Titanium.Platform functionality Implement at least Implement at least ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
24291,"BlackBerry Implement important Titanium.App functionality BlackBerry Implement important Titanium.App functionality Implement at least Titanium.App.guid Titanium.App.id Implement at least Titanium.App.guid Titanium.App.id",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
24291,"BlackBerry Implement important Titanium.App functionality BlackBerry Implement important Titanium.App functionality Implement at least Titanium.App.guid Titanium.App.id Implement at least Titanium.App.guid Titanium.App.id",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
24247,"BlackBerry Sync with Appcelerator branch ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
24247,"BlackBerry Sync with Appcelerator branch ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
24362,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it, so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check ",NULL,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it,","so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check","Use the most common template: As a, I want, So","uniform","uniform","medium",False
24362,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it, so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check ",NULL,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it,","so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check","Windows Windows 10 support for cmake Latest cmake 3<span class='highlight-text severity-high'>.3.2 doesn t support . Seems like latest MS version of cmake does support it, so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check </span>","minimal","punctuation","high",False
24362,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it, so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check ",NULL,"Windows Windows 10 support for cmake Latest cmake 3.3.2 doesn t support . Seems like latest MS version of cmake does support it,","so we need to build get the binary and update our cmake. time cmake G Visual Studio 14 2015 Re run cmake no build system arguments CMake Error at CMakeLists.txt 17 project Visual Studio 14 2015 supports Windows Store 8.0 and 8.1 , but not 10.0 . Check","Add for who this story is","well_formed","no_role","high",False
