"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
28152,"Windows Reduce memory consumption at TitaniumKit startup",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
28152,"Windows Reduce memory consumption at TitaniumKit startup",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
28154,"Windows Investigate crash dump analysis library",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
28154,"Windows Investigate crash dump analysis library",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
28155,"Windows Use of Thread Local Storage TLS for Windows 10",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
28155,"Windows Use of Thread Local Storage TLS for Windows 10",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
28156,"Android Camera.open can throw a RuntimeException.",NULL,"Android Camera.open can throw a RuntimeException.",NULL,"Add for who this story is","well_formed","no_role","high",False
28157,"Windows Enable SAFESEH for Windows 10 x86 build",NULL,"Windows Enable SAFESEH for Windows 10 x86 build",NULL,"Add for who this story is","well_formed","no_role","high",False
28159,"Windows Investigate UI for Tab Group in Windows 10",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
28159,"Windows Investigate UI for Tab Group in Windows 10",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
28158,"Windows Documention on custom capabilities",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
28158,"Windows Documention on custom capabilities",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
28237,"Remove developer warnings from build scripts",NULL,"Remove developer warnings from build scripts",NULL,"Add for who this story is","well_formed","no_role","high",False
28249,"Windows Create WP81 Unit and Performance Tests",NULL,"Windows Create WP81 Unit and Performance Tests",NULL,"Add for who this story is","well_formed","no_role","high",False
28040,"Create a default project structure for a Windows native module. This will be used as the base for any new native Windows modules.",NULL,"Create a default project structure for a Windows native module. This will be used as the base for any new native Windows modules.",NULL,"Create a default project structure for a Windows native module<span class='highlight-text severity-high'>. This will be used as the base for any new native Windows modules.</span>","minimal","punctuation","high",False
28040,"Create a default project structure for a Windows native module. This will be used as the base for any new native Windows modules.",NULL,"Create a default project structure for a Windows native module. This will be used as the base for any new native Windows modules.",NULL,"Add for who this story is","well_formed","no_role","high",False
