"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17452,"In 3.2.0 we deprecated FastDev. In 3.3.0, we need to remove the code altogether. For now, if you wish to use it, you still can from the command line following the instructions in http docs.appcelerator.com titanium latest ! guide Fastdev Reference for Android.",NULL,"In 3.2.0 we deprecated FastDev. In 3.3.0, we need to remove the code altogether. For now, if you wish to use it, you still can from the command line following the instructions in http docs.appcelerator.com titanium latest ! guide Fastdev Reference for Android.",NULL,"In 3<span class='highlight-text severity-high'>.2.0 we deprecated FastDev. In 3.3.0, we need to remove the code altogether. For now, if you wish to use it, you still can from the command line following the instructions in http docs.appcelerator.com titanium latest ! guide Fastdev Reference for Android.</span>","minimal","punctuation","high",False
17452,"In 3.2.0 we deprecated FastDev. In 3.3.0, we need to remove the code altogether. For now, if you wish to use it, you still can from the command line following the instructions in http docs.appcelerator.com titanium latest ! guide Fastdev Reference for Android.",NULL,"In 3.2.0 we deprecated FastDev. In 3.3.0, we need to remove the code altogether. For now, if you wish to use it, you still can from the command line following the instructions in http docs.appcelerator.com titanium latest ! guide Fastdev Reference for Android.",NULL,"Add for who this story is","well_formed","no_role","high",False
17373,"Hello, Ti.barcode stopped to work in IOS8 after adding 64 bit support in our App. Can you please see if we are missing something in integration? Thank you.",NULL,"Hello, Ti.barcode stopped to work in IOS8 after adding 64 bit support in our App. Can you please see if we are missing something in integration? Thank you.",NULL,"Hello, Ti<span class='highlight-text severity-high'>.barcode stopped to work in IOS8 after adding 64 bit support in our App. Can you please see if we are missing something in integration? Thank you.</span>","minimal","punctuation","high",False
17373,"Hello, Ti.barcode stopped to work in IOS8 after adding 64 bit support in our App. Can you please see if we are missing something in integration? Thank you.",NULL,"Hello, Ti.barcode stopped to work in IOS8 after adding 64 bit support in our App. Can you please see if we are missing something in integration? Thank you.",NULL,"Add for who this story is","well_formed","no_role","high",False
17400,"http docs.appcelerator.com platform latest ! api Titanium.UI.Picker http docs.appcelerator.com platform latest ! api Titanium.UI.PickerColumn http docs.appcelerator.com platform latest ! api Titanium.UI.PickerRow",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
17400,"http docs.appcelerator.com platform latest ! api Titanium.UI.Picker http docs.appcelerator.com platform latest ! api Titanium.UI.PickerColumn http docs.appcelerator.com platform latest ! api Titanium.UI.PickerRow",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
17401,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Our current port of Webkit JSC is roughly 2 years old<span class='highlight-text severity-high'>. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.</span>","minimal","punctuation","high",False
17401,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Our current port of Webkit JSC is roughly 2 years old. We should try<span class='highlight-text severity-high'> and </span>bring it up to date to get perf improvements, get more ES6 features, Promise, etc.","atomic","conjunctions","high",False
17401,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Our current port of Webkit JSC is roughly 2 years old. We should try and bring it up to date to get perf improvements, get more ES6 features, Promise, etc.",NULL,"Add for who this story is","well_formed","no_role","high",False
17404,"Import the Employee Directory sample alloy by using the latest Appcelerator Studio 4.1.0 release, through the dashboard. Then verify that you are able to build it for Win Phone and Store after adding windows to list of deploy targets in tiapp.xml . If you run into any issues, please file additional tickets. If the sample needs to be updated in any way like enabling capabilities , file a PR for the sample.",NULL,"Import the Employee Directory sample alloy by using the latest Appcelerator Studio 4.1.0 release, through the dashboard. Then verify that you are able to build it for Win Phone and Store after adding windows to list of deploy targets in tiapp.xml . If you run into any issues, please file additional tickets. If the sample needs to be updated in any way like enabling capabilities , file a PR for the sample.",NULL,"Import the Employee Directory sample alloy by using the latest Appcelerator Studio 4<span class='highlight-text severity-high'>.1.0 release, through the dashboard. Then verify that you are able to build it for Win Phone and Store after adding windows to list of deploy targets in tiapp.xml . If you run into any issues, please file additional tickets. If the sample needs to be updated in any way like enabling capabilities , file a PR for the sample.</span>","minimal","punctuation","high",False
