"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
24716,"Show remote samples in Samples View div p Allow alternate list of samples pulled from remote server. Others would be cloned from github repo on demand using code from ",NULL,"Show remote samples in Samples View div p Allow alternate list of samples pulled from remote server. Others would be cloned from github repo on demand using code from ",NULL,"Show remote samples in Samples View div p Allow alternate list of samples pulled from remote server<span class='highlight-text severity-high'>. Others would be cloned from github repo on demand using code from </span>","minimal","punctuation","high",False
24716,"Show remote samples in Samples View div p Allow alternate list of samples pulled from remote server. Others would be cloned from github repo on demand using code from ",NULL,"Show remote samples in Samples View div p Allow alternate list of samples pulled from remote server. Others would be cloned from github repo on demand using code from ",NULL,"Add for who this story is","well_formed","no_role","high",False
24717,"Add domain and login to cloud app wizard ",NULL,"Add domain and login to cloud app wizard ",NULL,"Add domain<span class='highlight-text severity-high'> and </span>login to cloud app wizard ","atomic","conjunctions","high",False
24717,"Add domain and login to cloud app wizard ",NULL,"Add domain and login to cloud app wizard ",NULL,"Add for who this story is","well_formed","no_role","high",False
24718,"Remove auto setting of workspace directory in Titanium Studio Instead, let the user pick a default workspace on first launch.",NULL,"Remove auto setting of workspace directory in Titanium Studio Instead, let the user pick a default workspace on first launch.",NULL,"Add for who this story is","well_formed","no_role","high",False
24557,"Enter Return doesn t being Login on login splash screen When you first start TI Studio, it brings up a login screen. I entered my credentials, hit Return and... nothing. It should invoke the login button.",NULL,"Enter Return doesn t being Login on login splash screen When you first start TI Studio, it brings up a login screen. I entered my credentials, hit Return and... nothing. It should invoke the login button.",NULL,"Enter Return doesn t being Login on login splash screen When you first start TI Studio, it brings up a login screen<span class='highlight-text severity-high'>. I entered my credentials, hit Return and... nothing. It should invoke the login button.</span>","minimal","punctuation","high",False
24557,"Enter Return doesn t being Login on login splash screen When you first start TI Studio, it brings up a login screen. I entered my credentials, hit Return and... nothing. It should invoke the login button.",NULL,"Enter Return doesn t being Login on login splash screen When you first start TI Studio, it brings up a login screen. I entered my credentials, hit Return and... nothing. It should invoke the login button.",NULL,"Add for who this story is","well_formed","no_role","high",False
24871,"Create feature and builder for TiStudio unit tests ",NULL,"Create feature and builder for TiStudio unit tests ",NULL,"Add for who this story is","well_formed","no_role","high",False
24870,"Rename Utils classes to Util In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil",NULL,NULL,"In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil","Use the most common template: As a, I can, So","uniform","uniform","medium",False
24870,"Rename Utils classes to Util In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil",NULL,NULL,"In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil","Rename Utils classes to Util In order to be consistent across products, we should rename instances of Utils classes to drop the s, i<span class='highlight-text severity-high'>.e. MobileUsageUtils MobileUsageUtil</span>","minimal","punctuation","high",False
24870,"Rename Utils classes to Util In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil",NULL,NULL,"In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil","Add for who this story is","well_formed","no_role","high",False
24870,"Rename Utils classes to Util In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil",NULL,NULL,"In order to be consistent across products, we should rename instances of Utils classes to drop the s, i.e. MobileUsageUtils MobileUsageUtil","Add what you want to achieve","well_formed","no_means","high",False
24587,"Need to be able to configure ACS url for staging testing purpose Right now studio has hard coded in order to test in staging environment, we need to be able to change it to point to instead",NULL,"Need to be able to configure ACS url for staging testing purpose Right now studio has hard coded","in order to test in staging environment, we need to be able to change it to point to instead","Use the most common template: As a, I can, So","uniform","uniform","medium",False
24587,"Need to be able to configure ACS url for staging testing purpose Right now studio has hard coded in order to test in staging environment, we need to be able to change it to point to instead",NULL,"Need to be able to configure ACS url for staging testing purpose Right now studio has hard coded","in order to test in staging environment, we need to be able to change it to point to instead","Add for who this story is","well_formed","no_role","high",False
24588,"File JIRA tickets for Titanium Studio in the Titanium Community project When filing a ticket inside Titanium Studio using the new JIRA integration APSTUD 2916 , we need to file the ticket in APSTUD if it came from Aptana Studio, and TC if it came from Titanium community",NULL,"File JIRA tickets for Titanium Studio in the Titanium Community project When filing a ticket inside Titanium Studio using the new JIRA integration APSTUD 2916 , we need to file the ticket in APSTUD if it came from Aptana Studio, and TC if it came from Titanium community",NULL,"File JIRA tickets for Titanium Studio in the Titanium Community project When filing a ticket inside Titanium Studio using the new JIRA integration APSTUD 2916 , we need to file the ticket in APSTUD if it came from Aptana Studio,<span class='highlight-text severity-high'> and </span>TC if it came from Titanium community","atomic","conjunctions","high",False
24588,"File JIRA tickets for Titanium Studio in the Titanium Community project When filing a ticket inside Titanium Studio using the new JIRA integration APSTUD 2916 , we need to file the ticket in APSTUD if it came from Aptana Studio, and TC if it came from Titanium community",NULL,"File JIRA tickets for Titanium Studio in the Titanium Community project When filing a ticket inside Titanium Studio using the new JIRA integration APSTUD 2916 , we need to file the ticket in APSTUD if it came from Aptana Studio, and TC if it came from Titanium community",NULL,"Add for who this story is","well_formed","no_role","high",False
24614,"Alloy Create Migration Wizard Right click app migrations folder Pop up dialog box asking for migration name Add keyboard shortcut for opening dialog and generating migration so user isn t forced to go through UI to do this action and can do so by keeping hands on keyboard This will create a timestamp ordered migration file for the model specified.",NULL,"Alloy Create Migration Wizard Right click app migrations folder Pop up dialog box asking for migration name Add keyboard shortcut for opening dialog and generating migration","so user isn t forced to go through UI to do this action and can do so by keeping hands on keyboard This will create a timestamp ordered migration file for the model specified.","Use the most common template: As a, I can, So","uniform","uniform","medium",False
