"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
17719,"Looking at the samples view, it should have a few extra items 1 A description of the sample in question. 2 Allow the sample to be tagged with a variety of text phrases. We could use that for sorting filtering. ",NULL,"Looking at the samples view, it should have a few extra items 1 A description of the sample in question. 2 Allow the sample to be tagged with a variety of text phrases. We could use that for sorting filtering. ",NULL,"Looking at the samples view, it should have a few extra items 1 A description of the sample in question<span class='highlight-text severity-high'>. 2 Allow the sample to be tagged with a variety of text phrases. We could use that for sorting filtering. </span>","minimal","punctuation","high",False
17719,"Looking at the samples view, it should have a few extra items 1 A description of the sample in question. 2 Allow the sample to be tagged with a variety of text phrases. We could use that for sorting filtering. ",NULL,"Looking at the samples view, it should have a few extra items 1 A description of the sample in question. 2 Allow the sample to be tagged with a variety of text phrases. We could use that for sorting filtering. ",NULL,"Add for who this story is","well_formed","no_role","high",False
17720,"We need a command probably under help to install beta versions of Titanium Mobile Desktop SDKs via specific URLS. Something like the urls found at http builds.appcelerator.com.s3.amazonaws.com index.html We need to be able to recognize the difference between a mobilesdk and desktop sdk download.",NULL,"We need a command probably under help to install beta versions of Titanium Mobile Desktop SDKs via specific URLS. Something like the urls found at http builds.appcelerator.com.s3.amazonaws.com index.html We need to be able to recognize the difference between a mobilesdk and desktop sdk download.",NULL,"We need a command probably under help to install beta versions of Titanium Mobile Desktop SDKs via specific URLS<span class='highlight-text severity-high'>. Something like the urls found at http builds.appcelerator.com.s3.amazonaws.com index.html We need to be able to recognize the difference between a mobilesdk and desktop sdk download.</span>","minimal","punctuation","high",False
17720,"We need a command probably under help to install beta versions of Titanium Mobile Desktop SDKs via specific URLS. Something like the urls found at http builds.appcelerator.com.s3.amazonaws.com index.html We need to be able to recognize the difference between a mobilesdk and desktop sdk download.",NULL,"We need a command probably under help to install beta versions of Titanium Mobile Desktop SDKs via specific URLS. Something like the urls found at http builds.appcelerator.com.s3.amazonaws.com index.html We need to be able to recognize the difference between a mobilesdk and desktop sdk download.",NULL,"Add for who this story is","well_formed","no_role","high",False
17722,"It currently shows Aptana, Inc when hovering over the installer image. Would be 5 points if it is already in correct format.",NULL,"It currently shows Aptana, Inc when hovering over the installer image. Would be 5 points if it is already in correct format.",NULL,"It currently shows Aptana, Inc when hovering over the installer image<span class='highlight-text severity-high'>. Would be 5 points if it is already in correct format.</span>","minimal","punctuation","high",False
17722,"It currently shows Aptana, Inc when hovering over the installer image. Would be 5 points if it is already in correct format.",NULL,"It currently shows Aptana, Inc when hovering over the installer image. Would be 5 points if it is already in correct format.",NULL,"Add for who this story is","well_formed","no_role","high",False
17723,"While using two screens the login form ist displayed between the screens. Screenshot attached",NULL,"While using two screens the login form ist displayed between the screens. Screenshot attached",NULL,"While using two screens the login form ist displayed between the screens<span class='highlight-text severity-high'>. Screenshot attached</span>","minimal","punctuation","high",False
17723,"While using two screens the login form ist displayed between the screens. Screenshot attached",NULL,"While using two screens the login form ist displayed between the screens. Screenshot attached",NULL,"Add for who this story is","well_formed","no_role","high",False
17726,"User always gets incorrect login password message.",NULL,"User always gets incorrect login password message.",NULL,"Add for who this story is","well_formed","no_role","high",False
17728,"Add a way for a link to open a specific view in the user interface, by passing the view s ID com.aptana.explorer.view ",NULL,"Add a way for a link to open a specific view in the user interface, by passing the view s ID com.aptana.explorer.view ",NULL,"Add for who this story is","well_formed","no_role","high",False
17729,"Add a way for a link to trigger a specific command in Studio, i.e. com.appcelerator.titanium.ui.ide.update.command.updateTitanium ",NULL,"Add a way for a link to trigger a specific command in Studio, i.e. com.appcelerator.titanium.ui.ide.update.command.updateTitanium ",NULL,"Add a way for a link to trigger a specific command in Studio, i<span class='highlight-text severity-high'>.e. com.appcelerator.titanium.ui.ide.update.command.updateTitanium </span>","minimal","punctuation","high",False
17729,"Add a way for a link to trigger a specific command in Studio, i.e. com.appcelerator.titanium.ui.ide.update.command.updateTitanium ",NULL,"Add a way for a link to trigger a specific command in Studio, i.e. com.appcelerator.titanium.ui.ide.update.command.updateTitanium ",NULL,"Add for who this story is","well_formed","no_role","high",False
17730,"Could be done through a link. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard",NULL,"Could be done through a link. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard",NULL,"Could be done through a link<span class='highlight-text severity-high'>. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard</span>","minimal","punctuation","high",False
17730,"Could be done through a link. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard",NULL,"Could be done through a link. Suggestion is to allow the user to pass in a specific ID, i.e. com.appcelerator.titanium.ui.import.wizard",NULL,"Add for who this story is","well_formed","no_role","high",False
17735,"Basically, if user goes offline, he currently still could continue to use TiStudio features, but until Studio restart. It would be better to have some grace period if offline.",NULL,"Basically, if user goes offline, he currently still could continue to use TiStudio features, but until Studio restart. It would be better to have some grace period if offline.",NULL,"Basically, if user goes offline, he currently still could continue to use TiStudio features, but until Studio restart<span class='highlight-text severity-high'>. It would be better to have some grace period if offline.</span>","minimal","punctuation","high",False
17735,"Basically, if user goes offline, he currently still could continue to use TiStudio features, but until Studio restart. It would be better to have some grace period if offline.",NULL,"Basically, if user goes offline, he currently still could continue to use TiStudio features, but until Studio restart. It would be better to have some grace period if offline.",NULL,"Add for who this story is","well_formed","no_role","high",False
17736,"When an application is building, you could see constant workspace updating in Progress view.",NULL,"When an application is building, you could see constant workspace updating in Progress view.",NULL,"Add for who this story is","well_formed","no_role","high",False
17742,"For example in newmobileprojectwizard.java. we can extract sendCreateProjectEvent to a utility class",NULL,NULL,NULL,"For example in newmobileprojectwizard<span class='highlight-text severity-high'>.java. we can extract sendCreateProjectEvent to a utility class</span>","minimal","punctuation","high",False
17742,"For example in newmobileprojectwizard.java. we can extract sendCreateProjectEvent to a utility class",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
17742,"For example in newmobileprojectwizard.java. we can extract sendCreateProjectEvent to a utility class",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
17743,"Hardcode in date of June 1, 2011. If the user reaches that date and attempts to use the product, force them to update to a new version, or shut the product down standalone , or disabled the plugin if used inside Eclipse ",NULL,NULL,NULL,"Hardcode in date of June 1, 2011<span class='highlight-text severity-high'>. If the user reaches that date and attempts to use the product, force them to update to a new version, or shut the product down standalone , or disabled the plugin if used inside Eclipse </span>","minimal","punctuation","high",False
17743,"Hardcode in date of June 1, 2011. If the user reaches that date and attempts to use the product, force them to update to a new version, or shut the product down standalone , or disabled the plugin if used inside Eclipse ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
17743,"Hardcode in date of June 1, 2011. If the user reaches that date and attempts to use the product, force them to update to a new version, or shut the product down standalone , or disabled the plugin if used inside Eclipse ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
17746,"We want to store the events in a database in case the user is offline.",NULL,"We want to store the events in a database in case the user is offline.",NULL,"Add for who this story is","well_formed","no_role","high",False
