"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
26124,"Improve to support classes with inheritance Provide unit tests",NULL,"Improve to support classes with inheritance Provide unit tests",NULL,"Add for who this story is","well_formed","no_role","high",False
26120,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build, so we don t see the warnings in build sysout.",NULL,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build,","so we don t see the warnings in build sysout.","Add for who this story is","well_formed","no_role","high",False
25501,"Investigate skipped tests in build, enable or remove. We have 13 skipped tests now...",NULL,"Investigate skipped tests in build, enable or remove. We have 13 skipped tests now...",NULL,"Add for who this story is","well_formed","no_role","high",False
26784,"Remove AutoLaunch feature from batch jobs Jobs will be started via trigger. So we won t need the JobTriggerBean.",NULL,"Remove AutoLaunch feature from batch jobs Jobs will be started via trigger.","So we won t need the JobTriggerBean.","Add for who this story is","well_formed","no_role","high",False
25501,"Investigate skipped tests in build, enable or remove. We have 13 skipped tests now...",NULL,"Investigate skipped tests in build, enable or remove. We have 13 skipped tests now...",NULL,"Investigate skipped tests in build, enable<span class='highlight-text severity-high'> or </span>remove. We have 13 skipped tests now...","atomic","conjunctions","high",False
26785,"Parser needs to handle a embedded in a name. Also drop the enhanced portion of the ",NULL,"Parser needs to handle a embedded in a name. Also drop the enhanced portion of the ",NULL,"Add for who this story is","well_formed","no_role","high",False
26120,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build, so we don t see the warnings in build sysout.",NULL,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build,","so we don t see the warnings in build sysout.","Clean up compiler<span class='highlight-text severity-high'> and </span>javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build, so we don t see the warnings in build sysout.","atomic","conjunctions","high",False
26120,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build, so we don t see the warnings in build sysout.",NULL,"Clean up compiler and javadoc warnings from the build As a developer, I'd like to clean up compiler and javadoc warnings from the build,","so we don t see the warnings in build sysout.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
26123,"Ensure proper lifecycle shutdown of processors in and ",NULL,"Ensure proper lifecycle shutdown of processors in and ",NULL,"Add for who this story is","well_formed","no_role","high",False
26125,"Update redis.tar.gz bundled in distribution to be version 3.0.1 RPM scripts will need to change.",NULL,"Update redis.tar.gz bundled in distribution to be version 3.0.1 RPM scripts will need to change.",NULL,"Add for who this story is","well_formed","no_role","high",False
26274,"Port FTP as s c s sink module As a Spring XD developer, I'd like to port modules to build streaming pipeline.",NULL,"Port FTP as s c s sink module As a Spring XD developer, I'd like to port modules to build streaming pipeline.",NULL,"Add for who this story is","well_formed","no_role","high",False
26122,"Review critical sonar warning... ",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
26122,"Review critical sonar warning... ",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
26276,"Port Rabbit as s c s source As a s c d developer, I'd like to move to build streaming pipeline.",NULL,"Port Rabbit as s c s source As a s c d developer, I'd like to move to build streaming pipeline.",NULL,"Add for who this story is","well_formed","no_role","high",False
26280,"Create tcp udp load generator script for XD performance testing Create a load generator script which can generate messages at specific 1 Rate 2 Payload 3 Concurrency to a specific tcp udp port where a syslog adapter is listening.",NULL,"Create tcp udp load generator script for XD performance testing Create a load generator script which can generate messages at specific 1 Rate 2 Payload 3 Concurrency to a specific tcp udp port where a syslog adapter is listening.",NULL,"Add for who this story is","well_formed","no_role","high",False
26275,"Port Redis as s c s sink As a Spring XD developer, I'd like to move to build streaming pipeline.",NULL,"Port Redis as s c s sink As a Spring XD developer, I'd like to move to build streaming pipeline.",NULL,"Add for who this story is","well_formed","no_role","high",False
26279,"Upgrade HDP PHD distrubutions As a Spring XD user, I'd like to use the latest releases of .",NULL,"Upgrade HDP PHD distrubutions As a Spring XD user, I'd like to use the latest releases of .",NULL,"Add for who this story is","well_formed","no_role","high",False
26277,"Port gemfire server sink as s c s module As a Spring XD developer, I'd like to move to build streaming pipeline.",NULL,"Port gemfire server sink as s c s module As a Spring XD developer, I'd like to move to build streaming pipeline.",NULL,"Add for who this story is","well_formed","no_role","high",False
25383,"Remove project and module xml to be put in seperate repository AGPL license issues",NULL,"Remove project and module xml to be put in seperate repository AGPL license issues",NULL,"Add for who this story is","well_formed","no_role","high",False
25147,"Standardize handling We should we centrally standardize on date time formats so that we don t create inconsistencies, and follow ISO 8601 internally. Internally we should only work with UTC or make that the default config option . Ultimately, whatever the user sees is just a formatting concern.",NULL,"Standardize handling We should we centrally standardize on date time formats","so that we don t create inconsistencies, and follow ISO 8601 internally. Internally we should only work with UTC or make that the default config option . Ultimately, whatever the user sees is just a formatting concern.","Add for who this story is","well_formed","no_role","high",False
25317,"Add option to xd admin and xd container YARN scripts to allow copying ot HDFS and no execution. ",NULL,"Add option to xd admin and xd container YARN scripts to allow copying ot HDFS and no execution. ",NULL,"Add for who this story is","well_formed","no_role","high",False
25383,"Remove project and module xml to be put in seperate repository AGPL license issues",NULL,"Remove project and module xml to be put in seperate repository AGPL license issues",NULL,"Remove project<span class='highlight-text severity-high'> and </span>module xml to be put in seperate repository AGPL license issues","atomic","conjunctions","high",False
25380,"Error in correlation strategy in aggregator.xml should be Add a test to make sure correlation expressions here work.",NULL,"Error in correlation strategy in aggregator.xml should be Add a test to make sure correlation expressions here work.",NULL,"Add for who this story is","well_formed","no_role","high",False
25382,"should make a better attempt at round robin distribution Currently the index is used globally but applied to a range of candidates that can differ based on the match criteria per invocation.",NULL,"should make a better attempt at round robin distribution Currently the index is used globally but applied to a range of candidates that can differ based on the match criteria per invocation.",NULL,"Add for who this story is","well_formed","no_role","high",False
25500,"Update to Spring Integration 4.0.1 Add messages store optimization to the hdfs dataset ",NULL,"Update to Spring Integration 4.0.1 Add messages store optimization to the hdfs dataset ",NULL,"Add for who this story is","well_formed","no_role","high",False
25717,"Provide Python module to handle I O for implementing a Python shell processor ",NULL,"Provide Python module to handle I O for implementing a Python shell processor ",NULL,"Add for who this story is","well_formed","no_role","high",False
25718,"field value counter should support nested fieldNames for example, when using the twittersearch source module, the hashTags are nested within entities , and the value for hashTags is itself an object with a text field, so the following would be needed to count the actual value of interest tap tweets ",NULL,"field value counter should support nested fieldNames for example, when using the twittersearch","source module, the hashTags are nested within entities , and the value for hashTags is itself an object with a text field, so the following would be needed to count the actual value of interest tap tweets","Add for who this story is","well_formed","no_role","high",False
25718,"field value counter should support nested fieldNames for example, when using the twittersearch source module, the hashTags are nested within entities , and the value for hashTags is itself an object with a text field, so the following would be needed to count the actual value of interest tap tweets ",NULL,"field value counter should support nested fieldNames for example, when using the twittersearch","source module, the hashTags are nested within entities , and the value for hashTags is itself an object with a text field, so the following would be needed to count the actual value of interest tap tweets","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
26273,"Test connection pooling on Redis operations ",NULL,"Test connection pooling on Redis operations ",NULL,"Add for who this story is","well_formed","no_role","high",False
25714,"Add support for configurable ZK namespace As a user, I'd like to have the flexibility to change the namespace so that I can isolate ZK metadata based on each tenant profile. ",NULL,"Add support for configurable ZK namespace As a user, I'd like to have the flexibility to change the namespace","so that I can isolate ZK metadata based on each tenant profile.","Add for who this story is","well_formed","no_role","high",False
25714,"Add support for configurable ZK namespace As a user, I'd like to have the flexibility to change the namespace so that I can isolate ZK metadata based on each tenant profile. ",NULL,"Add support for configurable ZK namespace As a user, I'd like to have the flexibility to change the namespace","so that I can isolate ZK metadata based on each tenant profile.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
