"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
30983,"Create Boot based ModuleRunner Phase III ",NULL,"Create Boot based ModuleRunner Phase III ",NULL,"Add for who this story is","well_formed","no_role","high",False
30984,"Fix section headers in reference TOC",NULL,"Fix section headers in reference TOC",NULL,"Add for who this story is","well_formed","no_role","high",False
30987,"Add new REST API to get all the counters, gauges, and rich gauges",NULL,"Add new REST API to get all the counters, gauges, and rich gauges",NULL,"Add for who this story is","well_formed","no_role","high",False
30987,"Add new REST API to get all the counters, gauges, and rich gauges",NULL,"Add new REST API to get all the counters, gauges, and rich gauges",NULL,"Add new REST API to get all the counters, gauges,<span class='highlight-text severity-high'> and </span>rich gauges","atomic","conjunctions","high",False
30989,"Document how to use the module registry backed by HDFS",NULL,"Document how to use the module registry backed by HDFS",NULL,"Add for who this story is","well_formed","no_role","high",False
30986,"Update Spring Integration Spring AMQP Versions",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
30986,"Update Spring Integration Spring AMQP Versions",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
30990,"Update to spring data hadoop 2.2.0.M1",NULL,"Update to spring data hadoop 2.2.0.M1",NULL,"Add for who this story is","well_formed","no_role","high",False
30523,"Probably needs support for Spring Profiles.",NULL,"Probably needs support for Spring Profiles.",NULL,"Add for who this story is","well_formed","no_role","high",False
30723,"doesn t support HA namenode for hdfs custom module location",NULL,"doesn t support HA namenode for hdfs custom module location",NULL,"Add for who this story is","well_formed","no_role","high",False
30525,"To send a pre set message to process es ",NULL,"To send a pre set message to process es ",NULL,"Add for who this story is","well_formed","no_role","high",False
30906,"Spike XD Admin SPI to discover s c s modules",NULL,"Spike XD Admin SPI to discover s c s modules",NULL,"Add for who this story is","well_formed","no_role","high",False
30909,"Move serialization codec from XD to ",NULL,"Move serialization codec from XD to ",NULL,"Add for who this story is","well_formed","no_role","high",False
30908,"Spike Kickoff singlenode implementation of Admin SPI",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
