"id","title","role","means","ends","highlight","kind","subkind","severity","false_positive"
18354,"As a developer, I'd like to have a central place to manage external properties for applications across all the environments, so I can provide server and client side support for externalized configuration for XD Admin and XD Container servers. ","As a developer",", I'd like to have a central place to manage external properties for applications across all the environments,","so I can provide server and client side support for externalized configuration for XD Admin and XD Container servers.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18475,"The current build ships everything that is found in the modules directory, including build artifacts such as build or IDEA .iml files. Restrict the build to only include config , lib at the moment.",NULL,"The current build ships everything that is found in the modules directory, including build artifacts such as build or IDEA .iml files. Restrict the build to only include config , lib at the moment.",NULL,"Add for who this story is","well_formed","no_role","high",False
18290,"Currently there is no ModuleInstanceStatus returned. This issue will fill in the details.",NULL,"Currently there is no ModuleInstanceStatus returned. This issue will fill in the details.",NULL,"Currently there is no ModuleInstanceStatus returned<span class='highlight-text severity-high'>. This issue will fill in the details.</span>","minimal","punctuation","high",False
18284,"As a s c d developer, I'd like to investigate how to include exclude msg bus binding jars, so I can decide the binding selection and fallback mechanism when there is none setup.","As a s c d developer",", I'd like to investigate how to include exclude msg bus binding jars,","so I can decide the binding selection and fallback mechanism when there is none setup.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18952,"INFO main zookeeper.ZooKeeper 100 Client environment java.class.path produces a huge amount of output and is rather distracting, if that specific entry could be at a log level of debug it would make the startup of the server look cleaner.",NULL,"INFO main zookeeper.ZooKeeper 100 Client environment java.class.path produces a huge amount of output and is rather distracting, if that specific entry could be at a log level of debug it would make the startup of the server look cleaner.",NULL,"Add for who this story is","well_formed","no_role","high",False
18537,"To be added in AbstractMetricsController, as well as the various shell commands counter all delete , etc... ",NULL,"To be added in AbstractMetricsController, as well as the various shell commands counter all delete , etc... ",NULL,"Add for who this story is","well_formed","no_role","high",False
18534,"Since the refactoring of the module registry that does not look inside a module, it can t know that the scripts directory is not a module. Everything that is a direct child of source, processor, sink, job should be a module archive. Everything else supporting that should be moved out, e.g. in modules common",NULL,"Since the refactoring of the module registry that does not look inside a module, it can t know that the scripts directory is not a module. Everything that is a direct child of source, processor, sink, job should be a module archive. Everything else supporting that should be moved out, e.g. in modules common",NULL,"Add for who this story is","well_formed","no_role","high",False
18575,"See RedisSingleNodeStreamDeploymentIntegrationTests etc.",NULL,"See RedisSingleNodeStreamDeploymentIntegrationTests etc.",NULL,"Add for who this story is","well_formed","no_role","high",False
18564,"As a scala developer, someone could easily deploy the spark streaming module developed using scala. ","As a scala developer, someon","e could easily deploy the spark streaming module developed using scala.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18566,"As a developer, I'd like to upgrade to SHDP GA release so that I can sync up with the latest bits. ","As a developer",", I'd like to upgrade to SHDP GA release","so that I can sync up with the latest bits.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18601,"As a user, I'd like to have the option to store the custom module uber jar in HDFS so that I can rely on the HA feature to reliably read and reinstall under failure scenarios. ","As a user",", I'd like to have the option to store the custom module uber jar in HDFS","so that I can rely on the HA feature to reliably read and reinstall under failure scenarios.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18591,"Run a clean gradle build to identify all warnings.",NULL,"Run a clean gradle build to identify all warnings.",NULL,"Add for who this story is","well_formed","no_role","high",False
18648,"As a developer, I'd like to include the following improvements as part of the EC2 CI infrastructure, so that we can reliably run the CI builds and also assert over feature functionalities. Scope Enable distributed jvm test Change from using artifactory gradle task to a command task that calls . gradlew Test w embedded hadoop off Turn on maxParallelForks ","As a developer",", I'd like to include the following improvements as part of the EC2 CI infrastructure,","so that we can reliably run the CI builds and also assert over feature functionalities. Scope Enable distributed jvm test Change from using artifactory gradle task to a command task that calls . gradlew Test w embedded hadoop off Turn on maxParallelForks","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18368,"Need acceptance tests to run on the 1.2.X branch. Needs to be setup as a child of the Publish 1.2.x",NULL,"Need acceptance tests to run on the 1.2.X branch. Needs to be setup as a child of the Publish 1.2.x",NULL,"Need acceptance tests to run on the 1<span class='highlight-text severity-high'>.2.X branch. Needs to be setup as a child of the Publish 1.2.x</span>","minimal","punctuation","high",False
18369,"Sort alphabetically, nest Available modules section appropriately. Optionally, move to a whole different PART in reference doc",NULL,NULL,NULL,"Add what you want to achieve","well_formed","no_means","high",False
18369,"Sort alphabetically, nest Available modules section appropriately. Optionally, move to a whole different PART in reference doc",NULL,NULL,NULL,"Add for who this story is","well_formed","no_role","high",False
18649,"As a build master, I'd like to research CI options so that I can improve CI build stability and reliability. Potential Option npm cache https github.com swarajban npm cache Caching previously installed dependencies, npm cache doesn t require downloading the internet each time we build.",NULL,"As a build master, I'd like to research CI options","so that I can improve CI build stability and reliability. Potential Option npm cache https github.com swarajban npm cache Caching previously installed dependencies, npm cache doesn t require downloading the internet each time we build.","Add for who this story is","well_formed","no_role","high",False
18728,"XD 1.0.2 Release PHD 2.1 Upgrade Action Items Update to SHDP 2.0.3 Add Hadoop 2.5 hadoop25 Change PHD 2.x from phd20 to phd21 Test PHD 2.0 with phd21 Document that both PHD 2.1 and PHD 2.0 is supported with phd21 ",NULL,"XD 1.0.2 Release PHD 2.1 Upgrade Action Items Update to SHDP 2.0.3 Add Hadoop 2.5 hadoop25 Change PHD 2.x from phd20 to phd21 Test PHD 2.0 with phd21 Document that both PHD 2.1 and PHD 2.0 is supported with phd21 ",NULL,"Add for who this story is","well_formed","no_role","high",False
18727,"As a user, I'd like to have the option to supply data partitioning strategy so that I can parallelize ingest of data from RDBMS to HDFS.","As a user",", I'd like to have the option to supply data partitioning strategy","so that I can parallelize ingest of data from RDBMS to HDFS.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18729,"As a user, I'd like to evaluate Spring Boot dependency upgrades so that I can make sure there aren t any side effects or impacts to existing functionalities. ","As a user",", I'd like to evaluate Spring Boot dependency upgrades","so that I can make sure there aren t any side effects or impacts to existing functionalities.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18730,"As a user, I need a document covering our recommendations for deploying a XD cluster using Mesos with the Marathon Framework. ","As a user",", I need a document covering our recommendations for deploying a XD cluster using Mesos with the Marathon Framework.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18718,"To enrich acceptance test, I'd like to lazy initialize DB for JDBC Sink acceptance tests. Check to see if it is already initialized and decide. ",NULL,"To enrich acceptance test, I'd like to lazy initialize DB for JDBC Sink acceptance tests. Check to see if it is already initialized and decide. ",NULL,"Add for who this story is","well_formed","no_role","high",False
19088,"Create a first pass at an acceptance test app for a stream definition of http log. This will involve creating two new projects in xd 1. spring xd integration test 2. spring xd acceptance tests 1 will contain generally useful utility methods for acceptance test, such as sending data over http, obtaining and asserting JMX values of specific modules. 2 will contain tests that use 1 to test the various out of the box modules provides in XD.",NULL,"Create a first pass at an acceptance test app for a stream definition of http log. This will involve creating two new projects in xd 1. spring xd integration test 2. spring xd acceptance tests 1 will contain generally useful utility methods for acceptance test, such as sending data over http, obtaining and asserting JMX values of specific modules. 2 will contain tests that use 1 to test the various out of the box modules provides in XD.",NULL,"Add for who this story is","well_formed","no_role","high",False
18141,"As a s c d developer, I'd like to explore options to bootstrap and setup Lattice based infrastructure for s c d s bare metal deployment.","As a s c d developer",", I'd like to explore options to bootstrap and setup Lattice based infrastructure for s c d s bare metal deployment.",NULL,"As a s c d developer, I'd like to explore options to bootstrap<span class='highlight-text severity-high'> and </span>setup Lattice based infrastructure for s c d s bare metal deployment.","atomic","conjunctions","high",False
18141,"As a s c d developer, I'd like to explore options to bootstrap and setup Lattice based infrastructure for s c d s bare metal deployment.","As a s c d developer",", I'd like to explore options to bootstrap and setup Lattice based infrastructure for s c d s bare metal deployment.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18144,"As an XD user, I'd like to be able to visually differentiate between job composition workflow and single job.","As an XD user",", I'd like to be able to visually differentiate between job composition workflow and single job.",NULL,"Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18146,"As an XD user, I'd like to have a REST endpoint that returns job composition flag , so I can use it to differentiate visual representation between parent child relationship and standalone jobs. ","As an XD user",", I'd like to have a REST endpoint that returns job composition flag ,","so I can use it to differentiate visual representation between parent child relationship and standalone jobs.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18148,"As a Spring XD developer, I'd like to move cassandra module from XD to s c s repo, so I can use it as sink to build streaming pipeline.","As a Spring XD developer",", I'd like to move cassandra module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18147,"As a Spring XD developer, I'd like to port analytic pmml module from XD to s c s repo, so I can use it as processor module to build streaming pipeline.","As a Spring XD developer",", I'd like to port analytic pmml module from XD to s c s repo,","so I can use it as processor module to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18170,"As a Spring XD developer, I'd like to move splunk module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move splunk module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18169,"As a Spring XD developer, I'd like to move tcp module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move tcp module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18175,"As a Spring XD developer, I'd like to move mail module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move mail module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18172,"As a Spring XD developer, I'd like to move null module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move null module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18173,"As a Spring XD developer, I'd like to move mqtt module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move mqtt module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18176,"As a Spring XD developer, I'd like to move hdfs dataset module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move hdfs dataset module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18177,"As a Spring XD developer, I'd like to move gpfdist module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move gpfdist module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18171,"As a Spring XD developer, I'd like to move shell module from XD to s c s repo, so I can use it as sink to build streaming pipeline. ","As a Spring XD developer",", I'd like to move shell module from XD to s c s repo,","so I can use it as sink to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18178,"As a Spring XD developer, I'd like to move tcp client module from XD to s c s repo, so I can use it as source to build streaming pipeline. ","As a Spring XD developer",", I'd like to move tcp client module from XD to s c s repo,","so I can use it as source to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18180,"As a Spring XD developer, I'd like to move mail module from XD to s c s repo, so I can use it as source to build streaming pipeline.","As a Spring XD developer",", I'd like to move mail module from XD to s c s repo,","so I can use it as source to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18184,"As a Spring XD developer, I'd like to move mqtt module from XD to s c s repo, so I can use it as source to build streaming pipeline. ","As a Spring XD developer",", I'd like to move mqtt module from XD to s c s repo,","so I can use it as source to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18181,"As a Spring XD developer, I'd like to move syslog module from XD to s c s repo, so I can use it as source to build streaming pipeline. ","As a Spring XD developer",", I'd like to move syslog module from XD to s c s repo,","so I can use it as source to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
18182,"As a Spring XD developer, I'd like to move stdout module from XD to s c s repo, so I can use it as source to build streaming pipeline.","As a Spring XD developer",", I'd like to move stdout module from XD to s c s repo,","so I can use it as source to build streaming pipeline.","Use the most common template: As a, I want to, So","uniform","uniform","medium",False
