"Upgrade Jackson to 1.9.11 This version works with 1.8.0 and there are some deprecated methods in 1.9.11, so there is a need for an upgrade.",MULE-6604,
REST Service Interface Definition ,MULE-6641,
REST Document Resource Definition ,MULE-6642,
REST Swagger Definition Generation ,MULE-6645,
REST Browsable Web UI Generation ,MULE-6646,
"Addition of DB2 and MS SQL Server to the list of databases on Studio JDBC connector configuration window ESB Work Today we show MySQL, Derby, and Oracle. However, MS SQL and DB2 are RDBMS s with very large footprints. As such, we should add these two databases to the set that shows up on the JDBC connector s configuration screen. ",MULE-6649,
"NIO and WebSocket Completion As a Mule ESB user, I would like to be able to turn on the use of the NIO stack through a deploy.properties toggle. As a Mule ESB user, I would like to be able to use the new WebSocket components within my flows. ",MULE-6657,
"Testing Mule 3.4 Dynamic Lookup with GA Registry As a Mule user, I would like to use the dynamic lookup component within my flows. Detailed specs defined here ",MULE-6661,
"Testing Mule 3.4 Thorttling with GA Registry As a Registry user, I would like to be able to apply throttling policies to my Mule ESB flow end points. ",MULE-6663,
Update Spring version used in Mule to 3.2 Update the version of Spring we are using to 3.2,MULE-6673,
REST Representations definition Multiple representation support for apikit,MULE-6710,
APIkit example application Create an example application to showcase apikit functionality,MULE-6711,
Deprecate Services and anything else we can ,MULE-6714,
Move OAuth from DevKit to ESB Move OAuth from DevKit to ESB Move generated DevKit code to ESB and expose an interface that DevKit can use Improve user experience when trying to configure an OAuth connector Move generated DevKit code to ESB and expose an interface that DevKit can use Improve user experience when trying to configure an OAuth connector ,MULE-6843,
Connector Auto Paging Connector Auto Paging Connector Auto Paging Connector Auto Paging Connector Auto Paging Connector Auto Paging See here This will require some in iteration investigation. See here This will require some in iteration investigation. See here This will require some in iteration investigation. See here This will require some in iteration investigation. See here This will require some in iteration investigation. See here This will require some in iteration investigation.,MULE-6844,
"Define Polling Watermarks Right now, when a poll needs to deal with updated objects, we use watermarks as an approach to filter out elements that were already processed. The only way to do that right now is to implement the logic manually which forces the user to deal with object stores, default values, repeated logic, dev time dependencies, etc. This story is a container of all the features required for watermark ",MULE-6845,
"Define filter, split, aggregate and route record level data strategy Basic requirements ",MULE-6846,
Integrate the current Web Services Component to Mule Integrate the current Web Services Component to Mule In order to run user testing we need to integrate the current component to Mule. In order to run user testing we need to integrate the current component to Mule. ,MULE-7196,
"MVEL Version upgrade As a user of Mule 3.5.0, I would like Mule to depend on the latest version of MVEL used for DataMapper and MVEL to stay up to date with the latest MVEL bug The latest version seems to be 2.1.8",MULE-7213,
DeploymentService API modification for domains As a Mule user I would like to Deploy a domain with mule API Undeploy a domain and all its apps Redeploy a domain and update all the apps ,MULE-7675,
AMQP transport. Define specs document. AS A product owner or community member I WANT to be able to review the specs SO THAT I can and contribute with my feedback ,MULE-7759,
AMQP transport. Define connector schema AS A user I WANT I want to be able to rely on a defined schema to write my AMQP integrations SO THAT I have exact knowledge of how I m syntactically supposed to use the transport and to have help from my IDE to autocomplete and detect errors. ,MULE-7760,
"AMQP transport. Create connector skeleton. AS A developer I WANT I want to have a base project skeleton SO THAT there is a basement to build on with agreed placeholders for endpoints, connectors, transactions that should be stable. ",MULE-7761,
AMQP transport. Create configuration element connector . AS A user I WANT I want to be able to configure the transport in a single point SO THAT I can configure the common transport attributes in a single reusable place ,MULE-7762,
AMQP transport. Create inbound receiver consume AS A user I WANT I want to be able consume continuously amqp messages SO THAT a MuleEvent is created and delivered to a flow when a messages arrives to a queue and is comsumed ,MULE-7763,
AMQP transport. Create inbound requestor request AS A user I WANT I want to be able consume instantly amqp messages SO THAT I can consume messages at any point of the flow ,MULE-7764,
AMQP Transport. Integration testing. AS A user I WANT I want the transport to be tested against a real broker and a real application. SO THAT I can be sure the transport works on real world usage. ,MULE-7766,
AMQP Transport. Write documentation AS A user I WANT I want to have documentation around the features of this transport SO THAT I can learn how to use it and to have a reference ,MULE-7767,
"Support to receive Mule expressions as parameters without getting resolved Add support on the SDK for receiving MEL expressions without getting the string evaluated. This features was supported in DevKit as described here This will be supported both for Parameters and Operation arguments, when they are annotated with Literal When Literal is used, ExpressionSupport should be SUPPORTED .",MULE-9258,
