HDFS ItemWriter Base integration of core HDFS writer functionality with Spring Batch.,XD-1,
"Reactor based http ingestion When there is support for boostrapping a http server in the reactor project, and inbound SI adapter and associated XD source module should be created.",XD-10,
"User should be able to view the list of all Deployed Jobs On clicking the Deployed Jobs , we can have a table view of all the deployed jobs. This is again a responsive table layout with all the job definitions with status deployed . The deployed XD job corresponds to a single batch Job Instance. This story addresses the UI layout changes to display existing JobInstance information.",XD-1001,
"UI User should be able to get all the job executions on a given job at deployed jobs page On clicking a specific job name in the deployed jobs list, we need to redirect the user to show the list of all the job executions on that job. User should be able to navigate back to the deployed jobs list.",XD-1002,
"UI User should be able to launch a job from Deployed jobs page From the Deployed jobs page, user should be able to click on the Launch button on a specific job and specify the Job parameters as key value pairs in the text box and we will convert that into JSON string as JobParameters into JobLaunch request. ",XD-1003,
"UI User should be able to filter the list of executions on the execution tab On clicking the Executions tab, user should see the list of all batch job executions. There should be options to filter job executions by few criteria such as by Job name , execution time etc., ",XD-1005,
"Jobs list REST endpoint should include status Currently, the jobs definition list REST endpoint doesn t include status on a given job.",XD-1008,
Add additional REST endpoint that return the XML definition of a job ,XD-1013,
Command to show the XML of the job definition ,XD-1014,
"Create a reusable responsive UI layout to render the XD PagedResoures in tabular view Create a reusable responsive UI layout to render the PagedResources returned from REST endpoint. As part of this, try upgrading the bootstrap to 3.0.0 and use the responsive styles offered in it.",XD-1015,
"Provide an option to pretty print JSON output Probably the cleanest approach is to provide a properties file in the xd config directory that enables this globally, e.g., This will require some refactoring of the plugin, i.e., use DI in streams.xml",XD-1016,
"Create XDContainer class to start stream server Provide optional command line arg to embed the container launcher, aka xd admin server. XDContainer.sh embeddAdmin",XD-102,
"Cleanup ModuleDeployer ModuleDeployer has many methods with very similar names that are hard to understand. Moreover, there is a substantial amount of duplicated code that should be extracted in sub methods with descriptive names. One should even consider splitting the class ",XD-1020,
Fix undeploy of stream with a composed module Create a composed module Create a stream that uses that module Try to undeploy the stream. Kaboom The dispatch is not correctly implemented in ModuleDeployer,XD-1021,
"Switch module list to horizontal display The module list command currently has a very simplistic two column display of module name, module type . The is not very readable. Switch to a 4 column display Sources, Processors, Sinks, Jobs Additionally, mark composed module e.g. myhttp c ",XD-1022,
"Kryo Redis Serializer The current XD uses an inadequate is false not currently being used . When porting this to SI, the serializer will be dropped. Suggest creation of Kryo serializer for Messages for when Redis source sinks are created.",XD-1024,
"UI Implement Job Deploy Undeploy from the Job Definitions page From XD 1023, the job is available from JobInstance Repository and a job can be correctly. Implement Job deploy undeploy for a given job from JobDefinitions page and indicate status of the job definition ",XD-1025,
"UI Responsive layout for supported user agents Mobile, Tablet and Desktop The current admin UI uses bootstrap 3.0.0 which provides responsive design. We need to expand our scope to support all supported user agents. This requires changes to use user agent specific layout for the UI views.",XD-1026,
UI Do not hard code server url Specify the default URL as urlRoot ? location.port ,XD-1028,
Migrate to SI Redis Queue and Topic Adapters ,XD-1029,
Create XDAdmin server to start container launcher This will launch the in future will be able to select from a variety of middleware options.,XD-103,
Refactoring to to extends from not ,XD-1030,
"Convert hadoop module to isolated classloader scheme rename to something else, as it seems it is all spring data stuff and is not coupled to xd. But leave it in extensions for now rename and move spring xd hadoop inside extensions maybe to or hdfs make hadoop related modules depend on the latter which itself will depend on the former ",XD-1032,
"Add a tcp client source module Add a module that can act as a tcp client as opposed to our current tcp module, which acts as a server, waiting for an incoming connection Also, the module should allow to send commands to the remote server. The typical minimal case for such a protocol is to send PING messages, but a stateful mechanism should be put in place for more complex cases.",XD-1033,
"Support composed module deletion Provided it is not currently used in any stream V Attempt to destroy a composed module Should not be supported at all Should not be supported if involved in at least one stream EB?, MF! Should be supported and have no other consequences whatsoever see IV EB? Should be supported and invalidate destroy streams involving it ",XD-1036,
"Composed of Composed fails at stream deployment time Although composition of a module out of an already composed module seems to work at the module compose level, trying to deploy a stream with that more complex module fails with at at at at at Caused by each module before the last must provide output at at at at at at at ... 63 more",XD-1039,
Add README to be included in root directory of distribution should explain basic layout of the distribution,XD-104,
Remove legacy application code following Spring bootification See the discussion in There are now various superseded classes and tests which we no longer need.,XD-1040,
Upgrade to Spring for Apache Hadoop 1.0.2.RELEASE and Pivotal HD 1.1 Make sure the sinks and jobs work against Pivotal HD 1.1,XD-1041,
"Support short names for types in ModuleOptions The ModuleOptions PR currently uses FQN for types eg java.lang.String Would be nice to have support for short names for common types, both in the properties files and the annotation",XD-1042,
refactor module dependency tracking to be closer to stream deployment see comments on this PR which is part of the code that needs to be refactored ,XD-1044,
"Create project for model that is common between client and server this would elminate dependencies that are currently in the codebase, such as RESTModuleType and ModuleType enums ModuleOption and ",XD-1045,
Consider a shared project for POJOs that are shareable betweed model and REST layer ,XD-1046,
Create documentation for composed modules ,XD-1049,
Add LICENSE to be included in root directory of distribution should contain apache licence,XD-105,
"Improve Module Options support note from PR 365 which has been merged providing the initial level of support... Pending issues to be addressed in another PR? complex case default values for complex case, when option is not surfaced back to the module eg suffix in our canonical example plugin provided options and values descriptive defaults instead of actual defaults e.g. use stream name JSR303 Validation ",XD-1050,
"Enforce consistent naming across CLI options, and method names Enforce consistent naming across CLI options, and method names e.g. see comment on PR 390 In that case, it s delete in one place and destroy in another. There are other cases as well. e.g. see comment on PR 390 In that case, it s delete in one place and destroy in another. There are other cases as well.",XD-1052,
Deployment tab on admin ui lags behind with changes on other pages The deployment tab does not reflect the current state of the jobs. User must hit browser refresh button to make it work.,XD-1054,
"Schedule button shows up but does not perform any task I know that the feature is not ready, but we either should post a message to the user that the feature is not available or hide the button",XD-1055,
Empty parameter sent to job when launched from UI Job gets a empty key value pair when launching the job from the admin ui.,XD-1056,
Colors on Job Definition tab are different than other tabs The table background color on the Job Definition Tab is green while the others tabs have a white background. They should be consistent.,XD-1057,
"Remove unnecessary LESS files from XD UI styles Currently, the bootstrap.less file has all the styles that the bootstrap supports. But we should only add compile the LESS that are needed by XD UI.",XD-1058,
Upgrade to 0.7.0 Looks like we need to spend a cycle on Asciidoc as we still have the author tag issue I thought we can simply upgrade the to 0.7.0 currently 0.4.1 but that breaks the docs being generated.,XD-1061,
"Fix mqtt module properties Use of dot in property name prevents the user from specifying a value in stream definition Also, defaults are repeated at .xml and .properties level",XD-1063,
Remove existing purpose built json processors and ensure all functionality is still available with jsonPath based SpEL expression based processors ,XD-1068,
"Clean shutdown of redis in xd admin A ctrl c of xd admin results in exception messages about disconnecting from redis. 14 16 07,327 ERROR task scheduler 1 Redis command interrupted; nested exception is Command interrupted ",XD-107,
Change default container port from 9000 to something else Change the default port since it conflicts with the default port for the http source,XD-1073,
"Multiple SLF4J bindings on the classpath Summary says it all. When starting, we now get SLF4J Class path contains multiple SLF4J bindings. SLF4J See for an explanation. SLF4J Actual binding is of type Most certainly introduced by or ",XD-1074,
Restore XD Banner Migrating to boot dropped the XD banner and its info. Can be restored using eg a boot Initializer and removing the default boot banner,XD-1075,
Create an FTP tasklet to get remote files and put them in the local file system. This is along the lines of what is in this blog post Note that there have been some new developments in SI to get at the underlying stream for FTP. The way to test this is to create a new batch job in XD that has this as it s tasklet. Going forward the target file system will also be HDFS.,XD-1076,
Small method name refactorings and add Javadoc in batch controllers should be executionsForJob should be instancesForJob The JavaDoc for the class and each method should be more descriptive about their functionality ,XD-1079,
"Build script should not package spring xd dirt scripts We are packaging separate scripts to start XDAdmin and XDContainer. The Gradle application plugin will generate an unwanted spring xd dirt scripts, this should be removed from the bin directory when creating a distribution zip.",XD-108,
"Make deploy false as the default when creating a new job The automatic deployment of the job makes it harder to understand the lifecycle of the job and also does not allow for the opportunity to define any additional deployment metadata for how that job runs, e.g is it partitioned etc.",XD-1080,
Documentation for starting Spring XD servers ,XD-109,
"Make Batch Job controllers HATEOAS compliant Currently, the and are not HATEOAS compliant and we need make them so.",XD-1096,
Redo Hadoop distribution dependency management The way we now include various Hadoop distributions is cumbersome to maintain. Need a better way of managing and isolating these dependencies on a module level rather than container level.,XD-1097,
Integration tests for XD Installer ,XD-1098,
"Remove use of system property xd.home to define location for install location, rely on environment variable XD HOME This is in the AdminMain and ContainerMain. Can get the environment property directly in java code unless provided explicitly on the command line using xdHomeDir.",XD-110,
Create microbenchmark for performace of redis and jdbc based aggregators would be good to have a general feel for the general performance of these two options. Redis can run on the same node as the benchmark.,XD-1102,
"Create Shell Integration test fixture for jdbc related sink Would be nice to have some kind of regression testing on the jdbc sink, as it becomes more prominent in XD. Use of an in memory db where we expose eg a JdbcTemplate to assert state",XD-1104,
"Add some test coverage to mqtt modules Even though it may be hard to come up with a mqtt broker, an easy test that should be automated is somesource mqtt topic foo with mqtt topics foo somesink And asserting that what is emitted to somesource ends up in somesink. ",XD-1105,
