key,project,sprint.completeDate,sprint.endDate,sprint.id,sprint.name,sprint.startDate,sprint.state
XD-3744,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3743,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3742,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3741,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3740,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3739,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3738,xd,2016-02-26T16:32:18.620Z,2016-02-26T08:34:00.000Z,108,Sprint 68,2016-02-16T00:38:45.289Z,CLOSED
XD-3737,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3736,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3734,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3733,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3731,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3725,xd,2015-12-25T00:16:26.938Z,2015-12-26T02:16:00.000Z,106,Sprint 64,2015-12-17T18:20:12.425Z,CLOSED
XD-3721,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3719,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3716,xd,2016-02-13T19:10:19.964Z,2016-02-13T01:16:00.000Z,107,Sprint 67,2016-02-01T17:20:13.656Z,CLOSED
XD-3715,xd,2015-12-12T19:43:32.212Z,2015-12-11T17:28:00.000Z,103,Sprint 63,2015-11-30T16:32:01.258Z,CLOSED
XD-3714,xd,2015-12-12T19:43:32.212Z,2015-12-11T17:28:00.000Z,103,Sprint 63,2015-11-30T16:32:01.258Z,CLOSED
XD-3709,xd,2015-12-12T19:43:32.212Z,2015-12-11T17:28:00.000Z,103,Sprint 63,2015-11-30T16:32:01.258Z,CLOSED
XD-3709,xd,2015-12-25T00:16:26.938Z,2015-12-26T02:16:00.000Z,106,Sprint 64,2015-12-17T18:20:12.425Z,CLOSED
XD-3709,xd,2015-12-12T19:43:32.212Z,2015-12-11T17:28:00.000Z,103,Sprint 63,2015-11-30T16:32:01.258Z,CLOSED
XD-3709,xd,2015-12-25T00:16:26.938Z,2015-12-26T02:16:00.000Z,106,Sprint 64,2015-12-17T18:20:12.425Z,CLOSED
XD-3708,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3705,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3702,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
XD-3701,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3699,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3698,xd,2015-11-13T23:57:28.407Z,2015-11-14T00:37:00.000Z,101,Sprint 61,2015-11-02T17:41:25.157Z,CLOSED
XD-3697,xd,2015-11-27T16:05:59.762Z,2015-11-27T17:06:00.000Z,102,Sprint 62,2015-11-16T16:10:26.278Z,CLOSED
