field,fieldtype,from,fromString,to,toString,key,created,author
Workflow,jira,32188,Scrum Workflow,107785,Generic Scrum Workflow,SLICE-107,2015-01-08T13:24:38.194+0000,
Workflow,jira,31775,Scrum Workflow,107821,Generic Scrum Workflow,SLICE-106,2015-01-08T13:24:38.737+0000,
Workflow,jira,31774,Scrum Workflow,107826,Generic Scrum Workflow,SLICE-105,2015-01-08T13:24:38.809+0000,
status,jira,10000,To Do,3,In Progress,SLICE-104,2010-05-23T20:42:34.194+0000,U2
resolution,jira,,,8,Complete,SLICE-104,2010-05-23T20:43:57.369+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-104,2010-05-23T20:43:57.369+0000,U2
Workflow,jira,31772,Scrum Workflow,107831,Generic Scrum Workflow,SLICE-104,2015-01-08T13:24:38.880+0000,
status,jira,10000,To Do,3,In Progress,SLICE-103,2010-05-23T18:45:03.209+0000,U2
timespent,jira,,,1200,1200,SLICE-103,2010-05-23T19:07:58.951+0000,U2
timeestimate,jira,,,0,0,SLICE-103,2010-05-23T19:07:58.951+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-103,2010-05-23T20:03:49.544+0000,U2
resolution,jira,,,8,Complete,SLICE-103,2010-05-23T20:03:49.544+0000,U2
Workflow,jira,31771,Scrum Workflow,107829,Generic Scrum Workflow,SLICE-103,2015-01-08T13:24:38.852+0000,
status,jira,10000,To Do,3,In Progress,SLICE-102,2010-05-20T01:48:49.237+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-102,2010-05-20T01:49:59.024+0000,U2
resolution,jira,,,8,Complete,SLICE-102,2010-05-20T01:49:59.024+0000,U2
Workflow,jira,31743,Scrum Workflow,107791,Generic Scrum Workflow,SLICE-102,2015-01-08T13:24:38.281+0000,
status,jira,10000,To Do,3,In Progress,SLICE-101,2010-05-20T00:38:32.155+0000,U2
timespent,jira,,,3600,3600,SLICE-101,2010-05-20T01:48:37.727+0000,U2
timeestimate,jira,,,0,0,SLICE-101,2010-05-20T01:48:37.727+0000,U2
resolution,jira,,,8,Complete,SLICE-101,2010-05-20T01:48:43.584+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-101,2010-05-20T01:48:43.584+0000,U2
Workflow,jira,31742,Scrum Workflow,107814,Generic Scrum Workflow,SLICE-101,2015-01-08T13:24:38.631+0000,
summary,jira,,Change the name of the {{ca}} tag to {{constructor-arg}} upon completion of SPR-7218,,Change the name of the ca tag to constructor-arg upon completion of SPR-7218,SLICE-100,2010-05-19T03:07:03.126+0000,U2
Link,jira,,,SPR-7218,This issue depends on SPR-7218,SLICE-100,2010-05-19T03:07:17.831+0000,U2
Fix Version,jira,11499,Sprint 7,,,SLICE-100,2010-05-23T18:07:49.803+0000,U2
Fix Version,jira,,,11502,Sprint 8,SLICE-100,2010-05-23T18:07:49.803+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-100,2010-05-23T18:10:02.876+0000,U2
timeestimate,jira,,,0,0,SLICE-100,2010-05-23T18:11:23.370+0000,U2
timespent,jira,,,1800,1800,SLICE-100,2010-05-23T18:11:23.370+0000,U2
resolution,jira,,,8,Complete,SLICE-100,2010-05-23T18:11:34.644+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-100,2010-05-23T18:11:34.644+0000,U2
Workflow,jira,31729,Scrum Workflow,107828,Generic Scrum Workflow,SLICE-100,2015-01-08T13:24:38.837+0000,
status,jira,10000,To Do,3,In Progress,SLICE-99,2010-05-19T01:56:16.335+0000,U2
timeestimate,jira,,,0,0,SLICE-99,2010-05-19T19:37:23.077+0000,U2
timespent,jira,,,7200,7200,SLICE-99,2010-05-19T19:37:23.077+0000,U2
timespent,jira,7200,7200,10800,10800,SLICE-99,2010-05-19T19:37:32.446+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-99,2010-05-19T19:37:39.625+0000,U2
