key,quality,fields.created,
DNN-8559,0.8333333333333334,2016-03-25T10:56:01.000-0700,
DNN-8141,0.8333333333333334,2015-12-15T11:46:06.000-0800,
DNN-8103,0.8333333333333334,2015-12-08T15:39:30.000-0800,
DNN-7883,0.8333333333333334,2015-11-06T02:18:10.000-0800,
DNN-7875,0.6666666666666667,2015-11-05T00:30:09.000-0800,
DNN-7761,0.8333333333333334,2015-10-20T11:00:30.000-0700,
DNN-7750,0.8333333333333334,2015-10-18T11:30:10.000-0700,
DNN-7589,1.0,2015-09-21T06:50:26.000-0700,
DNN-7587,0.6666666666666667,2015-09-19T14:40:33.000-0700,
DNN-7569,0.6666666666666667,2015-09-16T09:25:19.000-0700,
DNN-7568,0.38888888888888895,2015-09-16T09:16:19.000-0700,
DNN-7567,0.6666666666666667,2015-09-16T09:11:51.000-0700,
DNN-7503,0.8333333333333334,2015-09-02T09:02:42.000-0700,
DNN-7487,0.7222222222222222,2015-08-27T09:53:29.000-0700,
DNN-7485,0.8333333333333334,2015-08-27T08:26:36.000-0700,
DNN-7481,0.6666666666666667,2015-08-26T22:08:12.000-0700,
DNN-7480,0.6666666666666667,2015-08-26T22:07:50.000-0700,
DNN-7479,0.8333333333333334,2015-08-26T22:06:02.000-0700,
DNN-7478,0.6666666666666667,2015-08-26T22:05:33.000-0700,
DNN-7477,0.6666666666666667,2015-08-26T22:04:51.000-0700,
DNN-7476,0.6666666666666667,2015-08-26T22:04:14.000-0700,
DNN-7475,0.6666666666666667,2015-08-26T22:03:37.000-0700,
DNN-7471,0.6666666666666667,2015-08-26T21:40:24.000-0700,
DNN-7470,0.6666666666666667,2015-08-26T21:31:10.000-0700,
DNN-7378,0.6666666666666667,2015-08-11T16:10:17.000-0700,
DNN-7366,0.8333333333333334,2015-08-07T14:04:42.000-0700,
DNN-7328,1.0,2015-07-29T09:12:46.000-0700,
DNN-7327,1.0,2015-07-29T09:07:13.000-0700,
DNN-7326,1.0,2015-07-29T08:54:03.000-0700,
DNN-7325,1.0,2015-07-29T08:49:05.000-0700,
DNN-7324,1.0,2015-07-29T08:44:02.000-0700,
DNN-7322,1.0,2015-07-29T08:12:30.000-0700,
DNN-7321,1.0,2015-07-29T07:58:27.000-0700,
DNN-7320,0.8333333333333334,2015-07-29T07:41:37.000-0700,
DNN-7317,1.0,2015-07-29T06:13:58.000-0700,
DNN-7302,1.0,2015-07-27T06:40:21.000-0700,
